Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
-0.010878015672124763	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	εὐσέβεια	0	72	3	1	36	8	1174	1	1	θεατρίζω ; 0.46038973331451416	καταφύτευσις ; 0.4330739974975586	Σελλης ; 0.4425959587097168	Νινευη ; 0.42354679107666016	εἴδησις ; 0.46274906396865845	σιτιστός ; 0.43615972995758057	Φεταια ; 0.42265671491622925	καταφθείρω ; 0.452395498752594
-0.017227614030884686	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	γράμμα	0	1	7	41	7	3	4	2	1	ἄφωνος ; 0.407893568277359	Μαιαννας ; 0.4819285273551941	ἐκκόπτω ; 0.5977404117584229	ψεύστης ; 0.39693957567214966	οἰκητός ; 0.4023589491844177	Εβελμαωλα ; 0.46599292755126953	προπίπτω ; 0.43580007553100586	Σαρεδ ; 0.44008803367614746
0.03107723657083622	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοίωμα	0	54	52	6	47	4	9	6	137	παρωμίς ; 0.39211711287498474	Σελεμιου ; 0.4548571705818176	κινύρα ; 0.4239777624607086	γενεά ; 0.6383217573165894	περιπατέω ; 0.3786052167415619	εὐμενής ; 0.4278791844844818	προπράσσω ; 0.4634642004966736	ἐπαναμιμνῄσκω ; 0.437337726354599
0.02991038601724888	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	τρεῖς	1	8	30	22	1	7	445	351	316	Δαρείος ; 0.42965996265411377	φίλημα ; 0.39227530360221863	Ιδεϊα ; 0.40332525968551636	ἀκατέργαστος ; 0.3860735297203064	συγκεράννυμι ; 0.41843128204345703	βραβεύω ; 0.41626790165901184	δίκαιος ; 0.410028874874115	αὐτομολέω ; 0.449840784072876
0.08775407120598244	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	παιδεία	0	1	31	121	1	101	5	2	8	οὐ+ἐλεέω ; 0.5500383973121643	χωλαίνω ; 0.4515566825866699	Ὑμέναιος ; 0.4157354533672333	ἀντιπαραβάλλω ; 0.4433763325214386	χρύσωμα ; 0.4917764961719513	αἴσθησις ; 0.4336400628089905	συνεξέρχομαι ; 0.41461920738220215	μήν ; 0.4398553669452667
0.020863055803387653	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἔντρομος	0	29	93	8	35	1	1	2	115	μιαροφαγέω ; 0.4289523959159851	ὑποκάτωθεν ; 0.9284162521362305	ἀκολουθία ; 0.37769824266433716	ἐγκοσμέω ; 0.43002068996429443	Ιεζραηλίτης ; 0.4216281771659851	συμπαραλαμβάνω ; 0.4268447756767273	Σαμι ; 0.4780343770980835	ὕβρις ; 0.9029947519302368
-0.041795612560244444	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	διετής	0	2	767	2	168	1	1	36	8	Μαλχια ; 0.43174612522125244	ὀγδοήκοντα ; 0.515518307685852	Εβεαρ ; 0.42788058519363403	καρπίζομαι ; 0.7968884110450745	Φινω ; 0.4073041081428528	Σελλης ; 0.4425959587097168	Νινευη ; 0.42354679107666016	Ἰάρετ ; 0.4099268913269043
-0.0810232522101173	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	526	16	73	3	699	2	διάστασις ; 0.4089489281177521	χορηγέω ; 0.41698843240737915	τρέχω ; 0.9446540474891663	Αβιμελεχ ; 0.4556311368942261	συμβαίνω ; 0.9416871666908264	ἔνυστρον ; 0.4021112024784088	πτόησις ; 0.41744422912597656	τριημερία ; 0.4163634777069092
-0.05280939200268714	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	περιβλέπομαι	0	266	7	60	1	8	7	1	15	Ιαβνηλ ; 0.4973449110984802	λαός ; 0.4337707757949829	ἐνιαυτός ; 0.6661866307258606	ἱκετήριος ; 0.41975051164627075	κηρογονία ; 0.4331493675708771	ἐπιβουλεύω ; 0.39312314987182617	Ἰάσων ; 0.3869290351867676	ἐξίημι ; 0.4198274314403534
0.010889319118882634	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	γεννητός	0	263	1	2	7	39	10	511	1	ἐπίλοιπος ; 0.7359861135482788	ῥέγχω ; 0.42282867431640625	Γαβααθ ; 0.40146005153656006	κουρέω ; 0.44190046191215515	κατακρατέω ; 0.8232417702674866	περιποιέω ; 0.49229657649993896	ἐπικατάρατος ; 0.47281208634376526	Ραφιδιν ; 0.4297090470790863
