Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.005120662578747492	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	συμφυλέτης	1	72	3	1	36	8	1174	1	1	Κεδεμ ; 0.5384030938148499	βδέλλα ; 0.5368712544441223	περίεργος ; 0.5563254952430725	Ετηλ ; 0.5099129676818848	κτείνω ; 0.5067076683044434	ἀπένθητος ; 0.4800710082054138	Βεέλσαρος ; 0.5240950584411621	περισσοτέρως ; 0.5097604393959045
-0.005590431400865903	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	ἰῶτα	0	1	7	41	7	3	4	2	1	ψύχομαι ; 0.5327044725418091	Μαιαννας ; 0.5163842439651489	ἐκκόπτω ; 0.5847012400627136	καταλοχία ; 0.5720487236976624	Ιεβλααμ ; 0.5201141834259033	Νεεμια ; 0.5945594310760498	Περσική ; 0.5190352201461792	προκαλέομαι ; 0.5194153785705566
-0.012275960337941816	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιότης	0	54	52	6	47	4	9	6	137	Φαισουρ ; 0.5082470774650574	Μαρησα ; 0.5472443103790283	ἑδράζω ; 0.48341062664985657	σωτήριον ; 0.5699355006217957	πελεκάω ; 0.5470883846282959	κατώδυνος ; 0.49978387355804443	ζυμίτης ; 0.49718600511550903	Θαμάρ ; 0.5297842025756836
-0.004801162042666951	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	ἄρρωστος	0	8	30	22	1	7	445	351	316	Καλλαι ; 0.4981221854686737	μειρακίσκος ; 0.49210095405578613	Ανναν ; 0.5484884977340698	ἐλαττόω ; 0.48700255155563354	πολυοδία ; 0.5363204479217529	ζN ; 0.5056341886520386	παχύνω ; 0.5406028032302856	σκυτάλη ; 0.5278323888778687
0.11472972223083555	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	παιδεία	0	1	31	121	1	101	5	2	8	οὐ+ἐλεέω ; 0.6072931885719299	χωλαίνω ; 0.5251193642616272	Τολβανης ; 0.5242944359779358	τρίχαπτος ; 0.5198459625244141	περισσῶς ; 0.6004698276519775	Ιαδιας ; 0.5426223278045654	συνεξέρχομαι ; 0.4848552346229553	ἀγοραῖος ; 0.5376434922218323
0.011019388903578675	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἔντρομος	0	29	93	8	35	1	1	2	115	στερέωμα ; 0.5099048614501953	ὑποκάτωθεν ; 0.8949333429336548	τρύπημα ; 0.5809871554374695	Σωθελε ; 0.5512391328811646	ἀνήκεστος ; 0.5598862767219543	ὀγδοήκοντα ; 0.5470080375671387	ἐκσπερματίζω ; 0.6062246561050415	θησαυρίζω ; 0.8051589131355286
-0.008167453188492269	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	ἔτος	0	2	767	2	168	1	1	36	8	Σεμαα ; 0.5533758997917175	πανούργευμα ; 0.5095064640045166	Ναφισι ; 0.5175304412841797	Φοινίκη ; 0.6427401304244995	Ἀράμ ; 0.587877631187439	περίεργος ; 0.5563254952430725	Ετηλ ; 0.5099129676818848	Ιανωχ ; 0.5152800679206848
0.0053592958189697115	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἀγγελία	0	15	15	526	16	73	3	699	2	Νεκωδα ; 0.49693813920021057	Μεθ ; 0.5130436420440674	τρέχω ; 0.8784430027008057	φθορεύς ; 0.5277241468429565	συμβαίνω ; 0.827120840549469	ἔνυστρον ; 0.5941565036773682	ὑδρεύω ; 0.5312396287918091	Φεριδα ; 0.501636803150177
-0.026946119409550717	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	περιβλέπομαι	0	266	7	60	1	8	7	1	15	περιερχομαι ; 0.5826586484909058	Πόλις ; 0.537056565284729	ἐνιαυτός ; 0.5972738265991211	πλάτος ; 0.5078989267349243	ὡσαννά ; 0.5123035907745361	καταβραβεύω ; 0.5337824821472168	Μασηας ; 0.5019732713699341	ἐξατιμόω ; 0.5522446632385254
0.02384654415984866	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	συλαγωγέω	1	263	1	2	7	39	10	511	1	ἐπίλοιπος ; 0.5649816393852234	μακρός ; 0.5163689851760864	βόρβορος ; 0.5502958297729492	ῥιπτέω ; 0.5222583413124084	κατακρατέω ; 0.7493016123771667	ὀλιγόω ; 0.5641878843307495	προσαπωθέω ; 0.5142182111740112	κάπηλος ; 0.5437684059143066
