Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.0841218658413424	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἐντόπιος	1	72	3	1	36	8	1174	1	1	πρεπόντως ; 0.4570148289203644	Κυτίνιον ; 0.480596125125885	νηπιέη ; 0.41500669717788696	χειά ; 0.42059239745140076	πρόρρητος ; 0.42377614974975586	πολλαπλάσιος ; 0.4072412848472595	ἀνάπλοος ; 0.4600975811481476	νίφα ; 0.4455964267253876
-0.02622474543127029	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	πρωτοστάτης	1	1	7	41	7	3	4	2	1	Γαζηρα ; 0.4307764768600464	στοργή ; 0.41351941227912903	ἐκκόπτω ; 0.5224680304527283	ἐνιζάνω ; 0.4673846960067749	νομοθετέω ; 0.47161099314689636	ἀποκλίνω ; 0.43490251898765564	γέμω ; 0.4150339961051941	ἀκροατήριον ; 0.7015416026115417
0.004192154687062022	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιόω	0	54	52	6	47	4	9	6	137	παρεκτός ; 0.4308673143386841	ἀδούω ; 0.47372788190841675	Δηιόκης ; 0.44356411695480347	γενεά ; 0.5628911256790161	Ἀγαμέμνων ; 0.43207743763923645	ὄρχατος ; 0.4483291506767273	προλήνιον ; 0.4667576551437378	Κάϊν ; 0.41618090867996216
0.04722816731672297	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	δέκα	1	8	30	22	1	7	445	351	316	ἀπεχθῶς ; 0.46706804633140564	Ιαμβρι ; 0.41503146290779114	Αμορις ; 0.4122443199157715	πολυτρόπως ; 0.5038535594940186	Ὑάκινθος ; 0.42549970746040344	ἐγκατοικέω ; 0.45404672622680664	ὀγδοήκοντα ; 0.5348432064056396	σικάριος ; 0.4433501362800598
0.07468642410526583	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	θεοδίδακτος	0	1	31	121	1	101	5	2	8	ὑπερέκεινα ; 0.4567209482192993	ἀστήρικτος ; 0.4270161986351013	ἄπροικος ; 0.42668259143829346	ἐπειδήπερ ; 0.47245705127716064	παροινέω ; 0.4580230116844177	ἄγναφος ; 0.5361166000366211	δρέπανον ; 0.49001336097717285	Ῥίζων ; 0.4096194803714752
0.11446271634703709	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἄνομος	1	29	93	8	35	1	1	2	115	κατά-ἀνίστημι ; 0.41186997294425964	σείω ; 0.4777945876121521	νωθής ; 0.4565661549568176	ἐκψύχω ; 0.4155057966709137	ἄτρεστος ; 0.48458126187324524	Ἰουδαϊκῶς ; 0.9478402137756348	ὀκτακισχιλίος ; 0.46034371852874756	Οἰνούσσης ; 0.4871114492416382
-0.025409733949149693	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	διετής	0	2	767	2	168	1	1	36	8	ἐξοπλησία ; 0.46446603536605835	χιλίας ; 0.45252835750579834	ἐπισκευάζω ; 0.5367656946182251	ἀναβλέπω ; 0.4940405786037445	ἐπαφρίζω ; 0.5653547048568726	νηπιέη ; 0.41500669717788696	χειά ; 0.42059239745140076	ἱστοριόγραφος ; 0.44369417428970337
0.07278816376353381	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἐξανάστασις	1	15	15	526	16	73	3	699	2	δυσηλεγής ; 0.4227348864078522	μάθησις ; 0.48367077112197876	Εὐρώπης ; 0.4745258092880249	ἐκεῖσε ; 0.4608461260795593	συμβαίνω ; 0.5488954782485962	τροχίζω ; 0.4412236511707306	Εὐθύφρων ; 0.4951808452606201	τερσαίνω ; 0.4234599471092224
-0.05934038787939	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	βλέπω	0	266	7	60	1	8	7	1	15	πλευρά ; 0.46224677562713623	ἑταιρεία ; 0.4694502055644989	ἐνιαυτός ; 0.4940405786037445	ἀποτίλλω ; 0.5378451347351074	Φαινέας ; 0.4764956533908844	μύσος ; 0.45471620559692383	Βαλε ; 0.47536516189575195	περικακέω ; 0.45232918858528137
-0.014603059192205614	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	τίκτω	0	263	1	2	7	39	10	511	1	ἐπίλοιπος ; 0.4270441234111786	καταλαλιά ; 0.4795765280723572	ἑδώλιον ; 0.4364394545555115	κτερίσματα ; 0.47598135471343994	ὠδίνω ; 0.44044917821884155	εὐάγκαλος ; 0.4656076431274414	συκάμινον ; 0.3993360698223114	̓ἀχαιός ; 0.4374025762081146
