Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.11114371327300254	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἐντόπιος	1	72	3	1	36	8	1174	1	1	στομόω ; 0.6914600133895874	σεληνιάζομαι ; 0.71452796459198	μωμάομαι ; 0.6774210929870605	δίκαιος ; 0.7153332233428955	Ἠσαΐας ; 0.6842348575592041	φιλανθρώπως ; 0.7100592851638794	σκῦλον ; 0.7555254697799683	μαγεία ; 0.7019471526145935
0.12988576807900332	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	ἰῶτα	0	1	7	41	7	3	4	2	1	σκαληνός ; 0.6448687314987183	κηκίω ; 0.6552759408950806	προσαπόλλυμι ; 0.6866098642349243	τιμόω ; 0.6773537993431091	τερασκόπος ; 0.6648070812225342	εἰσαναγκάζω ; 0.7533589601516724	σταυρός ; 0.6592622995376587	Φορος ; 0.7081061601638794
0.023231297338855095	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιόω	0	54	52	6	47	4	9	6	137	ἀνιτλογέω ; 0.647881269454956	ἐμαυτοῦ ; 0.6963639259338379	ἀμορίτη ; 0.6360220313072205	εἰκών ; 0.6748092174530029	Σωκράτης ; 0.6597594022750854	ἐνατενίζω ; 0.6783386468887329	Δίυλλος ; 0.6958292126655579	δίκαιος ; 0.7780390977859497
0.019835247750203622	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	λοιμός	0	8	30	22	1	7	445	351	316	νεόω ; 0.6868394613265991	σκηπτός ; 0.739474892616272	ἀποπαπταίνω ; 0.6703941822052002	Κλεοπάτρη ; 0.6737556457519531	δέρω ; 0.6401822566986084	εὔρωστος ; 0.6862882375717163	Θεκω ; 0.6707041263580322	Οἴη ; 0.6562196612358093
0.09446506459717452	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	ὀθόνη	1	1	31	121	1	101	5	2	8	ταυτολογέω ; 0.7549517154693604	ἄνεσις ; 0.7012959718704224	πεῖρα ; 0.6668952703475952	Σικιμῖται ; 0.6716013550758362	ὑποκεῖμαι ; 0.6463040113449097	σκοπαῖος ; 0.6546726822853088	κάλαθος ; 0.6962846517562866	κλίνη ; 0.7383328676223755
0.07433953528759335	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἄνομος	1	29	93	8	35	1	1	2	115	ἀνταίρω ; 0.6911138296127319	ἀποσκαρίζω ; 0.703833281993866	ἐκσοβέω ; 0.6938445568084717	ὑπεκφέρω ; 0.6831459999084473	ἁλίκλυστος ; 0.7251905202865601	Ἰουδαϊκῶς ; 0.8145787715911865	ὀρεινός ; 0.6967156529426575	ἀσεβής ; 0.8745731115341187
0.07073618723607733	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	ἔτος	0	2	767	2	168	1	1	36	8	ἀκρόαμα ; 0.6830817461013794	ὥριος ; 0.636885404586792	δωδέκατος ; 0.692287266254425	ἀγριμαῖος ; 0.639103889465332	καλοδιδάσκαλος ; 0.6200141310691833	μωμάομαι ; 0.6774210929870605	δίκαιος ; 0.7153332233428955	φρικτός ; 0.7108299732208252
0.10688926019183376	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἐξανάστασις	1	15	15	526	16	73	3	699	2	τοσοῦτον ; 0.6963691711425781	ψευδόμαρτυς ; 0.6769493818283081	ἀνάκειμαι ; 0.700497031211853	καταπύθω ; 0.641217827796936	Ιεδδουραν ; 0.7300906181335449	ἐπιμαρτυρέω ; 0.7070463299751282	ἐπηγορία ; 0.7413880825042725	ὀλιγωρητέος ; 0.7486760020256042
0.06801742518429421	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	βλέπω	0	266	7	60	1	8	7	1	15	γαλακτοποτέω ; 0.6521166563034058	μέλει ; 0.6785918474197388	ἀγχοῦ ; 0.6947388648986816	πελεκάν ; 0.6938770413398743	ἀμφιέννυμι ; 0.6219302415847778	καταλαλέω ; 0.7262173295021057	μωραίνω ; 0.7081053853034973	εἰσπράσσω ; 0.7117030620574951
0.05407043076917162	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	ζωγρέω	1	263	1	2	7	39	10	511	1	Θρασυμήδης ; 0.6297032237052917	σιρικός ; 0.6960839033126831	ἧλιξ ; 0.6357528567314148	ἄναλκις ; 0.6240510940551758	ἀετός ; 0.7106057405471802	ἐξαμαρτάνω ; 0.7127248048782349	τανύθριξ ; 0.6282749772071838	εὔκηλος ; 0.6144495010375977
