Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.04610026486066038	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1166	1	1	γενναῖος ; 0.34626561403274536	κατάστημα ; 0.6062768697738647	στρατιώτις ; 0.4582928419113159	αἰσθάνομαι ; 0.27687665820121765	ἀνώνυμος ; 0.42680448293685913	γῆ ; 0.37819772958755493	ἀναπείρω ; 0.4623681902885437	μακροθύμως ; 0.4723076820373535
0.08939784995714078	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	ἰῶτα	0	1	7	41	7	3	4	2	1	κεραία ; 0.7861630320549011	μύλωνος ; 0.38013213872909546	Χαλδαϊκός ; 0.3101810812950134	Ῥάγαι ; 0.4454255700111389	προαποαγγέλλω ; 0.312746524810791	ἐλεφάντων ; 0.47239553928375244	ἀρχιερατεύω ; 0.3625987768173218	ἀκροατήριον ; 0.7257891297340393
-0.015150438801291632	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοίωμα	0	53	52	6	47	4	9	6	136	ὅμοιος ; 0.30191242694854736	φονεύς ; 0.33869367837905884	κάρπιμος ; 0.6003220081329346	Ραιφαν ; 0.290120929479599	καπηλεύω ; 0.446662962436676	φίλτρον ; 0.5006679892539978	κώπη ; 0.31826281547546387	ἀσεβής ; 0.34256458282470703
0.057520892181850025	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	δυσεντέριον	0	8	30	22	1	7	444	350	316	ἱδρόω ; 0.5329244136810303	ἀνακύπτω ; 0.2674652934074402	Μιχαιας ; 0.28004249930381775	Πόπλιος ; 0.5730603933334351	ἀσθμαίνω ; 0.2661570906639099	ἕξ ; 0.40259426832199097	εἴκοσι ; 0.4405383765697479	ἑκατόν ; 0.36479756236076355
0.07617576787020763	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	ὀθόνη	1	1	31	118	1	101	5	2	8	φιλαδελφία ; 0.49618375301361084	Ἱεροσόλυμα ; 0.2948806881904602	ῥῆσις ; 0.33254051208496094	φίλανδρος ; 0.9870832562446594	ἐλέγχω ; 0.27901023626327515	ἄγναφος ; 0.6459586024284363	ταλαντιαῖος ; 0.42054519057273865	ἐντυλίσσω ; 0.41382694244384766
0.11851637899529499	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἐθνικῶς	1	29	93	8	35	1	1	2	113	μισθόω ; 0.2863118052482605	κόπριον ; 0.27673211693763733	ἔξαρθρος ; 0.35662639141082764	παῦλα ; 0.31654638051986694	ἄτομος ; 0.9879884719848633	Ἰουδαϊκῶς ; 0.9742742776870728	παρείσακτος ; 0.854297399520874	ἀσεβής ; 0.30169665813446045
-0.0309325661061855	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	διετία	0	2	765	2	167	1	1	36	8	Πόρκιος ; 0.4835893511772156	ἡμέρα ; 0.5154424905776978	κατωτέρω ; 0.5075951218605042	μήν ; 0.34693819284439087	συνευωχέομαι ; 0.46824589371681213	στρατιώτις ; 0.4582928419113159	αἰσθάνομαι ; 0.27687665820121765	εὐλαβής ; 0.2963564991950989
0.06469623211437475	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	512	16	73	3	694	2	δεκαοκτώ ; 0.2894766330718994	Μιχα ; 0.27879762649536133	Ραψακης ; 0.316374272108078	ἐκποιέω ; 0.2959374785423279	ἀναγγέλλω ; 0.3330802321434021	ὁπλοθήκη ; 0.3772355318069458	ἐγώ ; 0.3179628252983093	νυχθήμερον ; 0.34913378953933716
0.09303068032837664	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	ἀόρατος	0	263	7	59	1	8	7	1	15	θεωρέω ; 0.34287840127944946	ἀναβάλλομαι ; 0.41802358627319336	ἀκίς ; 0.3003058135509491	ἐγκατοικέω ; 0.9150236248970032	ἀκατασκεύαστος ; 0.42068105936050415	Ἴοππης ; 0.35877206921577454	καλοδιδάσκαλος ; 0.8227200508117676	συγκληρονόμος ; 0.3332903981208801
-0.0045990719013763726	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	δοῦλος	1	263	1	2	7	39	10	510	1	Ἐλισάβετ ; 0.3048270344734192	ἄδολος ; 0.9170469045639038	στειρόω ; 0.8204942941665649	ὀλιγόβιος ; 0.4432451128959656	ὕβρις ; 0.3140285611152649	ξυλοκόπος ; 0.31376340985298157	παῖς ; 0.43325868248939514	φιλοσοφία ; 0.562592625617981
-0.04694202166953099	ψωμίον	σιτομέτριον	πόμα	ψίξ	διατροφή	ἀλώπηξ	θρέμμα	ὑποζύγιον	ἀλώπηξ	1	4	1	7	2	2	13	1	31	συμβούλιον ; 0.3811291456222534	οἰκετεία ; 0.694636344909668	ἀγριόω ; 0.49058887362480164	κυνάριον ; 0.6247349977493286	τιμιότης ; 0.37203449010849	ὁμολόγέω ; 0.3527345657348633	Μερρα ; 0.36257606744766235	ὄνος ; 0.39184650778770447
0.012952384362665825	τεκνογονέω	τεκνογονία	γένεσις	ἔγκυος	τίκτω	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	τεκνογονέω	0	1	1	61	2	263	1	8	3	οἰκοδεσποτέω ; 0.9939171075820923	ἐφηβεῖον ; 0.5167163014411926	χαβραθα ; 0.2699272036552429	στειρόω ; 0.8204942941665649	Ἐλισάβετ ; 0.3048270344734192	ἀϊδιότης ; 0.4505866765975952	Ἐλύμας ; 0.44399458169937134	εὐαπάντητος ; 0.4911949634552002
-0.06270105975898577	πλοῦς	παραλέγομαι	ἀποπλέω	ἀνάγω	βραδυπλοέω	παραχειμάζω	χειμών	ἔτος	ἔτος	1	3	2	4	136	1	4	13	765	ἐπισφαλής ; 0.6389192938804626	Καλός ; 0.6986337900161743	Σελεύκεια ; 0.5014954209327698	ἐξάγω ; 0.5098456740379333	προσεάω ; 0.8920713067054749	Νικόπολις ; 0.5602219104766846	ἐπίκειμαι ; 0.3388899564743042	ἡμέρα ; 0.5154424905776978
0.03342708182623477	οἷος	ὁμοιόω	ὁμοίωμα	ἀφομοιόω	ὁμοίωσις	ἐλλογέω	καταλέγω	ἀποστάσιον	ἀποστάσιον	1	33	53	47	1	9	2	3	7	ἀκρόασις ; 0.268731951713562	ὅμοιος ; 0.30191242694854736	Ραιφαν ; 0.290120929479599	ἀγενεαλόγητος ; 0.6830546855926514	ἀναφάλαντος ; 0.39980238676071167	Ναχοθ ; 0.43208158016204834	προαποαγγέλλω ; 0.312746524810791	μύλωνος ; 0.38013213872909546
-0.044268667346218205	εὐσεβῶς	θρησκός	δεισιδαίμων	ἱεροπρεπής	εὐσεβής	ἔοικα	ὁμοίωσις	ὁμοιότης	εὐσεβής	0	2	1	1	3	36	4	9	6	καταστρηνιάω ; 0.35320740938186646	χαλιναγωγέω ; 0.7435294389724731	Ἀθηναῖος ; 0.5062700510025024	κατάστημα ; 0.6062768697738647	αἰσθάνομαι ; 0.27687665820121765	καπηλεύω ; 0.446662962436676	ἀναφάλαντος ; 0.39980238676071167	κάρπιμος ; 0.6003220081329346
