Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.09832353124115562	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	ἔθνος	1	72	3	1	36	8	1166	1	1	ἀρετή ; 0.5542329549789429	κατάστημα ; 0.6935298442840576	στρατιώτις ; 0.5452784299850464	ἀφθαρσία ; 0.47080671787261963	Ουφιρ ; 0.4219093918800354	λαός ; 0.5473682880401611	ὑπονοθεύω ; 0.5192893743515015	θεατρίζω ; 0.5222076773643494
0.0561511432486963	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	καταλέγω	0	1	7	41	7	3	4	2	1	ῥοιζηδόν ; 0.5638785362243652	πτύσσω ; 0.5408403873443604	πινακίδιον ; 0.4458204507827759	εἰσφορά ; 0.5528851747512817	μετρίως ; 0.46622636914253235	Ἐπικούρειος ; 0.49388784170150757	Φοινίκης ; 0.5245563387870789	ἀγορανομία ; 0.6731064319610596
0.0672589983543056	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	νεόφυτος	1	53	52	6	47	4	9	6	136	βιάζω ; 0.4162111282348633	φονεύς ; 0.4885260760784149	κάρπιμος ; 0.5759591460227966	ἄπνοος ; 0.440446138381958	διαιτέω ; 0.55677330493927	φίλτρον ; 0.5775851011276245	ἀπόδημος ; 0.4973861277103424	ἄνομος ; 0.6004043817520142
0.16461757066370664	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	λοιμός	0	8	30	22	1	7	444	350	316	ἱδρόω ; 0.4323742985725403	πραΰνω ; 0.40373510122299194	λέπρα ; 0.4986688792705536	Πόπλιος ; 0.6906453371047974	βακτηρία ; 0.4166967570781708	δύο ; 0.6308592557907104	εἴκοσι ; 0.6746211647987366	τρεῖς ; 0.5794972777366638
0.020353137028442103	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	ὀθόνη	1	1	31	118	1	101	5	2	8	κατεντευκτής ; 0.5565527081489563	παραγγελία ; 0.49959611892700195	ῥῆσις ; 0.5413169264793396	φίλανδρος ; 0.9600992798805237	παιδεία ; 0.497425377368927	ἄγναφος ; 0.5052752494812012	κεραμικός ; 0.5198801755905151	ἐντυλίσσω ; 0.48188498616218567
0.15628460965217977	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἐθνικῶς	1	29	93	8	35	1	1	2	113	ἐπιλαμβάνω ; 0.3758363723754883	ταράσσω ; 0.4474169909954071	Ακχω ; 0.5128010511398315	ὠδίς ; 0.46740585565567017	ἄτομος ; 0.949612557888031	Ἰουδαϊκῶς ; 0.902679979801178	παρείσακτος ; 0.7415834665298462	ἄδικος ; 0.6004043221473694
0.018322840957223197	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	διετία	0	2	765	2	167	1	1	36	8	σπόγγος ; 0.4823189377784729	ἡμέρα ; 0.6008667945861816	κατωτέρω ; 0.5883151292800903	ἔτος ; 0.5425105094909668	Ασιεδωθ ; 0.4744437634944916	στρατιώτις ; 0.5452784299850464	ἀφθαρσία ; 0.47080671787261963	συντηρέω ; 0.43076348304748535
0.057071910830937156	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἀγγελία	0	15	15	512	16	73	3	694	2	Ιορδάνης ; 0.4263925552368164	μεταλαμβάνω ; 0.3536528944969177	φελμουνι ; 0.4747401475906372	ἐκκαυχάομαι ; 0.4125230312347412	ἀναγγέλλω ; 0.5416302680969238	ἐξοπλησία ; 0.5200763940811157	πως ; 0.4405745565891266	μνημόσυνον ; 0.4529982805252075
0.13054359065635968	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	ἀόρατος	0	263	7	59	1	8	7	1	15	θεωρέω ; 0.5021023750305176	ὀλιγόπιστος ; 0.5303058624267578	βλέπω ; 0.46648460626602173	ἐγκατοικέω ; 0.5828713774681091	ἀκατασκεύαστος ; 0.5038062334060669	συγχωρέω ; 0.6085116863250732	ἱεροπρεπής ; 0.6935298442840576	ἄφρων ; 0.4613116383552551
0.07033032825712837	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	δοῦλος	1	263	1	2	7	39	10	510	1	Ἐλισάβετ ; 0.5875506401062012	ἐξαλάομαι ; 0.6782708168029785	ἔξαρθρος ; 0.4810441732406616	ὀλιγόβιος ; 0.4918079972267151	ὠδίνω ; 0.48066624999046326	Κυαμών ; 0.43250828981399536	παῖς ; 0.6110387444496155	διεκκύπτω ; 0.5851798057556152
