Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7
0.042373289430166716	εὐσέβεια	ἱεροπρεπής	θεοσέβεια	εὐσεβής	θρησκεία	ἔθνος	συμφυλέτης	ἐντόπιος	συμφυλέτης	1	72	3	1	36	8	1166	1	1	βάσανος ; 0.3202478885650635	διαμαρτυρία ; 0.38053882122039795	ξυνήων ; 0.3182477355003357	Φάϋλλος ; 0.27075064182281494	ἄλογος ; 0.3029571771621704	γῆ ; 0.3693002760410309	Ἱκέτας ; 0.35456910729408264	ἀπειροκαλία ; 0.33605748414993286
0.027439493602495924	ἰῶτα	ἀποστάσιον	γράμμα	χειρόγραφον	καταλέγω	πρωτεύω	πρωτοστάτης	ἐξοχή	ἰῶτα	0	1	7	41	7	3	4	2	1	κεραία ; 0.3508775234222412	σφηκία ; 0.33215492963790894	ελλουλιμ ; 0.3217700719833374	Ιερουσολημ ; 0.31958821415901184	μνημονεύω ; 0.30789875984191895	ἔνιοι ; 0.2815527021884918	ἀρχιερατεύω ; 0.33146005868911743	ἀκροατήριον ; 0.6437134742736816
-0.0005735301431303297	ὁμοιόω	ὁμοίως	ὁμοιότης	ὁμοίωμα	ἔοικα	ἀδελφότης	νεόφυτος	ἄδικος	ὁμοιότης	0	53	52	6	47	4	9	6	136	ἐγγηράω ; 0.2784340977668762	Εβλαζερ ; 0.31119465827941895	ἀνακλάω ; 0.30805882811546326	χάλκειος ; 0.3170725703239441	ἀρώσιμος ; 0.3213178217411041	πολύχρυσος ; 0.32215356826782227	ἀποτηγανίζω ; 0.29665154218673706	ἁμαρτωλός ; 0.2784465551376343
0.08278994531921197	κάμνω	λοιμός	λεπρός	δυσεντέριον	ἄρρωστος	τρεῖς	δέκα	πέντε	δυσεντέριον	0	8	30	22	1	7	444	350	316	ἔμβολος ; 0.2859470844268799	Αμμανῖτις ; 0.31748080253601074	ἐν-χειρόω ; 0.29486751556396484	ἱππομαχία ; 0.344193696975708	προσβλώσκω ; 0.3048554062843323	δύο ; 0.4061897397041321	εἴκοσι ; 0.5182304978370667	ὀκτώ ; 0.37766072154045105
0.07003400798882747	θεοδίδακτος	διδαχή	παιδεία	σωφρονίζω	παιδεύω	ἐπίβλημα	ὀθόνη	ὀθόνιον	ὀθόνη	1	1	31	118	1	101	5	2	8	σπερματισμός ; 0.37318867444992065	εἷος ; 0.2847912609577179	παιδεύω ; 0.284532368183136	ἐπειδήπερ ; 0.3790862262248993	παραζηλόω ; 0.312949538230896	ἄγναφος ; 0.5107470154762268	Ἄλκηστις ; 0.4332457184791565	ἀνάπνευστος ; 0.3118216097354889
0.10581645769747355	ἐκτινάσσω	σαλεύω	ἔντρομος	τρόμος	ῥιπή	ἐθνικῶς	ψευδάδελφος	ἄνομος	ἔντρομος	0	29	93	8	35	1	1	2	113	θρύψις ; 0.30520790815353394	Δελφίς ; 0.2784009873867035	Ελισαι ; 0.3328213393688202	προίωξις ; 0.3044537305831909	ζαής ; 0.29840773344039917	Ἰουδαϊκῶς ; 0.9169726371765137	παρείσακτος ; 0.355744332075119	ὑψηλοκάρδιος ; 0.3086966574192047
-0.03022833995214086	διετία	ἔτος	διετής	ἐνιαυτός	φθινοπωρινός	θεοσέβεια	εὐσεβής	θεοσεβής	φθινοπωρινός	0	2	765	2	167	1	1	36	8	Πόρκιος ; 0.38600248098373413	ἡμέρα ; 0.47175323963165283	ἔκφατος ; 0.309569776058197	ἡμέρα ; 0.3049054443836212	ἐπαφρίζω ; 0.596351683139801	ξυνήων ; 0.3182477355003357	Φάϋλλος ; 0.27075064182281494	στενοπός ; 0.28394418954849243
0.02865908090505004	ἀγγελία	ἐξηγέομαι	ἄγγελος	ἐκδιηγέομαι	διηγέομαι	ζῳογονέω	ζάω	ἐξανάστασις	ἄγγελος	0	15	15	512	16	73	3	694	2	οὐρανόνικος ; 0.2925559878349304	μειλίχιος ; 0.27865326404571533	ἀστήρ ; 0.2871827185153961	Ἀνδρομέδη ; 0.3033183217048645	ἀπαγγέλλω ; 0.34601858258247375	Εὐκλείδης ; 0.32904788851737976	ἀνάρχετος ; 0.3152490556240082	μετασκευάζω ; 0.2854475975036621
0.019434554807891802	βλέπω	περιβλέπομαι	ἀναβλέπω	βλέμμα	ἀόρατος	ἀγωγή	κατάστημα	συνοικέω	κατάστημα	1	263	7	59	1	8	7	1	15	ἔχω ; 0.29852670431137085	Τιμάνδρα ; 0.3014686405658722	δεῦρο ; 0.29574185609817505	ἐγκατοικέω ; 0.5224919319152832	Μυκήνη ; 0.3079315423965454	ἄνεμος ; 0.2954520583152771	ὑλοτόμος ; 0.38026440143585205	λαβίς ; 0.3020530343055725
-0.0006734423746782014	τίκτω	ἀρτιγέννητος	ἔγκυος	γεννητός	ὠδίν	ζωγρέω	δοῦλος	συλαγωγέω	δοῦλος	1	263	1	2	7	39	10	510	1	ἐπονομάζω ; 0.28938668966293335	καταλαλιά ; 0.4387401342391968	ἐθελοντή́ ; 0.36921876668930054	πίτυρον ; 0.3563251197338104	ἀλαοσκοπιά ; 0.3024451732635498	ξερόν ; 0.2969169020652771	παῖς ; 0.4269139766693115	ψευδόμαντις ; 0.4077567458152771
