Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.06266984798128161	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	τριετία	0	2	766	1	11	1	16	4	7	33	110	συμπληρόω ; 0.7112691402435303	Ιαμουνι ; 0.7401449084281921	ἀνεύθετος ; 0.7664871215820312	που ; 0.7016932964324951	μέτριος ; 0.6989457607269287	δούλη ; 0.6770501136779785	φονοκτονία ; 0.6629728078842163	Αμνων ; 0.6542588472366333	δεξαμενή ; 0.719558596611023	λατόμητος ; 0.677478551864624
0.08628139557910153	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	εὐπάρεδρον	0	15	1	8	1	475	8	83	1	2179	361	αὐθαίρετος ; 0.6585879921913147	ἀπερισπάστως ; 0.9546909332275391	Ευαν ; 0.6636667847633362	Ουλαμ ; 0.6902051568031311	προφητεύω ; 0.6529781818389893	περιοχέω ; 0.6875373721122742	Βαιθεγενεθ ; 0.6193431615829468	ὁμότεχνος ; 0.7891706228256226	Ιωανας ; 0.6696312427520752	ἔνδον ; 0.6737383604049683
-0.038699569287279745	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	πορθέω	0	468	221	5	28	1	4	396	2542	8	2	ἐξολεθρεύω ; 0.767534077167511	ἀπόλλυμι ; 0.767534077167511	Εσδρις ; 0.6073539853096008	διωγμός ; 0.6950149536132812	πρόσχυσις ; 0.8417738676071167	ἐπιλογίζομαι ; 0.7000734210014343	συνίστημι ; 0.7563339471817017	τίθημι ; 0.7965484261512756	λαγχάνω ; 0.7445412278175354	ἀπόδεκτος ; 0.640387237071991
0.09551851465549688	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωμα	1	41	2	226	1	41	47	138	9	52	1	ἁμαρτία ; 0.7175228595733643	καταμωκάομαι ; 0.6639145612716675	δίκαιος ; 0.7737939953804016	ζήτημα ; 0.6483895182609558	ἐξειλέω ; 0.692763090133667	ψώρα ; 0.6211404204368591	ἀσθενής ; 0.687393307685852	ὀβελίσκος ; 0.6216869354248047	ἑαυτοῦ ; 0.6968705654144287	διηνεκής ; 0.7005065679550171
0.0766565052514368	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	παροίχομαι	0	3	1	3	1	192	1	1	2	12	1	Αχιαχαρος ; 0.6443458199501038	κτίζω ; 0.6961439847946167	μέλι ; 0.6778637170791626	ἄρθρον ; 0.6500321626663208	ἔσχατος ; 0.6630361080169678	ἐθελοθρησκία ; 0.6787780523300171	Αραμα ; 0.6634270548820496	εὐπορέομαι ; 0.6820138096809387	ἀπόλυσις ; 0.7748158574104309	ἐναγωνίζομαι ; 0.6542004942893982
0.07293227997720075	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	εὐσεβής	1	13	1	5	6	57	1	8	8	1	36	λάμψις ; 0.6655623316764832	Μαγδαληνή ; 0.6781441569328308	Μισαηλ ; 0.6514512300491333	κονία ; 0.685684084892273	σοφία ; 0.6556946039199829	συγκάλυμμα ; 0.615117073059082	φορθομμιν ; 0.6389141082763672	ἀντιπαραγωγή ; 0.6894647479057312	Γαλιλαίᾳ ; 0.707403838634491	ἀκρόπολις ; 0.698039710521698
0.07657690258724026	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	97	2	51	28	ἄνιπτος ; 0.686508297920227	ἀπολέγω ; 0.6791127920150757	λατόμητος ; 0.677478551864624	δούλη ; 0.6770501136779785	ἄριστον ; 0.6398674249649048	σκότος ; 0.7955307960510254	περαίνω ; 0.7140688896179199	Χουζᾶς ; 0.7279792428016663	ἐκλάμπω ; 0.7366803884506226	ἀστραπή ; 0.6897705793380737
0.18312740351033596	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	πταίω	1	6	19	1	45	17	41	312	2	20	1	πορνεῖον ; 0.6348791718482971	χόρτος ; 0.7074873447418213	Μαριμωθ ; 0.7220692038536072	ῥίζα ; 0.6568783521652222	δίδυμος ; 0.6258544921875	ἁμαρτία ; 0.7175228595733643	ἐκζητέω ; 0.6882336735725403	εὐαρεστέω ; 0.6442546248435974	Τρίπολις ; 0.625697672367096	ζήτημα ; 0.6483895182609558
0.21583648163610802	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐκδιηγέομαι	1	6	11	346	956	100	16	1	15	273	7	σκάφη ; 0.7053620219230652	κρημνός ; 0.6119483709335327	εἰσέρχομαι ; 0.7427722215652466	εἰσέρχομαι ; 0.8427386283874512	ἐκπέμπω ; 0.6452181339263916	ἀπόκρυφος ; 0.749488353729248	Ασβασαρεθ ; 0.6141979694366455	ἀποπλάνησις ; 0.745609700679779	ὑπόστημα ; 0.6397565603256226	ἐξερεύνησις ; 0.6884482502937317
0.04740720729236714	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	ὄλεθρος	0	1	140	1	20	28	1	1	4	64	25	Ἑνώχ ; 0.586858868598938	ὑβριστής ; 0.6513946056365967	πρόσχυσις ; 0.8417738676071167	εὐεργετέω ; 0.6036545038223267	διωγμός ; 0.6950149536132812	χαλκίον ; 0.6862055659294128	Λωδαβαρ ; 0.7088487148284912	ἄτρυγος ; 0.6211718916893005	Ἰερουσολημ ; 0.6308063268661499	χαλκός ; 0.7504857778549194
