Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.017307144453362455	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	τριετία	0	2	766	1	11	1	16	4	7	33	110	βασιλικός ; 0.6702836155891418	ἡμέρα ; 0.7384193539619446	ὀνύχιον ; 0.62321537733078	σμῖλαξ ; 0.6812491416931152	ὑπομένω ; 0.7625440955162048	ταμιεῖον ; 0.716016411781311	ὑπογράφω ; 0.6192663908004761	διαλιμπάνω ; 0.6771599650382996	ταμιεῖον ; 0.6958714723587036	χρυσίον ; 0.6989813446998596
0.0697747615787877	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	προφῆτις	0	15	1	8	1	475	8	83	1	2179	361	λακάω ; 0.6613588333129883	ἀπερισπάστως ; 0.8465940952301025	ἀκαρπία ; 0.6378293037414551	ἱλασμός ; 0.6917556524276733	προφητεύω ; 0.668930172920227	δορυφορία ; 0.6636228561401367	Βερεα ; 0.6087514162063599	προσκαταλείπω ; 0.6792705655097961	εἰσοδιάζω ; 0.6905145645141602	πόλις ; 0.696591854095459
-0.025619792090131155	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	πορθέω	0	468	221	5	28	1	4	396	2542	8	2	ἐμπίπτω ; 0.7171775102615356	ἐξαίρω ; 0.7675549983978271	Σαφωνι ; 0.6698446273803711	Σόδομα ; 0.705418586730957	Αγαρμι ; 0.7066240310668945	ἀπαυτομολέω ; 0.668891191482544	ἐξαποστέλλω ; 0.7331612706184387	κτάομαι ; 0.7548238039016724	ἀργυρώνητος ; 0.6902722120285034	συσκήνια ; 0.6395227909088135
0.059827914186919406	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωμα	1	41	2	226	1	41	47	138	9	52	1	προσθέω ; 0.7277487516403198	ἀνακάμπτω ; 0.6948909163475037	ἄνομος ; 0.7818679809570312	ψεύστης ; 0.7305246591567993	ψυχή ; 0.6880527138710022	ὁρμίσκος ; 0.666999876499176	πῶς ; 0.7060390710830688	αἰσχρός ; 0.706885576248169	ἑαυτοῦ ; 0.7789921164512634	ἀπαράβατος ; 0.6628274917602539
0.09070027366898015	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	ἑκάστοτε	0	3	1	3	1	192	1	1	2	12	1	ἀναδίδωμι ; 0.6958839893341064	κατενῆμαι ; 0.6512439250946045	πολυήμερος ; 0.7662441730499268	Λουιθ ; 0.681018590927124	εὐμένεια ; 0.6221259236335754	ἀνέφικτος ; 0.662888765335083	προκαλέομαι ; 0.7038334608078003	σχεδόν ; 0.712273120880127	ἐπιτυχία ; 0.6692432165145874	ἐκλανθάνω ; 0.7125502228736877
0.12648426312586708	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	γόης ; 0.6898042559623718	μόδιος ; 0.7036715745925903	σῷος ; 0.6541829109191895	ὠτίον ; 0.6496232748031616	σύγκριμα ; 0.666330873966217	Ἰεζάβελ ; 0.7660024762153625	μακαρίζω ; 0.6502139568328857	θεϊμ ; 0.643208920955658	στιβαρός ; 0.6420624256134033	δίκαιος ; 0.7560829520225525
0.056433951661706394	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	97	2	51	28	καθαρότης ; 0.6825714707374573	ἔπαλξις ; 0.681863009929657	χρυσίον ; 0.6989813446998596	ταμιεῖον ; 0.716016411781311	δοξολογέω ; 0.735031247138977	σκότος ; 0.7915980815887451	ἕπομαι ; 0.6831372380256653	ὕστερος ; 0.6363934278488159	ἀλλοιόω ; 0.703768253326416	καπνός ; 0.69810950756073
0.2581269441612678	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄψινθος	0	6	19	1	45	17	41	312	2	20	1	νέωμα ; 0.6381711959838867	χόρτος ; 0.7730972170829773	δίψα ; 0.6718369126319885	ἰκμάς ; 0.6357158422470093	χόρτος ; 0.7352689504623413	προσθέω ; 0.7277487516403198	πλημμελέω ; 0.7289323806762695	ἀνελεημόνως ; 0.6875464916229248	πολεμέω ; 0.6732251048088074	ψεύστης ; 0.7305246591567993
0.24978564560509753	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐκδιηγέομαι	1	6	11	346	956	100	16	1	15	273	7	καταδέσμους ; 0.6454189419746399	Ραμεσσή ; 0.6751581430435181	πορεύομαι ; 0.7733023762702942	εἰσέρχομαι ; 0.8164316415786743	ἐπιτρέπω ; 0.6393301486968994	συγκεράννυμι ; 0.6059666872024536	Αμμανίτης ; 0.6543149948120117	ταλαιπωρία ; 0.7279773950576782	ἀκούω ; 0.7499443292617798	ἐξαγγέλλω ; 0.6695646643638611
0.05471476713142609	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	140	1	20	28	1	1	4	64	25	ὑπερδυναμόω ; 0.6224250793457031	αὐθημερόν ; 0.7064733505249023	Αγαρμι ; 0.7066240310668945	ὑπόστασις ; 0.6960816979408264	Σόδομα ; 0.705418586730957	χαλκίον ; 0.6798028349876404	κατανεύω ; 0.6544129252433777	ἀμφιβολεύς ; 0.7018880248069763	ἐπενδύομαι ; 0.6389800310134888	δίψα ; 0.7002767324447632
