Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.03760459075810041	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	ἔτος	0	2	766	1	11	1	16	4	7	33	110	Διόσπολις ; 0.46429693698883057	πηχύς ; 0.5408212542533875	ἀνεύθετος ; 0.5370338559150696	κλεψύδρα ; 0.4296632409095764	ὄψιος ; 0.42487093806266785	ελλουλιμ ; 0.5353758931159973	μήτ̓ ; 0.4478997588157654	Γοργίας ; 0.44680148363113403	λίβανος ; 0.4664843678474426	λίβανος ; 0.48914995789527893
0.03724837470604231	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	εὐπάρεδρον	0	15	1	8	1	475	8	83	1	2179	361	φαιλόνης ; 0.44795554876327515	ἀπερισπάστως ; 0.9057176113128662	Ἑκάτη ; 0.4469206929206848	γυναικοπληθής ; 0.45116400718688965	φήνη ; 0.4074782729148865	ταμιεῖον ; 0.4834560751914978	πόλις ; 0.45593708753585815	ὁμότεχνος ; 0.7063254117965698	ἀγρός ; 0.4206107258796692	πόλις ; 0.47698670625686646
-0.013115573892862276	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	πορθέω	0	468	221	5	28	1	4	396	2542	8	2	ἐξολεθρεύω ; 0.4429987668991089	ἐξαίρω ; 0.5916424989700317	μαγεύω ; 0.44265156984329224	ζημία ; 0.5370428562164307	πρόσχυσις ; 0.7137451767921448	εὐλαβῶς ; 0.48088517785072327	σώζω ; 0.4650574028491974	τίθημι ; 0.5900585055351257	Ἀχριανή ; 0.4499291777610779	μειρακύλλιον ; 0.452410489320755
0.08205220530842583	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ἁμαρτωλός	0	41	2	226	1	41	47	138	9	52	1	ἀναρχία ; 0.4644559621810913	λάχανον ; 0.4440150260925293	ἀσεβής ; 0.5197046995162964	τάλας ; 0.4785887598991394	οἰκτιρμός ; 0.4548381567001343	Αδα ; 0.43264496326446533	ἄπειμι ; 0.4701404571533203	ὀρχέω ; 0.47997522354125977	φωλεός ; 0.45462363958358765	πλουτοδότης ; 0.47439712285995483
-0.02227589072906505	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	διαγίνομαι	0	3	1	3	1	192	1	1	2	12	1	ἀμφιάζω ; 0.4613826274871826	Λευκτρικός ; 0.46840009093284607	μακροήμερος ; 0.5886906385421753	μεταδιαιτέω ; 0.49155527353286743	ζοφερός ; 0.5221785306930542	ὑποτάσσω ; 0.4627089202404022	Αγγαιας ; 0.44514602422714233	εἰπόν ; 0.5184204578399658	Εὐβοεύς ; 0.41369324922561646	παρά,ἀνά-ὀχλέω ; 0.44591617584228516
0.028694179867806424	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	θρησκεία	1	13	1	5	6	57	1	8	8	1	36	ὀρχηθμός ; 0.4230624735355377	Ἄρβων ; 0.41528958082199097	ἀγρότερος ; 0.46991944313049316	ταυροπόλος ; 0.47804421186447144	Ἀλήσιον ; 0.5695840120315552	Δημοτίων ; 0.48028022050857544	χράω1 ; 0.4290613532066345	χρυσαυγέω ; 0.4717351794242859	κηδεύω ; 0.4914700984954834	ἀνέλεος ; 0.4294588565826416
-0.001282968852119648	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	ἐπιφώσκω	1	1	4	110	16	2	248	97	2	51	28	ιηN ; 0.47808462381362915	ὅριος ; 0.4924461245536804	λίβανος ; 0.48914995789527893	ελλουλιμ ; 0.5353758931159973	Εμεμαων ; 0.4865187108516693	ἀστραπή ; 0.4431871175765991	ὀφειλή ; 0.4102208614349365	ὑποχωρέω ; 0.4796997010707855	χειραγωγέω ; 0.4271696209907532	δάκος ; 0.41132238507270813
0.05637319854702744	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄψινθος	0	6	19	1	45	17	41	312	2	20	1	ἄκμων ; 0.48253175616264343	θηρίον ; 0.4179283678531647	Ἄψινθος ; 0.5828897356987	φυσητήρ ; 0.41796427965164185	Ἐμπεδοκλῆς ; 0.4837372899055481	ἀναρχία ; 0.4644559621810913	ἁμαρτία ; 0.4411737322807312	μυέομαι ; 0.43280088901519775	καπηλεύω ; 0.47554484009742737	τάλας ; 0.4785887598991394
0.06083936869556378	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐκδιηγέομαι	1	6	11	346	956	100	16	1	15	273	7	Καρχηδών ; 0.45115387439727783	ξενολογέω ; 0.5014312267303467	εἰσάγω ; 0.5835197567939758	καταβαίνω ; 0.5213180780410767	ἀφορμή ; 0.4385349154472351	Ἰκάριος ; 0.40093493461608887	καλέω ; 0.4300585389137268	ἄμομφος ; 0.41793593764305115	γνωρίζω ; 0.5273650884628296	κατέχω ; 0.43317025899887085
0.022454626163018743	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	140	1	20	28	1	1	4	64	25	δέκτωρ ; 0.4728342592716217	εἰσπηδάω ; 0.40643492341041565	πρόσχυσις ; 0.7137451767921448	δυναστεία ; 0.49869251251220703	ζημία ; 0.5370428562164307	χαλκίον ; 0.5707203149795532	λέντιον ; 0.5194225907325745	ἐπαείρω ; 0.4347863495349884	κνάπτω ; 0.46730655431747437	διαγινώσκω ; 0.4502730965614319
