Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.038454707720224024	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	τριετία	0	2	766	1	11	1	16	4	7	33	110	ἑπτά ; 0.48073810338974	πηχύς ; 0.5221649408340454	διαχειροτονία ; 0.42094358801841736	Ζογορα ; 0.4932827651500702	βραδυπλοέω ; 0.47769004106521606	δούλη ; 0.4699639081954956	Γάιος ; 0.44647467136383057	συλλογισμός ; 0.4460199475288391	ταμιεῖον ; 0.44287052750587463	περισσεύω ; 0.44647425413131714
0.02707217603677814	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	εὐπάρεδρον	0	15	1	8	1	475	8	83	1	2179	361	Ἀριστοφάνης ; 0.4863177537918091	ἀπερισπάστως ; 0.7231014966964722	ἔλασμα ; 0.43668293952941895	Ἀγχάρης ; 0.44859814643859863	κεφαλιόω ; 0.4233675003051758	αὐτάγρετος ; 0.46870124340057373	ὄγμος ; 0.4830803871154785	μονοχίτων ; 0.5382558107376099	Αιλωθ ; 0.44168877601623535	πόλις ; 0.4785495102405548
0.02336585991540341	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	468	221	5	28	1	4	396	2542	8	2	προσοχθίζω ; 0.5367208123207092	ἐξαίρω ; 0.6046353578567505	κηπουρός ; 0.46043869853019714	ζημία ; 0.46827614307403564	πρόσχυσις ; 0.5618336200714111	Ἐνάρεες ; 0.4737783670425415	δίδωμι ; 0.45106828212738037	φέρω ; 0.5394916534423828	ἄγω ; 0.4453301727771759	συνακμάζω ; 0.5076640248298645
0.03227128028688703	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ἁμαρτωλός	0	41	2	226	1	41	47	138	9	52	1	στενάζω ; 0.4327037036418915	καταυδάω ; 0.4920240640640259	ἀσεβής ; 0.587653636932373	χθονοτρεφής ; 0.5591461062431335	ἁμαρτία ; 0.4750671088695526	μορφή ; 0.438534677028656	Κάμειρος ; 0.41117072105407715	Ἡρακλείδης ; 0.49927496910095215	Ασιμαθ ; 0.43313801288604736	Ιδαερ ; 0.4882490634918213
0.005131025665838729	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	ἐπίλυσις	1	3	1	3	1	192	1	1	2	12	1	ἁψιμαχέω ; 0.49773257970809937	βρότεος ; 0.4618144631385803	μακροήμερος ; 0.670682430267334	κισσός ; 0.46255189180374146	Ἀπολλῶς ; 0.46370548009872437	τητάομαι ; 0.4472410976886749	φιλόστονος ; 0.4946254789829254	ξύρησις ; 0.44213420152664185	προστάσσω ; 0.4408460259437561	ἐπειδήπερ ; 0.46928855776786804
0.0029629559775943837	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	ἐμφανής ; 0.4577500820159912	ὀλοοίτροχος ; 0.4951600432395935	ἀλάστωρ ; 0.4613535702228546	κωλύμη ; 0.4366649389266968	διάκονος ; 0.4388224482536316	ὑδρωπικός ; 0.48211973905563354	Φυλώ ; 0.41598063707351685	ὄαρος ; 0.4677453637123108	χαλιναγωγέω ; 0.5105561017990112	βάσκανος ; 0.46197864413261414
0.025629482209748866	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κοιτών	0	1	4	110	16	2	248	97	2	51	28	ιηN ; 0.5942572355270386	νομόνδε ; 0.4127386510372162	περισσεύω ; 0.44647425413131714	δούλη ; 0.4699639081954956	ῥοχθέω ; 0.47488173842430115	διανίστημι ; 0.4754437804222107	ἰχθύδιον ; 0.4234597384929657	Πόλις ; 0.5319557189941406	ἐπαρωγός ; 0.4577787518501282	στοργή ; 0.4691696763038635
0.13970341708304984	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄψινθος	0	6	19	1	45	17	41	312	2	20	1	ὑποτοπέω ; 0.4123225510120392	θηρίον ; 0.4367556869983673	ἀντιπαρατάσσω ; 0.4841897785663605	σύλλογος ; 0.4269866347312927	ὑπηνήτης ; 0.417585551738739	στενάζω ; 0.4327037036418915	ἁμαρτία ; 0.47308334708213806	Ἶσος ; 0.46582895517349243	πυριγενέτης ; 0.4849432706832886	χθονοτρεφής ; 0.5591461062431335
0.0739408281748467	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐκδιηγέομαι	1	6	11	346	956	100	16	1	15	273	7	προπηλακίζω ; 0.470146119594574	πλαγιάζω ; 0.4473111927509308	πορεύομαι ; 0.440151572227478	ἐκπορεύομαι ; 0.5889146327972412	μήτι ; 0.506283700466156	Ὑάμπολις ; 0.4542458653450012	Γεθχοβερ ; 0.438387930393219	μέριμνα ; 0.47433823347091675	διηγέομαι ; 0.5071285963058472	φη ; 0.44428932666778564
0.07315628019090048	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	140	1	20	28	1	1	4	64	25	ἐνσχολάζω ; 0.48168060183525085	Ρωσαι ; 0.407387375831604	πρόσχυσις ; 0.5618336200714111	αὐτοῦ ; 0.4117472171783447	ζημία ; 0.46827614307403564	χαλκίον ; 0.5798656940460205	Βαλεκ ; 0.619098424911499	Σεπφαμα ; 0.41858726739883423	κατελπίζω ; 0.46188610792160034	κνισός ; 0.5509807467460632
0.12694483609801943	ἀμήτωρ	προπάτωρ	γονεύς	μάμμη	πρόγονος	τρεῖς	τέσσαρες	δέκα	πέντε	ὀκτώ	μάμμη	0	1	2	37	2	13	444	289	351	316	91	ἀγενεαλόγητος ; 0.4622022211551666	θηριομαχέω ; 0.42785996198654175	θεοπρέπεια ; 0.4508434534072876	Λωΐς ; 0.5294973850250244	Βορεάς ; 0.4616803824901581	δύο ; 0.5963902473449707	δύο ; 0.534081220626831	εἴκοσι ; 0.6883323192596436	δέκα ; 0.518283486366272	πέντε ; 0.5071417093276978
