Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.0026434687558287706	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	τριετία	0	2	767	1	11	1	16	4	7	33	110	βασιλικός ; 0.7025249600410461	ἡμέρα ; 0.7099722623825073	Φίλιπποι ; 0.5869393944740295	ἀπερίσπαστος ; 0.718300998210907	ἐγκακέω ; 0.6870967149734497	εὐπάρεδρον ; 0.6400564312934875	ἑτοίμως ; 0.6793109178543091	ἁδρύνω ; 0.6679360866546631	ταμιεῖον ; 0.7154603004455566	Σασαβασαρ ; 0.7346774339675903
0.11982185032381193	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	σκήνωμα	1	15	1	8	1	477	8	83	1	2180	361	εὐτολμία ; 0.6540426015853882	ἀπερισπάστως ; 0.9464426040649414	ἐπισκοπός ; 0.6608285903930664	Κορνήλιος ; 0.6746920347213745	Ἰερεμίας ; 0.6285008192062378	Νωμαν ; 0.7540213465690613	ἐναντίος ; 0.6296365857124329	ὁμότεχνος ; 0.7269859313964844	Ιωανας ; 0.7257644534111023	διόλου ; 0.720673143863678
-0.02180072146116807	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	468	221	5	28	1	4	396	2545	8	2	ἰουδαΐζω ; 0.6630985736846924	ἐξαίρω ; 0.789616584777832	Ναζωραῖος ; 0.7122695446014404	ἀποργίζομαι ; 0.6228154897689819	πρόσχυσις ; 0.8008111119270325	Ραφες ; 0.682479977607727	ἐκπεταννύω ; 0.7718526721000671	ποιέω ; 0.7704248428344727	τροποφορέω ; 0.7214171886444092	διαπαρατηρέω ; 0.6370400190353394
0.127775978315884	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωσις	1	41	2	226	1	41	47	138	9	52	1	πόνος ; 0.6756949424743652	οὐκέτι ; 0.7043155431747437	δίκαιος ; 0.7592529058456421	μισάνθρωπος ; 0.67864590883255	ἁμαρτία ; 0.7035455703735352	ὁμοίοω ; 0.701623260974884	ἀλλά ; 0.6543946266174316	βραδύγλωσσος ; 0.7030924558639526	παιδίον ; 0.645828366279602	ἀντερείδω ; 0.6230604648590088
0.006998550330301279	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	διερμηνευτής	1	3	1	3	1	193	1	1	2	12	1	ἀπολαμβάνω ; 0.634227454662323	χυτήν ; 0.7037645578384399	κατάρα ; 0.6915006637573242	ἀπόλυσις ; 0.6501456499099731	δράκος ; 0.6213462948799133	ἐμπλέκομαι ; 0.6425271034240723	κατάγνυμι ; 0.6435554027557373	εὐκοσμέω ; 0.6109172105789185	ἐπιρραίνω ; 0.6907356977462769	μακαριστός ; 0.6174955368041992
0.1062564199225709	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	κακίζω ; 0.6837565898895264	μόδιος ; 0.6205279231071472	ἐμμανής ; 0.6734858751296997	Σαυα ; 0.6173349022865295	κραταίοω ; 0.6881603002548218	τρυφή ; 0.669331431388855	ἐπιταράσσω ; 0.6154198050498962	πάθος ; 0.7073487043380737	εἰσκυκλέω ; 0.6466851234436035	ὁρατής ; 0.6932348012924194
0.07059832858801329	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	φαίνω	1	1	4	110	16	2	248	97	2	51	28	φρόνιμος ; 0.6515216827392578	λευκανίζω ; 0.6385171413421631	Σασαβασαρ ; 0.7346774339675903	εὐπάρεδρον ; 0.6400564312934875	κατοικητήριον ; 0.6825869083404541	ἐκτρέπω ; 0.7152410745620728	νομοθετέομαι ; 0.7513233423233032	πρωία ; 0.6420664191246033	κατάντημα ; 0.6911117434501648	ὑποποδίον ; 0.6560451984405518
0.1783255656326066	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄπταιστος	1	6	19	1	45	17	41	312	2	20	1	ἐξερημόω ; 0.6778246164321899	χόρτος ; 0.7050672769546509	Ἄψινθος ; 0.7075741291046143	κλῆμα ; 0.6862783432006836	βῶλος ; 0.6495006680488586	πόνος ; 0.6756949424743652	ἐγκαταλείπω ; 0.666305422782898	φάντασμα ; 0.5965672731399536	ἐκπολεμέω ; 0.6957978010177612	μισάνθρωπος ; 0.67864590883255
0.1277832288594552	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγέλλω	1	6	11	346	957	100	16	1	15	274	7	περιαγω ; 0.7052934765815735	διεξοδεύω ; 0.6327797770500183	καταμένω ; 0.6845072507858276	εἰσέρχομαι ; 0.7907552123069763	ἄσημος ; 0.7108597755432129	ἀκαταστασία ; 0.6286555528640747	θρεπτή ; 0.6745936870574951	χερσόομαι ; 0.7222973704338074	ἀπαγγέλλω ; 0.7140693664550781	διαλογισμός ; 0.6425385475158691
0.10840278578982487	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	140	1	20	28	1	1	4	64	25	ἀγάπη ; 0.6873317360877991	ἐπιμίγνυμι ; 0.6228032112121582	πρόσχυσις ; 0.8008111119270325	Αβδησελμα ; 0.6291192770004272	ἀποργίζομαι ; 0.6228154897689819	χαλκίον ; 0.6954896450042725	Τομμαν ; 0.7221006155014038	ἐξοδεύω ; 0.6754074096679688	σμυρνίζω ; 0.7045754790306091	αἰγίδιον ; 0.6510224342346191
