Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.000790913478502131	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	θέρος	0	2	767	1	11	1	16	4	7	33	110	ἅλς ; 0.5431722402572632	Χαρμη ; 0.5900272727012634	Ἰωάννης ; 0.562836229801178	κτίσις ; 0.5855889320373535	ἡμισεύω ; 0.5562361478805542	ταμιεῖον ; 0.639367401599884	ἔγω ; 0.5275170803070068	κορέννυμι ; 0.509892463684082	ταμιεῖον ; 0.6122007966041565	ὀνύχιον ; 0.5701233148574829
0.047838048635445884	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	προφήτης	0	15	1	8	1	477	8	83	1	2180	361	μυστικῶς ; 0.5583181381225586	ἀπερισπάστως ; 0.8381913900375366	πλέκω ; 0.47769302129745483	Οὐρίας ; 0.5419964790344238	Βαραχίας ; 0.5413930416107178	συμποιέω ; 0.515095591545105	κύκλος ; 0.592275857925415	ἐπιδιορθόω ; 0.5261576771736145	Αιλωθ ; 0.574942946434021	πόλις ; 0.6287890076637268
0.03941880632375344	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	πορθέω	0	468	221	5	28	1	4	396	2545	8	2	καταλείπω ; 0.6425082683563232	ἐξαίρω ; 0.6975764632225037	καρυωτός ; 0.5683420896530151	παιδαγωγός ; 0.517067015171051	πρόσχυσις ; 0.6119282245635986	νοσέω ; 0.5562098026275635	ἐξαποστέλλω ; 0.6322757005691528	τίθημι ; 0.6858775019645691	θέσις ; 0.5537697076797485	ὕμνος ; 0.5454351902008057
0.11401169726876642	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	προαμαρτάνω	0	41	2	226	1	41	47	138	9	52	1	κατώδυνος ; 0.5564138293266296	Ταβεηλ ; 0.5167875289916992	ἀσεβής ; 0.6255244016647339	κακοτεχνάομαι ; 0.5983473062515259	ἁμαρτία ; 0.5873128175735474	ἀόρατος ; 0.4959467649459839	μισητός ; 0.5032621026039124	ῥάβδος ; 0.5110275149345398	Βαιθηλβεριθ ; 0.5233926773071289	ἐνείρω ; 0.613584041595459
0.022053422379528786	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	διαγίνομαι	0	3	1	3	1	193	1	1	2	12	1	προλήνιον ; 0.534108579158783	περισπόριον ; 0.5391815900802612	πολυήμερος ; 0.6769484281539917	Αναηλ ; 0.59233558177948	αἰώνιος ; 0.508651614189148	ὑπερλίαν ; 0.5372703671455383	ῥυτίς ; 0.5577088594436646	συμπληρόω ; 0.5704904794692993	ἀπόλυσις ; 0.5560305714607239	Ῥαμά ; 0.602332353591919
0.08480573759140636	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	θεοσεβής	1	13	1	5	6	57	1	8	8	1	36	αἰσχρός ; 0.502775251865387	πομπεύω ; 0.5518651008605957	σῷος ; 0.517541229724884	κρυπτός ; 0.5700039267539978	λόγος ; 0.554684042930603	εὐσχημόνως ; 0.5611811876296997	παροράω ; 0.528197705745697	φιλανθρωπία ; 0.5471488237380981	ῥυτίς ; 0.6015152335166931	Ἑλληνισμός ; 0.5929785370826721
0.0562365890979909	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κοιτών	0	1	4	110	16	2	248	97	2	51	28	νουθέτημα ; 0.5124224424362183	ἀπορρώξ ; 0.5048468112945557	ὀνύχιον ; 0.5701233148574829	ταμιεῖον ; 0.639367401599884	ῥυόμαι ; 0.5560075640678406	ἐκτρέπω ; 0.5609482526779175	φανερόω ; 0.5446207523345947	τελώνης ; 0.5275850892066956	σκιά ; 0.6411786079406738	τροχός ; 0.5219950675964355
0.20466056440336616	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄπταιστος	1	6	19	1	45	17	41	312	2	20	1	προμαχών ; 0.5454281568527222	θηρίον ; 0.5602630972862244	διαστράπτω ; 0.5307507514953613	ὀπωροφυλάκιον ; 0.5315537452697754	ἐξοχή ; 0.49442607164382935	κατώδυνος ; 0.5564138293266296	πλημμελέω ; 0.575597882270813	Κωλιτας ; 0.5404423475265503	ἐκκρέμαμαι ; 0.5314516425132751	κακοτεχνάομαι ; 0.5983473062515259
0.133816212120839	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγέλλω	1	6	11	346	957	100	16	1	15	274	7	Δαθεμα ; 0.5746607780456543	ἐκδικήσις ; 0.5116220712661743	εἰσέρχομαι ; 0.5889782905578613	καταβαίνω ; 0.6810334920883179	ἐπιτρέπω ; 0.5426045060157776	βροντή ; 0.5275928974151611	ὡσαννά ; 0.5416795015335083	μνήμη ; 0.5136193633079529	ἀπαγγέλλω ; 0.6032231450080872	ἄρρητος ; 0.550748884677887
0.06453527870277409	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	νιπτήρ	1	1	140	1	20	28	1	1	4	64	25	κατακονδυλίζω ; 0.5287612676620483	συμμιαίνω ; 0.5011023879051208	πρόσχυσις ; 0.6119282245635986	Φαραθωνίτης ; 0.5682041645050049	παιδαγωγός ; 0.517067015171051	χαλκίον ; 0.5827651023864746	ἐλαία ; 0.5228641033172607	κοῖλος ; 0.5686659812927246	γράμμα ; 0.5460126399993896	ἀμφίταπος ; 0.521442711353302
