Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.040230728695978824	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	ἔτος	0	2	767	1	11	1	16	4	7	33	110	ἀπαίδευτος ; 0.2962953448295593	Φάσσορος ; 0.3899223804473877	τρώκτης ; 0.2791839838027954	ἰδρεία ; 0.3010224997997284	μοιχάω ; 0.29541027545928955	χαλκίον ; 0.26155248284339905	ακαν ; 0.2963472008705139	ἀντίχριστος ; 0.26778358221054077	νῆστις ; 0.3308372497558594	Θενναχ ; 0.2991557717323303
0.006768299036937431	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	εὐπάρεδρον	0	15	1	8	1	477	8	83	1	2180	361	βέλτιον ; 0.2743286192417145	ἀπερισπάστως ; 0.9338658452033997	Αδα ; 0.30014485120773315	ἀγαθοποιΐα ; 0.4485393762588501	ἁγνεών ; 0.26848822832107544	συνέρχομαι ; 0.2729617655277252	2 ; 0.2839316427707672	ὁμότεχνος ; 0.7242121696472168	εἵλκω ; 0.27841249108314514	ἀναξίως ; 0.27479416131973267
0.01851736856276917	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	πορθέω	0	468	221	5	28	1	4	396	2545	8	2	ὁ ; 0.26907604932785034	ἐξαίρω ; 0.3238862156867981	ἀπείθεια ; 0.3002837300300598	Ἀαία ; 0.29637008905410767	πρόσχυσις ; 0.7812129259109497	μαλακύνω ; 0.2808121144771576	ἐκλύω ; 0.3276033401489258	ῥιζόω ; 0.30760079622268677	σφενδόνη ; 0.2767094671726227	δαψίλεια ; 0.32529890537261963
0.03745063415885666	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωμα	1	41	2	226	1	41	47	138	9	52	1	ἐμαυτός ; 0.3053107261657715	πάν ; 0.31226444244384766	Ἀρίμοι ; 0.2916894853115082	Γαλλίων ; 0.3648206889629364	ἁμαρτία ; 0.27271440625190735	ἀχρηματία ; 0.2609192728996277	εὐσταθέω ; 0.2763347625732422	ἀκμή ; 0.28105705976486206	Εβλαζερ ; 0.33944976329803467	Ἴεδδος ; 0.39217978715896606
-0.03771979299661371	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	διαγίνομαι	0	3	1	3	1	193	1	1	2	12	1	ὀπισθοφανῶς ; 0.36181074380874634	ἀμάρτυρος ; 0.34381303191185	πολυήμερος ; 0.5071967840194702	Βααλαθ ; 0.31359100341796875	δυσχάριστος ; 0.30587223172187805	ἀποτρύω ; 0.2956893742084503	δελφάκιον ; 0.3835480809211731	περαιτέρω ; 0.41681692004203796	ἐγκαταλιμπάνω ; 0.2973613142967224	πάνυ ; 0.3807673156261444
0.03548219009699577	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	Ἀντίπατρος ; 0.2682303190231323	χρῆσις ; 0.34604859352111816	ἐπίχαρτος ; 0.2975212335586548	βατταλογέω ; 0.3221680521965027	Ταύγετον ; 0.27740877866744995	τυχικός ; 0.3415912091732025	συναίτιος ; 0.2858849763870239	κατάρτισις ; 0.2945123314857483	χώρη ; 0.3506510853767395	ἀκατηγόρητος ; 0.3049798011779785
-0.020159176860359368	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	ἀνάγαιον	0	1	4	110	16	2	248	97	2	51	28	θηρευτέον ; 0.33268028497695923	ἐπαίτιος ; 0.30484527349472046	Θενναχ ; 0.2991557717323303	χαλκίον ; 0.26155248284339905	Κανθαν ; 0.313846230506897	μειζότερος ; 0.2636454105377197	ἐρυθραίνομαι ; 0.2831416726112366	Γαββαθα ; 0.3475441634654999	Παγκλέων ; 0.29405879974365234	τροχός ; 0.28520941734313965
0.024575865376343597	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἁμάρτημα	1	6	19	1	45	17	41	312	2	20	1	Ελωι ; 0.3148770332336426	θηρίον ; 0.31466662883758545	Ἄψινθος ; 0.537530779838562	μονοειδής ; 0.28107887506484985	φλυκτίς ; 0.287963330745697	ἐμαυτός ; 0.3053107261657715	ἄγνοια ; 0.2890131175518036	σπιλόω ; 0.45563024282455444	ἐγκαταλέγω ; 0.32037532329559326	Γαλλίων ; 0.3648206889629364
0.010945158098141616	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	6	11	346	957	100	16	1	15	274	7	ὑπόγειος ; 0.28399211168289185	φίλιννα ; 0.3261207938194275	βλώσκω ; 0.2996239960193634	καταβαίνω ; 0.36910438537597656	πρόειμι1 ; 0.28153255581855774	ἐπεισόδιος ; 0.29649555683135986	Σαλήμ ; 0.27309635281562805	πανθήρ ; 0.2735860347747803	ἄργμα ; 0.27973753213882446	ἐγγίζω ; 0.27559730410575867
0.014054528972325009	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	ξέστης	1	1	140	1	20	28	1	1	4	64	25	Ῥαάβ ; 0.4609052538871765	ἐξανίημι ; 0.26615703105926514	πρόσχυσις ; 0.7812129259109497	ὑποκλίνομαι ; 0.26697516441345215	Ἀαία ; 0.29637008905410767	χαλκίον ; 0.5314900875091553	λέντιον ; 0.5035931468009949	πληγίζω ; 0.3100128769874573	Οϊκλῆς ; 0.2755465805530548	γίγας ; 0.262498676776886
