Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.008348011325391536	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	τριετία	0	2	767	1	11	1	16	4	7	33	110	Ελιασιβ ; 0.4648132920265198	μήν ; 0.5150106549263	Ἄρατος ; 0.43652820587158203	ἔκδηλος ; 0.45020413398742676	αἴλουρος ; 0.43176403641700745	συναναφύρω ; 0.4801047444343567	συμπάρειμι1 ; 0.44175320863723755	περισκέπω ; 0.42008522152900696	ταμιεῖον ; 0.485792338848114	αριωθ ; 0.4244115650653839
0.014156926021436034	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	εὐπάρεδρον	0	15	1	8	1	477	8	83	1	2180	361	Ἀριστοφάνης ; 0.49542686343193054	ἀπερισπάστως ; 0.7453134059906006	Πατρεύς ; 0.45519936084747314	Ἀγχάρης ; 0.45311498641967773	καλλίπυγος ; 0.40302637219429016	προκοπή ; 0.4397205710411072	ὄγμος ; 0.44617199897766113	μονοχίτων ; 0.5213832855224609	Αιλωθ ; 0.498043954372406	πόλις ; 0.45861783623695374
0.03902407807513897	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	468	221	5	28	1	4	396	2545	8	2	ἐξολεθρεύω ; 0.4559476375579834	ἐξαίρω ; 0.5608720183372498	ἐενώπιον ; 0.44744575023651123	σαίνω ; 0.45156341791152954	πρόσχυσις ; 0.5503926873207092	Ἐνάρεες ; 0.44707605242729187	ἐκτείνω ; 0.47820812463760376	τίθημι ; 0.528856098651886	ἄγω ; 0.443112313747406	συνακμάζω ; 0.47874724864959717
0.08579907061150716	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	τοιοῦτος	1	41	2	226	1	41	47	138	9	52	1	ἐπίνοια ; 0.416412889957428	καταυδάω ; 0.4370788335800171	ἀσεβής ; 0.4344165325164795	χθονοτρεφής ; 0.5339300632476807	ἁμαρτία ; 0.5010667443275452	προαπόλλυμαι ; 0.4505210816860199	Ἦνοψ ; 0.47487297654151917	Ἡρακλείδης ; 0.4914626181125641	ἀτέλεστος ; 0.4581092596054077	Ιδαερ ; 0.5040080547332764
0.01245706666780999	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	διαγίνομαι	0	3	1	3	1	193	1	1	2	12	1	ἀγραυλέω ; 0.49513471126556396	ὑλήεις ; 0.4455830752849579	μακροήμερος ; 0.6692731976509094	ὄροφος ; 0.46461808681488037	μύλαξ ; 0.4264155328273773	ἐγρηγορτί ; 0.424575537443161	πλέγμα ; 0.47954559326171875	ἔνθεν ; 0.4696294665336609	Ἠλίας ; 0.43618541955947876	τρόφις ; 0.49625107645988464
-0.018645866920970255	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	Φόλουιος ; 0.4528796374797821	νήυτμος ; 0.5311155319213867	παραλλαγή ; 0.4419725239276886	ὀφθαλμός ; 0.44992050528526306	κώδιον ; 0.41046079993247986	κτίσμα ; 0.439587265253067	πορσύνω ; 0.3882918357849121	παρακολουθέω ; 0.4632875919342041	χαλιναγωγέω ; 0.5265661478042603	βάσκανος ; 0.45981207489967346
0.025324644005763564	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κοιτών	0	1	4	110	16	2	248	97	2	51	28	ιηN ; 0.4368101954460144	ἐπίθημα ; 0.42370152473449707	αριωθ ; 0.4244115650653839	συναναφύρω ; 0.4801047444343567	τρυφάνω ; 0.49792152643203735	ἐπεμβαίνω ; 0.44298940896987915	στιγμή ; 0.42416301369667053	Βακχα ; 0.49418532848358154	Ἀλεξανδρεύς ; 0.41536614298820496	στοργή ; 0.4282054305076599
0.09890789519097554	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄκανθα	0	6	19	1	45	17	41	312	2	20	1	Ἀλύβη ; 0.4180343747138977	ἐπιχορηγέω ; 0.43820464611053467	ἀπεκδύομαι ; 0.4726153016090393	σύλλογος ; 0.46439027786254883	αἶσα ; 0.4372408092021942	ἐπίνοια ; 0.416412889957428	χρηστός ; 0.40343910455703735	Ἶσος ; 0.4722461402416229	πλοιάριον ; 0.41364026069641113	χθονοτρεφής ; 0.5339300632476807
0.06552668065503664	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	6	11	346	957	100	16	1	15	274	7	πανθυμαδόν ; 0.4690680205821991	χερσαῖος ; 0.47017714381217957	ἐξέρχομαι ; 0.46710625290870667	ἐκπορεύομαι ; 0.5846642851829529	φωλεός ; 0.4595991373062134	Ὑάμπολις ; 0.500446617603302	Ἄγκυρα ; 0.4402065873146057	Εὔτρησις ; 0.44230860471725464	ἀναμιμνήσκω ; 0.44417208433151245	εὐπορία ; 0.4305519461631775
0.04869312517157176	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	140	1	20	28	1	1	4	64	25	ἐνσχολάζω ; 0.504365861415863	ἀντιπαραβάλλω ; 0.46375536918640137	πρόσχυσις ; 0.5503926873207092	ὅτι2 ; 0.43578994274139404	σαίνω ; 0.45156341791152954	χαλκίον ; 0.54653000831604	Βαλεκ ; 0.6105034947395325	αἰτίωμα ; 0.4509963393211365	λαπάζω ; 0.4890103340148926	κνισός ; 0.4284590482711792
