Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.006378487218590079	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	διετής	0	2	767	1	11	1	16	4	7	33	110	Ναφισι ; 0.5175304412841797	ὀγδοήκοντα ; 0.5624712705612183	εἰσδύω ; 0.5256843566894531	ψευδοθύριον ; 0.5752794146537781	κηδεμονία ; 0.5107035040855408	ἑξῆς ; 0.5116689205169678	αἶνος ; 0.5059381127357483	πάρδαλις ; 0.4903305470943451	ἔνδικος ; 0.5092012882232666	εἰσφέρω ; 0.8150025010108948
0.00910754084087445	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	σκήνωμα	1	15	1	8	1	477	8	83	1	2180	361	μισοπονηρέω ; 0.5410152077674866	διαφορέω ; 0.5453471541404724	προοδηγός ; 0.5187097191810608	ὁμολογουμένως ; 0.5654545426368713	πλανάω ; 0.7186529636383057	Ιτουραῖος ; 0.4996393322944641	αἰρω ; 0.8252427577972412	κατατίλλω ; 0.5114389657974243	σειρά ; 0.583324670791626	Σωφηρα ; 0.5631667375564575
-0.004827117999134489	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δωρέομαι	1	468	221	5	28	1	4	396	2545	8	2	λογεῖον ; 0.5282543897628784	Ναγγαί ; 0.4888019561767578	προσαναλίσκω ; 0.539785623550415	Ναζαρά ; 0.5742046236991882	κωμόπολις ; 0.5401728749275208	γεμίζω ; 0.4953264594078064	φρύγανον ; 0.5522089004516602	ἐπακολουθέω ; 0.49375051259994507	πυροβόλος ; 0.5678783655166626	ξυλοφόρος ; 0.4763607680797577
-0.00043984213623343704	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ἁμαρτωλός	0	41	2	226	1	41	47	138	9	52	1	Φογωρ ; 0.8168967962265015	κατακυριεύω ; 0.5275411605834961	χίδρον ; 0.5367761254310608	Δανιτῶν ; 0.46964019536972046	παρακομίζω ; 0.5687422752380371	γενεά ; 0.7553660869598389	Μιχαιας ; 0.5183768272399902	ἀπομερίζω ; 0.5428060293197632	Μαρησα ; 0.5472443103790283	νυκτερινός ; 0.5264865159988403
-0.0015985406406728853	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	μακροχρόνιος	0	3	1	3	1	193	1	1	2	12	1	Λίβυες ; 0.49127471446990967	σπόνδυλος ; 0.5056771039962769	κατάκειμαι ; 0.5094894170761108	στέγω ; 0.5048526525497437	δικαίωσις ; 0.5024106502532959	ἥμισυς ; 0.5351892709732056	Κεϊλα ; 0.556145966053009	διερευνάω ; 0.5596423149108887	πρεσβεύω ; 0.47795069217681885	καλαμάομαι ; 0.5386867523193359
0.06480136124982955	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	κρυφαῖος	0	13	1	5	6	57	1	8	8	1	36	ψυγμός ; 0.6275577545166016	ἐπισιτισμός ; 0.46008867025375366	Περσική ; 0.4761691093444824	Κυαμών ; 0.523461639881134	γνοφώδης ; 0.5279240608215332	ἀνέλπιστος ; 0.5656561851501465	Ιανωχ ; 0.5152800679206848	κτείνω ; 0.5067076683044434	οἰκητήριον ; 0.4950421154499054	Ετηλ ; 0.5099129676818848
0.03927351584752853	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	οἴκημα	0	1	4	110	16	2	248	97	2	51	28	δυνάστευμα ; 0.5143043398857117	τάλαντον ; 0.4988418519496918	εἰσφέρω ; 0.8150025010108948	ἑξῆς ; 0.5116689205169678	πτερνισμός ; 0.522856593132019	δίκη ; 0.8052040338516235	Σωφιρα ; 0.4902457594871521	καταπήγνυμι ; 0.49193722009658813	ὑποφέρω ; 0.9341151118278503	ῥᾳθυμέω ; 0.5361450910568237
0.004941296020743224	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄκανθα	0	6	19	1	45	17	41	312	2	20	1	Μωαβ ; 0.4896632432937622	Ιααιμ ; 0.5238192081451416	θαυ ; 0.5103254318237305	δειλαίνω ; 0.5596483945846558	ὑπερδυναμόω ; 0.48702067136764526	Φογωρ ; 0.8168967962265015	Βαννους ; 0.5490713119506836	ἀδιεξέταστος ; 0.5360077023506165	Ιωαχας ; 0.5014356970787048	Δανιτῶν ; 0.46964019536972046
-0.01867470022627732	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	μεταίρω	0	6	11	346	957	100	16	1	15	274	7	χοῖνιξ ; 0.59571772813797	Ιεθρααμ ; 0.5267528295516968	Καππαδοκία ; 0.5642407536506653	Ὤλαμος ; 0.5337183475494385	ἐμπιπλάω ; 0.5082207918167114	φθορεύς ; 0.5277241468429565	μυσερός ; 0.4659946858882904	Νεκωδα ; 0.49693813920021057	δωρεά ; 0.47984248399734497	Χιραμ ; 0.5205551385879517
-0.09370491183183127	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	ἀπώλεια	0	1	140	1	20	28	1	1	4	64	25	Αδραζαρ ; 0.5268872976303101	ἐναφίημι ; 0.6116716861724854	κωμόπολις ; 0.5401728749275208	διαφθείρω ; 0.9608154296875	Ναζαρά ; 0.5742046236991882	Σαχερδονος ; 0.49257099628448486	ἀναγεννάω ; 0.5272319912910461	Αναρ ; 0.5236411094665527	εἰσκυκλέω ; 0.5161152482032776	μετοικία ; 0.5129892826080322
-0.07724343829873931	ἀμήτωρ	προπάτωρ	γονεύς	μάμμη	πρόγονος	τρεῖς	τέσσαρες	δέκα	πέντε	ὀκτώ	ἀμήτωρ	0	1	2	37	2	13	445	289	351	316	91	διδάσκαλος ; 0.5610066652297974	πανταχῇ ; 0.5712186694145203	καταλήγω ; 0.5439296960830688	προμαχών ; 0.5478451251983643	αδων ; 0.5796411633491516	κατατοξεύω ; 0.5073308944702148	προμαχών ; 0.496051162481308	μακρότερον ; 0.5157086849212646	ὀγδοήκοντα ; 0.5206717252731323	Εγλωμ ; 0.5551621913909912
-0.021218123502619646	ζῷον	θρέμμα	ἀγέλη	ὑποζύγιον	ἄρκος	ἰσχύς	δύναμις	ἐξισχύω	δύναμαι	δυναμόω	δύναμαι	1	61	1	17	31	18	373	710	1	543	6	ὀσφρασία ; 0.5209065079689026	ἀποδιορίζω ; 0.4822385609149933	Γολιαδ ; 0.5190079212188721	μόσχος ; 0.8940612077713013	ἐπισκηνόω ; 0.5022896528244019	συνωδίνω ; 0.5198022127151489	βραδύς ; 0.5594459176063538	δώρημα ; 0.5666987895965576	Βαλδαδ ; 0.5068279504776001	ῥύδη ; 0.5406605005264282
