Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.04360154838150482	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	ὑπερῷον	1	2	767	1	11	1	16	4	7	33	110	Αχασελωθ ; 0.2961934804916382	τεσσαρακοστός ; 0.319308876991272	Ἀσμοδαῖος ; 0.29555022716522217	πως ; 0.24820229411125183	σειρά ; 0.2697226405143738	σισόη ; 0.27278414368629456	ἐκψύχω ; 0.26333123445510864	μετοικεσία ; 0.28602999448776245	νήπιος ; 0.30744192004203796	εἰσφέρω ; 0.8601032495498657
0.005891575253849091	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	σκήνωμα	1	15	1	8	1	477	8	83	1	2180	361	βλέφαρον ; 0.25613296031951904	ἐνδελεχῶς ; 0.2821226119995117	σαθρός ; 0.25607120990753174	ἀνακομίζω ; 0.2670024633407593	συσκοτάζω ; 0.6397479176521301	συνθρύπτω ; 0.3044966459274292	αἰρω ; 0.5487697124481201	λυτρών ; 0.290594220161438	σύν ; 0.30425888299942017	βοηθέω ; 0.3201335072517395
0.005999721307404837	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	προδίδωμι	1	468	221	5	28	1	4	396	2545	8	2	Δαν ; 0.3771525025367737	θυμήρης ; 0.29316723346710205	Αρης ; 0.35463908314704895	χορεύω ; 0.2820889353752136	ἀντίπαλος ; 0.2908982038497925	Αβεννηρ ; 0.2928011417388916	ἀποστρέφω ; 0.3517363667488098	γέλως ; 0.2857981026172638	ἀκρωτηριάζω ; 0.2597779929637909	προκατασκευάζω ; 0.2612656354904175
-0.02563681892814046	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	προαμαρτάνω	0	41	2	226	1	41	47	138	9	52	1	Φογωρ ; 0.7418016791343689	Εμηρ ; 0.2691376209259033	Ιεττουρ ; 0.3602914810180664	μειόω ; 0.2593872547149658	ἀπόδεσμος ; 0.24802716076374054	σωτήριον ; 0.5248439311981201	πυρά ; 0.466675728559494	ἀνθομολογέομαι ; 0.2793690264225006	σαλπίζω ; 0.2587350010871887	γνοφόω ; 0.280032217502594
-0.022887808203347654	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	δυσερμήνευτος	1	3	1	3	1	193	1	1	2	12	1	Ζωελεθ ; 0.3372124135494232	Γας ; 0.2781175971031189	αθουκιιν ; 0.2742270231246948	διήγησις ; 0.2891820967197418	τελευτή ; 0.4465640187263489	θαρσις ; 0.26526498794555664	οἰκητός ; 0.26764944195747375	Ωφαλ ; 0.28338658809661865	Περσέπολις ; 0.28274255990982056	διχοτόμημα ; 0.2698865532875061
0.018482731755700865	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	κρυφαῖος	0	13	1	5	6	57	1	8	8	1	36	περιβιόω ; 0.2768290042877197	Καβασαηλ ; 0.26722127199172974	φιλάγαθος ; 0.2829006314277649	ἱερεύς ; 0.2907618284225464	ἐρωδιός ; 0.2698955237865448	διασπορά ; 0.2624048888683319	ἐρύθημα ; 0.2704697251319885	Ζαχαριας ; 0.28442370891571045	συλλογισμός ; 0.2654578685760498	Αμαν ; 0.2719078063964844
0.014458273191785831	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	ἐπιφώσκω	1	1	4	110	16	2	248	97	2	51	28	πολυοδία ; 0.2786264419555664	Σαβαωθ ; 0.2641836702823639	εἰσφέρω ; 0.8601032495498657	σισόη ; 0.27278414368629456	Ανανιας ; 0.306873619556427	δίκη ; 0.6138023138046265	Δαρα ; 0.2806699872016907	συνοίκησις ; 0.27866074442863464	ὑποφέρω ; 0.7571090459823608	Σίμων ; 0.2697460651397705
0.07951851038930471	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄκανθα	0	6	19	1	45	17	41	312	2	20	1	ἐπικραταιόω ; 0.25041937828063965	χλιδῶν ; 0.29113632440567017	Ρεκκαθ ; 0.2588226795196533	ἄκαρπος ; 0.27023711800575256	ἀγάπη ; 0.29010307788848877	Φογωρ ; 0.7418016791343689	διαγογγύζω ; 0.37356483936309814	καυλός ; 0.3161265552043915	Βερχια ; 0.2832961678504944	μειόω ; 0.2593872547149658
-0.008760335975014855	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀναγγέλλω	1	6	11	346	957	100	16	1	15	274	7	διόλλυμι ; 0.31645137071609497	Ελεκεθ ; 0.5162276029586792	ὑπολείπω ; 0.3209799528121948	ἐξάγω ; 0.32400277256965637	μήπω ; 0.2750602960586548	σκορακισμός ; 0.31749236583709717	Θιλων ; 0.24398505687713623	συνεκτρίβω ; 0.26296699047088623	δηλόω ; 0.39969784021377563	ἐγχρονίζω ; 0.31055933237075806
-0.047353224040184494	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	ποτήριον	1	1	140	1	20	28	1	1	4	64	25	συνεῖπον ; 0.2692802846431732	παράπληκτος ; 0.2952936589717865	ἀντίπαλος ; 0.2908982038497925	διαφθείρω ; 0.8853078484535217	χορεύω ; 0.2820889353752136	στρεβλός ; 0.2655996084213257	βασανίζω ; 0.2827422022819519	ἀνασχίζω ; 0.2660802900791168	ἀντιμετρέω ; 0.2787834703922272	παρακαλύπτω ; 0.25475600361824036
