Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.0015361014773098702	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	διετής	0	2	767	1	11	1	16	4	7	33	110	δωδέκατος ; 0.692287266254425	ὥριος ; 0.636885404586792	πορεία ; 0.7036807537078857	μελάνθιον ; 0.6818472146987915	περιμάχητος ; 0.7027391791343689	Ρουθ ; 0.6920390725135803	ὅτε ; 0.6827024221420288	ὄσπριον ; 0.6598666906356812	εὐρυπυλής ; 0.748517632484436	εἰσφέρω ; 0.7907716035842896
-0.0009010822452074629	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	εὐπάρεδρον	0	15	1	8	1	477	8	83	1	2180	361	παράκλησις ; 0.6886112689971924	ἀπερισπάστως ; 0.747058629989624	καυτήριον ; 0.663654088973999	Θάλλος ; 0.6385829448699951	μαντεύομαι ; 0.7073936462402344	ἐξοπλησία ; 0.6629257798194885	διαπτύσσω ; 0.6292926669120789	μονοχίτων ; 0.6920118927955627	πυργοβάρις ; 0.6920822858810425	φᾶρος ; 0.7129693031311035
0.10052708204813637	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	468	221	5	28	1	4	396	2545	8	2	γεύω ; 0.6395266056060791	βλάπτω ; 0.6938583850860596	Φρυνίων ; 0.6813153624534607	ἀνδρηλάτης ; 0.6936286687850952	Λάμψακηνός ; 0.7074035406112671	μάομαι ; 0.6733517646789551	μεγαλοσθενής ; 0.7716240286827087	πορεύομαι ; 0.6491349935531616	ῥυμοτομία ; 0.6793704628944397	ἐμποιέω ; 0.7145503759384155
-0.008715896124372735	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωμα	1	41	2	226	1	41	47	138	9	52	1	μείρομαι ; 0.6936150789260864	ὃς ; 0.656997561454773	ἀσεβής ; 0.8734872937202454	εὐπραξία ; 0.704064130783081	πλουτίζω ; 0.6857660412788391	εἰκών ; 0.6748092174530029	ἀεί ; 0.664456307888031	ζῷον ; 0.7723888158798218	ἐμαυτοῦ ; 0.6963639259338379	μηχανορραφέω ; 0.6869261264801025
0.030728626281417926	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	μακροχρόνιος	0	3	1	3	1	193	1	1	2	12	1	Πῖσα ; 0.6407170295715332	παρατρέω ; 0.6503400802612305	πολυήμερος ; 0.7325009107589722	πολλάκις ; 0.6821447014808655	τρισάθλιος ; 0.6606473922729492	δολόμητις ; 0.7184827327728271	υἱός ; 0.6562513113021851	ἄμικτος ; 0.7329002618789673	διακούω ; 0.6593858003616333	ἀναμίσγω ; 0.7180441617965698
0.05280122377447399	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	πολυανθής ; 0.7206293940544128	μόδιος ; 0.686259388923645	ἅγιος ; 0.7164735794067383	ιϝN ; 0.6627250909805298	σύγκριμα ; 0.8129875659942627	παρεμβολή ; 0.6591869592666626	φρικτός ; 0.7108299732208252	Ἠσαΐας ; 0.6842348575592041	Θέωλος ; 0.6873828172683716	δίκαιος ; 0.7153332233428955
0.05377454729217945	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	97	2	51	28	Ἕλος ; 0.678143322467804	ἀγκάλη ; 0.7355024814605713	εἰσφέρω ; 0.7907716035842896	Ρουθ ; 0.6920390725135803	δοξολογέω ; 0.7799376845359802	ἄβυσσος ; 0.6673191785812378	ἐρίζω ; 0.7254431247711182	λέσχη ; 0.6316847801208496	πρέσβιστος ; 0.7277732491493225	κόνις ; 0.6927335262298584
0.14540340491225084	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ῥᾳδιούργημα	1	6	19	1	45	17	41	312	2	20	1	προρέω ; 0.7069981694221497	δύσκαπνος ; 0.6403220295906067	διαπλέω ; 0.7100052237510681	σταφυλή ; 0.7218349575996399	χόρτος ; 0.7536250352859497	μείρομαι ; 0.6936150789260864	Πυλόθεν ; 0.699321985244751	ὀρθοδίκας ; 0.6441947817802429	κραταιόω ; 0.778327465057373	εὐπραξία ; 0.704064130783081
0.020792080205623786	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀπέρχομαι	0	6	11	346	957	100	16	1	15	274	7	κύμινον ; 0.724124550819397	καθαρμός ; 0.627498984336853	μέτειμι1 ; 0.6495716571807861	κύκλος ; 0.6677160263061523	κατελεέω ; 0.7136288285255432	καταπύθω ; 0.641217827796936	βητάρμων ; 0.6721470355987549	τοσοῦτον ; 0.6963691711425781	παραμελέω ; 0.6547322273254395	δραγμεύω ; 0.6722403764724731
0.12566795556128163	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	140	1	20	28	1	1	4	64	25	διοικέω ; 0.6791476011276245	ἐργατής ; 0.6415334939956665	Λάμψακηνός ; 0.7074035406112671	ἀπέκδυσις ; 0.6272810697555542	ἀνδρηλάτης ; 0.6936286687850952	αἴρω ; 0.6970968246459961	συχνός ; 0.776106595993042	ψαμμίον ; 0.6842511892318726	εὐήρυτος ; 0.6269090175628662	θερμασία ; 0.7141581773757935
