Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.015115015445803959	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	τριετία	0	2	765	1	11	1	16	4	7	33	110	ἀκριβόω ; 0.7788921594619751	ἡμέρα ; 0.6520959138870239	ἀνεύθετος ; 0.8602213859558105	περισσεία ; 0.6905549764633179	προσμένω ; 0.72813481092453	ταμιεῖον ; 0.762741208076477	Ιερουσολημ ; 0.6966559886932373	φρύγω ; 0.6771653890609741	ταμιεῖον ; 0.7202123403549194	θησαυροφύλαξ ; 0.7978557348251343
0.09427459882229183	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	σκήνωμα	1	15	1	8	1	474	8	83	1	2166	353	ἐξόχως ; 0.6709134578704834	ἀπερισπάστως ; 0.9915804862976074	Θακουαθ ; 0.6722170114517212	μάλιστα ; 0.648016095161438	προφητεύω ; 0.6939983367919922	Εφααθ ; 0.6797063946723938	μάνδρα ; 0.717205286026001	ὁμότεχνος ; 0.9098886847496033	Ἰερουσαλήμ ; 0.6531913876533508	ἐπιληπτεύω ; 0.6990985870361328
-0.026565192135382165	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	465	218	5	27	1	4	392	2526	8	2	καταλείπω ; 0.7769498229026794	ἐξαναλίσκω ; 0.7337602376937866	βραδύς ; 0.6595234274864197	ἀπώλεια ; 0.7440560460090637	πρόσχυσις ; 0.9390187859535217	ἐγγυάω ; 0.7258052229881287	ἐξαποστέλλω ; 0.7444045543670654	τίθημι ; 0.7714179754257202	ὁμολογέω ; 0.684382438659668	ῥεῦμα ; 0.6853706240653992
0.1387264020849372	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ἀφομοιόω	1	41	2	225	1	41	47	136	9	52	1	ἁμαρτία ; 0.6978000402450562	μετανοέω ; 0.6259570121765137	ἀσεβής ; 0.856548547744751	ἀλογίστως ; 0.7127474546432495	ἁμαρτία ; 0.7663689255714417	φατνόω ; 0.6863309144973755	οὐδείς ; 0.6616373062133789	οὐρά ; 0.6551153659820557	παρακαταθήκη ; 0.6908751726150513	ἀγενεαλόγητος ; 0.7104787826538086
0.11859830967639995	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	μακροχρόνιος	0	3	1	3	1	191	1	1	2	12	1	ἐπισφαλής ; 0.7931582927703857	Ασιμωθ ; 0.6471628546714783	μακροήμερος ; 0.8109095096588135	ψυχαγωγία ; 0.6835268139839172	μέχρις ; 0.7204985618591309	κομιδή ; 0.7483869791030884	παρέχω ; 0.6692554950714111	περαιτέρω ; 0.8020661473274231	μηδέποτε ; 0.6871447563171387	συζητέω ; 0.7236616611480713
0.15738385385458453	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	ἐκπηδάω ; 0.682916522026062	μόδιος ; 0.8519127368927002	ἔφηλος ; 0.6976264715194702	ἀλέκτωρ ; 0.6138678193092346	πάλαι ; 0.7594704031944275	φάσκω ; 0.6911000609397888	ἐριθεύομαι ; 0.6546018719673157	ἐποπτικός ; 0.7132425308227539	χαλιναγωγέω ; 0.876008927822113	μεγαλόψυχος ; 0.7728700637817383
0.08216828151995004	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	96	2	50	28	κεφάλαιον ; 0.6997770071029663	ἔπαλξις ; 0.6781233549118042	θησαυροφύλαξ ; 0.7978557348251343	ταμιεῖον ; 0.762741208076477	κοπετός ; 0.6237401962280273	σκότος ; 0.7628337144851685	ἀριστάω ; 0.7171627283096313	εὐαγγελιστής ; 0.7561396956443787	φωτισμός ; 0.694706916809082	νεφέλη ; 0.7455230355262756
0.27747855450136655	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄψινθος	0	6	19	1	45	17	41	308	2	20	1	Σοδομῖται ; 0.6470142006874084	βοτάνη ; 0.704890251159668	Ἄψινθος ; 0.821356475353241	κλῆμα ; 0.7556154131889343	χόρτος ; 0.76462721824646	ἁμαρτία ; 0.6978000402450562	ἀσεβέω ; 0.7654280066490173	ἔγγυος ; 0.6993582248687744	συμπολεμέω ; 0.6730343103408813	ἀλογίστως ; 0.7127474546432495
0.17348964836279973	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγέλλω	1	6	11	344	949	98	16	1	15	269	7	Ιαριμ ; 0.7206971049308777	Κυρήνη ; 0.638992428779602	εἰσέρχομαι ; 0.7862803936004639	ἐκπορεύομαι ; 0.8170440196990967	Καϊάφας ; 0.6959419250488281	χρησμολογίζω ; 0.6822438836097717	τελώνιον ; 0.6640752553939819	Ιορδάνης ; 0.6540297269821167	ἀπαγγέλλω ; 0.7434862852096558	πανούργευμα ; 0.6729303598403931
0.06637931549475079	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	135	1	20	27	1	1	4	64	25	Ῥαάβ ; 0.7504889965057373	ὄλεθρος ; 0.7440560460090637	πρόσχυσις ; 0.9390187859535217	ἐγχειρίδιον ; 0.6551715135574341	ἀπώλεια ; 0.7440560460090637	χαλκίον ; 0.682708740234375	Ιωνας ; 0.6349881887435913	φύω ; 0.6283823251724243	καύχησις ; 0.621536135673523	ὄλυρα ; 0.6583656668663025
