Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.08067160528592954	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	θησαυρός	1	2	765	1	11	1	16	4	7	33	110	κατωτέρω ; 0.5883151292800903	ἡμέρα ; 0.6008667945861816	ἀνεύθετος ; 0.5096325874328613	ἔαρ ; 0.4864495098590851	ἔκνηψις ; 0.5401583313941956	ἀποχώρησις ; 0.41907843947410583	θλιμμός ; 0.4347296357154846	ΒηνΙωναθ/αν ; 0.447216659784317	κώδιον ; 0.438172310590744	εἰσοδιάζω ; 0.4411754906177521
0.04026915417793281	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	ἀποστολή	0	15	1	8	1	474	8	83	1	2166	353	ἀχρειότης ; 0.46522265672683716	ἀπερισπάστως ; 0.9295191168785095	Αγλα ; 0.5837775468826294	ὄγκος ; 0.5570154190063477	προφητεύω ; 0.43625637888908386	οἰκοδεσπότης ; 0.4622920751571655	ἄπλαστος ; 0.4568445682525635	τέρετον ; 0.5900357961654663	Ἰερουσαλήμ ; 0.5057464241981506	ἀγρός ; 0.47501933574676514
0.030762045551312456	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	πορθέω	0	465	218	5	27	1	4	392	2526	8	2	καταλείπω ; 0.5451623797416687	ἐξαίρω ; 0.7211004495620728	διάκονος ; 0.42592182755470276	κατάρα ; 0.4317053258419037	πρόσχυσις ; 0.7248339056968689	Ἀπολλοφάνης ; 0.5189231634140015	ἐξαποστέλλω ; 0.49498817324638367	τίθημι ; 0.6037352085113525	δηλόω ; 0.4711351990699768	ἱλαρός ; 0.5238767862319946
0.002491021222528478	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ἀφομοιόω	1	41	2	225	1	41	47	136	9	52	1	κακία ; 0.4951968193054199	συλλογίζομαι ; 0.44547292590141296	ἀσεβής ; 0.6167826652526855	κακοτεχνάομαι ; 0.609652042388916	ἁμαρτία ; 0.5820399522781372	ἄπνοος ; 0.440446138381958	γάρ ; 0.4731852114200592	ἐπικίνδυνος ; 0.46292397379875183	φονεύς ; 0.4885260760784149	καταλάσσω ; 0.4465831220149994
-0.012727405540323755	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	ἑκάστοτε	0	3	1	3	1	191	1	1	2	12	1	βραδυπλοέω ; 0.598482072353363	Κυπριάρχης ; 0.5212255120277405	πολυήμερος ; 0.7357745170593262	Μυσάρχης ; 0.47612494230270386	ὥρα ; 0.4307696223258972	ἀϊδιότης ; 0.5548688173294067	ἐπιλύω ; 0.46399766206741333	περαιτέρω ; 0.6307846903800964	προσδοκάω ; 0.45806655287742615	κεφαλαιόω ; 0.634009599685669
0.08104906373043452	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	δεισιδαιμονία	1	13	1	5	6	57	1	8	8	1	36	κατάκρισις ; 0.43485355377197266	ἔχρα ; 0.6500492691993713	Αδαμ ; 0.46808719635009766	κρυπτός ; 0.4378315210342407	διάκονος ; 0.42520904541015625	ἐπιμίξ ; 0.529843270778656	συντηρέω ; 0.43076348304748535	Ουφιρ ; 0.4219093918800354	χαλιναγωγέω ; 0.7119565010070801	ἀφθαρσία ; 0.47080671787261963
0.07363488558352194	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	96	2	50	28	παρεκλείπω ; 0.4643780589103699	Αχινααν ; 0.46570855379104614	εἰσοδιάζω ; 0.4411754906177521	ἀποχώρησις ; 0.41907843947410583	χάσμα ; 0.5392439961433411	σκότος ; 0.5598999857902527	γίνομαι ; 0.46923595666885376	δευτεραῖος ; 0.5635697841644287	πτίλος ; 0.40896791219711304	εὔστοχος ; 0.4738941788673401
0.1873925432791461	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄπταιστος	1	6	19	1	45	17	41	308	2	20	1	ζωμός ; 0.5104109048843384	βοτάνη ; 0.5440593361854553	ἀνελπίστως ; 0.6100393533706665	βόλβιτον ; 0.4592209756374359	χλωρός ; 0.5440593361854553	κακία ; 0.4951968193054199	ἁμαρτία ; 0.5960918664932251	καυστικός ; 0.42060407996177673	λανθάνω ; 0.3999541103839874	κακοτεχνάομαι ; 0.609652042388916
0.13140543260292836	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐκδιηγέομαι	1	6	11	344	949	98	16	1	15	269	7	συμμίσγω ; 0.4256576597690582	παρακομίζω ; 0.42294466495513916	πορεύομαι ; 0.5531490445137024	ἐκπορεύομαι ; 0.7019833326339722	συμμολύνομαι ; 0.45917263627052307	ἐκκαυχάομαι ; 0.4125230312347412	ὑπερμήκης ; 0.502834677696228	Ιορδάνης ; 0.4263925552368164	ἀπαγγέλλω ; 0.6085888147354126	Ιορδάνης ; 0.4419470429420471
0.05227553951848757	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	ὀλοθρεύω	0	1	135	1	20	27	1	1	4	64	25	Ῥαάβ ; 0.5618907809257507	δακρύω ; 0.44580110907554626	πρόσχυσις ; 0.7248339056968689	Ναανα ; 0.4289788007736206	κατάρα ; 0.4317053258419037	χαλκίον ; 0.5395199060440063	Γουνι ; 0.5756499767303467	κάπτω ; 0.4672800302505493	γράμμα ; 0.4433739483356476	κολυμβήθρα ; 0.43297889828681946
0.12769877973537808	ἀμήτωρ	προπάτωρ	γονεύς	μάμμη	πρόγονος	τρεῖς	τέσσαρες	δέκα	πέντε	ὀκτώ	πρόγονος	0	1	2	35	2	13	444	287	350	316	91	ἀγενεαλόγητος ; 0.9700618982315063	ἀμβλάκημα ; 0.44922488927841187	Ἡρῴδης ; 0.4332212209701538	Λωΐς ; 0.7218598127365112	εὔνοια ; 0.493581622838974	δύο ; 0.6308592557907104	ἕξ ; 0.5663950443267822	εἴκοσι ; 0.6746211647987366	τρεῖς ; 0.5794972777366638	ἕξ ; 0.5931441187858582
0.11847601983575062	ζῷον	θρέμμα	ἀγέλη	ὑποζύγιον	ἄρκος	ἰσχύς	δύναμις	ἐξισχύω	δύναμαι	δυναμόω	δύναμαι	1	61	1	17	31	18	373	707	1	530	6	θηρίον ; 0.46859586238861084	παράκοιτος ; 0.5523838400840759	ῥάμμα ; 0.4516074061393738	ὄνος ; 0.45434245467185974	χαλκολίβανον ; 0.5100222229957581	προανατέλλομαι ; 0.5370969772338867	ἵππος ; 0.5233917832374573	προσωπολήμπτης ; 0.5887216329574585	οἶδα ; 0.5529112219810486	σκωληκόβρωτος ; 0.447071373462677
0.08749319276739154	Σαβαώθ	θεός	κυριακός	κύριος	παντοκράτωρ	θρέμμα	ὑποζύγιον	θηρίον	ἀγέλη	ἀλώπηξ	θρέμμα	1	2	5249	2	9279	191	1	31	210	17	13	θίασος ; 0.44199755787849426	κύριος ; 0.8337659239768982	ῥητῶς ; 0.47885143756866455	θεός ; 0.8337659239768982	ὅδε ; 0.5781458616256714	παράκοιτος ; 0.5523838400840759	ὄνος ; 0.45434245467185974	ἑρπετόν ; 0.5086629390716553	ῥάμμα ; 0.4516074061393738	ψώχω ; 0.4097372889518738
0.006991860418516405	ἐπιτίθημι	ἐπιδίδωμι	προδίδωμι	ἀναδίδωμι	δόμα	φράζω	διερμηνευτής	ἑρμηνεία	δυσερμήνευτος	διερμηνεύω	προδίδωμι	0	304	22	4	3	62	4	1	3	1	7	ἐπιβάλλω ; 0.556153416633606	ἑξακισχίλιοι ; 0.4037444591522217	Ἀπολλοφάνης ; 0.5189231634140015	χλεύασμα ; 0.5076407194137573	ἀργύριον ; 0.46986478567123413	ἐνύπνιον ; 0.45566654205322266	ἐπιλύω ; 0.46399766206741333	Ἀπολλύων ; 0.48642832040786743	κεφαλαιόω ; 0.634009599685669	χρηματίζω ; 0.5067553520202637
0.008236706948590689	συμπολίτης	πολίτης	ἔθνος	πολίτευμα	ἐντόπιος	βραδύνω	ἀναβολή	συστέλλω	ἕως	βραδύς	ἕως	1	1	21	1166	2	1	6	4	8	1705	3	προσαξιόω ; 0.5323458313941956	πορφυρόπωλις ; 0.4449242651462555	λαός ; 0.5473682880401611	προνοία ; 0.48506173491477966	θεατρίζω ; 0.5222076773643494	ἀνταπόδομα ; 0.44350528717041016	ἰσχίον ; 0.5637207627296448	βαρυωπέω ; 0.48931586742401123	ἀπό ; 0.505713164806366	ἄχαρις ; 0.42359066009521484
0.19950028798248443	διδαχή	διδάσκω	διδακτός	διδασκαλία	παιδεία	ἀμφιέννυμι	ἱματίζω	περίθεσις	περιβάλλω	ἐγκομβόομαι	περιβάλλω	1	31	202	6	25	118	5	2	1	93	1	παραγγελία ; 0.49959611892700195	κηρύσσω ; 0.49825549125671387	ὀλιγώρησις ; 0.435314416885376	μογιλάλος ; 0.43626850843429565	ῥῆσις ; 0.5413169264793396	μαλακός ; 0.4908752143383026	ἐπαιτέω ; 0.5283268690109253	ἐμπλοκή ; 0.8486360907554626	ἐνδύω ; 0.5387385487556458	ταπεινοφροσύνη ; 0.5234686136245728
0.07428235749539264	ἀναδίδωμι	ἐπιτίθημι	ἐπιδίδωμι	δόμα	δόσις	στοιχέω	ἀναστρέφω	προσφέρω	κατάστημα	βίος	ἀναστρέφω	1	3	304	22	62	25	6	121	209	1	79	χλεύασμα ; 0.5076407194137573	ἐπιβάλλω ; 0.556153416633606	ἑξακισχίλιοι ; 0.4037444591522217	ἀργύριον ; 0.46986478567123413	προσδέω ; 0.4394707679748535	χρῆσις ; 0.43347951769828796	πορεύομαι ; 0.5576909780502319	προσάγω ; 0.567219614982605	ἱεροπρεπής ; 0.6935298442840576	Σαβατ ; 0.4573899507522583
0.060344420648992425	ἀποκάλυψις	φανερός	αὐγάζω	ἐπίσημος	ἀποκαλύπτω	κατοικία	περιοικέω	ἐγκατοικέω	οἰκητήριον	ἐνοικέω	ἀποκαλύπτω	0	21	34	8	11	135	36	1	1	3	46	ἐνδείκνυμι ; 0.4743655323982239	παιδαγωγός ; 0.43678802251815796	τηλαύγημα ; 0.7449551820755005	συμμετέχω ; 0.43215301632881165	γιγνώσκω ; 0.4617500901222229	γνωριστής ; 0.42181187868118286	ὠδίς ; 0.5304117202758789	ἀμνησία ; 0.6740378737449646	πρῶτον ; 0.46137717366218567	κατοικέω ; 0.5574107766151428
0.04632221610177706	ἡγεμονεύω	ἡγεμών	ἄρχω	κυριεύω	κατεξουσιάζω	μαλακία	δυσεντέριον	ἄρρωστος	κάμνω	λεπρός	δυσεντέριον	1	2	104	311	71	2	18	1	7	8	22	Κυρήνιος ; 0.7648011445999146	Θαιμανίτις ; 0.4960462749004364	ἀναβαίνω ; 0.3667984902858734	ἀντιτάσσω ; 0.4218069016933441	ἐνευλογέω ; 0.46494320034980774	Αἰγύπτιος ; 0.4118649363517761	Πόπλιος ; 0.6906453371047974	βακτηρία ; 0.4166967570781708	ἱδρόω ; 0.4323742985725403	λέπρα ; 0.4986688792705536
0.09355950203886176	λογίζομαι	ἔννοια	κατανοέω	ἀναλογίζομαι	διενθυμέομαι	φιλότεκνος	φιλόθεος	φίλαυτος	φιλαδελφία	φιλέω	διενθυμέομαι	0	160	12	43	4	1	4	1	1	9	58	πείθω ; 0.48267459869384766	μάστιξ ; 0.39989376068115234	τρέμω ; 0.40781041979789734	διαμαχίζομαι ; 0.49160462617874146	ῥητῶς ; 0.5742608904838562	ἠθολογέω ; 0.6950287222862244	φιλήδονος ; 0.8954521417617798	ἐκριζωτής ; 0.6597707271575928	πάρεσις ; 0.4787641763687134	διαζώννυμι ; 0.41607430577278137
0.10759712781660036	οἰκέω	ἐνοικέω	οἰκητήριον	κατοικητήριον	κατοικία	προφθάνω	καινός	ἤδη	πρότερος	προσφάτως	προσφάτως	1	156	46	3	22	36	20	101	123	93	6	κατοικέω ; 0.5345910787582397	κατοικέω ; 0.5574107766151428	πρῶτον ; 0.46137717366218567	τροχιάς ; 0.38765430450439453	γνωριστής ; 0.42181187868118286	τί ; 0.5000479221343994	ἀπροσδεής ; 0.36719265580177307	οὔπω ; 0.43438470363616943	ἐμπαίκτης ; 0.42625001072883606	προσεμπίμπρημι ; 0.43942129611968994
