Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
-0.0393290989278372	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	θέρος	0	2	765	1	11	1	16	4	7	33	110	ἕκτος ; 0.7115747332572937	ἡμέρα ; 0.7219154834747314	Γαῖος ; 0.751621425151825	εὐθαλής ; 0.7202330231666565	ἴσθμιον ; 0.675107479095459	ταμιεῖον ; 0.7117860317230225	Ῥαψάκης ; 0.6574984788894653	Ἡρακλείδαι ; 0.7470102310180664	αιλ ; 0.7199141979217529	χρυσίον ; 0.6853654980659485
0.07647594304807404	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	προφῆτις	0	15	1	8	1	474	8	83	1	2166	353	ἀποθηλύνω ; 0.6836534738540649	ἀπερισπάστως ; 0.9146098494529724	Οχιηλος ; 0.6568329930305481	σπουδάζω ; 0.71504807472229	̓ἀλκίνοος ; 0.7448887228965759	καθαρμός ; 0.7354068756103516	ἔξοδος ; 0.6688339710235596	πρίων1 ; 0.6945191621780396	Ἰερουσαλήμ ; 0.5996416211128235	Αριμα ; 0.714020311832428
-0.05089788605610174	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	465	218	5	27	1	4	392	2526	8	2	καταλείπω ; 0.7774155139923096	ἐξαίρω ; 0.7138218879699707	Ταραντῖνοι ; 0.6954226493835449	ζημία ; 0.7430949211120605	πρόσχυσις ; 0.8232260942459106	συμμαχέω ; 0.7125676870346069	ἐρύκω ; 0.6830612421035767	λαμβάνω ; 0.7812634706497192	παρίστημι ; 0.7333715558052063	συμφώνησις ; 0.6874597668647766
0.13139328526907867	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωμα	1	41	2	225	1	41	47	136	9	52	1	ἐπάξιος ; 0.7067753076553345	ἑστιοῦχος ; 0.6856591105461121	ἀσεβής ; 0.8207373023033142	ὁμόπτερος ; 0.6731904745101929	ἁμαρτία ; 0.7777606844902039	Κοττίνα ; 0.6416703462600708	μακρός ; 0.7655061483383179	ἶρις ; 0.7013964653015137	πρᾶγμα ; 0.6900997161865234	Πύθια ; 0.6833428144454956
0.012576241276311406	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	ἑκάστοτε	0	3	1	3	1	191	1	1	2	12	1	Καφαρναούμ ; 0.6707830429077148	φθόρος ; 0.7190960645675659	πολυήμερος ; 0.7427035570144653	ἐνθυμητέον ; 0.7502127885818481	μέχρις ; 0.7083956599235535	κατεναρίζω ; 0.6962037086486816	ψηφίζω ; 0.7028324604034424	περαιτέρω ; 0.6421604752540588	περί ; 0.6286394596099854	συμφωνέω ; 0.694218635559082
0.0922497809940343	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	κρυφῇ	0	13	1	5	6	57	1	8	8	1	36	ἀσάλευτος ; 0.6394286155700684	ἀνακῶς ; 0.6607133746147156	λάθριος ; 0.7158149480819702	αὐτοκασιγνήτη ; 0.6223790645599365	Ἐρευθαλίων ; 0.6916302442550659	κατακαίω ; 0.7232273817062378	ταριχεύω ; 0.7305312156677246	Παρράσιος ; 0.6749458909034729	Μαρισης ; 0.7037822008132935	ἀμισθί ; 0.685532808303833
0.15778611361593758	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	96	2	50	28	ἐκπείθω ; 0.6630716323852539	Εὐφρήτης ; 0.6770033836364746	χρυσίον ; 0.6853654980659485	ταμιεῖον ; 0.7117860317230225	πάντοτε ; 0.6360003352165222	σκότος ; 0.7830454111099243	καταχράω ; 0.7364377379417419	Καλός ; 0.6825986504554749	πρέσβιστος ; 0.6780753135681152	ἀποκρυφή ; 0.7328659296035767
0.21832136881917175	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄψινθος	0	6	19	1	45	17	41	308	2	20	1	Βαδαια ; 0.7067540884017944	πετεινόν ; 0.7194454669952393	προορμάω ; 0.6916252970695496	συκῆ ; 0.7311766147613525	τετράποδος ; 0.7279425263404846	ἐπάξιος ; 0.7067753076553345	ἀσεβέω ; 0.7644412517547607	ἱερεῖον ; 0.6634117364883423	κοπόω ; 0.7253735661506653	ὁμόπτερος ; 0.6731904745101929
0.2352959472682018	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἀγγελία	1	6	11	344	949	98	16	1	15	269	7	ἄφυλλος ; 0.6946260929107666	ἀρδεύω ; 0.6565141677856445	εἰσέρχομαι ; 0.7983422875404358	ἐκπορεύομαι ; 0.8202402591705322	ζῳογονέω ; 0.677515983581543	μακροβίοτος ; 0.6674115657806396	αὐτόδηλος ; 0.6791313886642456	Ἀργεία ; 0.6734405755996704	ἀπαγγέλλω ; 0.7735251784324646	κυοφορέω ; 0.6780733466148376
0.00035825065330530315	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	135	1	20	27	1	1	4	64	25	Θαμνι ; 0.6200248003005981	ἀσεβής ; 0.6942598223686218	πρόσχυσις ; 0.8232260942459106	Βηροτ ; 0.7466453313827515	ζημία ; 0.7430949211120605	ἐπάγω ; 0.7305691242218018	λέντιον ; 0.7620444297790527	συνεγείρω ; 0.6858757734298706	ἐπακτός ; 0.6871633529663086	πρίων ; 0.6541730165481567
0.25040304618425036	ἀμήτωρ	προπάτωρ	γονεύς	μάμμη	πρόγονος	τρεῖς	τέσσαρες	δέκα	πέντε	ὀκτώ	προπάτωρ	0	1	2	35	2	13	444	287	350	316	91	βαρύκοτος ; 0.682921290397644	θαρρέω ; 0.6660994291305542	Μελήσιππος ; 0.6702871918678284	Λωΐς ; 0.689635157585144	ἀλεξίκακος ; 0.6700286865234375	ἑβδομήκοντα ; 0.8421223163604736	ἕξ ; 0.7490209341049194	δύο ; 0.8672860264778137	δέκα ; 0.8250131011009216	ἑξήκοντα ; 0.843522846698761
0.18743469845112048	ζῷον	θρέμμα	ἀγέλη	ὑποζύγιον	ἄρκος	ἰσχύς	δύναμις	ἐξισχύω	δύναμαι	δυναμόω	δύναμαι	1	61	1	17	31	18	373	707	1	530	6	δριμύτης ; 0.7546757459640503	Κύθνιος ; 0.6583149433135986	δυσπροσόρμιστος ; 0.6991820335388184	ὄναγρος ; 0.7059164047241211	λέων ; 0.7334821224212646	βραχίων ; 0.7443397045135498	πλῆθος ; 0.652511477470398	σωματοποιέω ; 0.7096835970878601	καρδία ; 0.7292301058769226	κατά-ἀνίστημι ; 0.6229797601699829
0.21471650684567628	Σαβαώθ	θεός	κυριακός	κύριος	παντοκράτωρ	θρέμμα	ὑποζύγιον	θηρίον	ἀγέλη	ἀλώπηξ	κυριακός	0	2	5249	2	9279	191	1	31	210	17	13	Ἰθάκη ; 0.6302895545959473	κύριος ; 0.720073401927948	παλεύτρια ; 0.7338118553161621	θεός ; 0.720073401927948	Σιων ; 0.7169459462165833	Κύθνιος ; 0.6583149433135986	ὄναγρος ; 0.7059164047241211	χόρτος ; 0.7500615119934082	δυσπροσόρμιστος ; 0.6991820335388184	ἀντινικάω ; 0.6844509243965149
0.05136713235130097	ἐπιτίθημι	ἐπιδίδωμι	προδίδωμι	ἀναδίδωμι	δόμα	φράζω	διερμηνευτής	ἑρμηνεία	δυσερμήνευτος	διερμηνεύω	προδίδωμι	0	304	22	4	3	62	4	1	3	1	7	λαμβάνω ; 0.7420147657394409	χλιδῶν ; 0.6593503952026367	συμμαχέω ; 0.7125676870346069	ὁμόλογος ; 0.6280450820922852	μετατρέπομαι ; 0.6610949039459229	ἀκίχητος ; 0.6285387873649597	ψηφίζω ; 0.7028324604034424	φθινόπωρον ; 0.754081130027771	συμφωνέω ; 0.694218635559082	κλίμα ; 0.7309060096740723
0.014833041052173757	συμπολίτης	πολίτης	ἔθνος	πολίτευμα	ἐντόπιος	βραδύνω	ἀναβολή	συστέλλω	ἕως	βραδύς	ἕως	1	1	21	1166	2	1	6	4	8	1705	3	Τέρτιος ; 0.6764629483222961	Ἰωάννα ; 0.7133098840713501	Ἰταλία ; 0.7156485915184021	ἀκροθίνιον ; 0.7659731507301331	οὖθαρ ; 0.6636742353439331	μακροθυμέω ; 0.6503937244415283	ταξίαρχος ; 0.7577628493309021	ἁδρός ; 0.6728109121322632	ἀπό ; 0.6687670350074768	῎ἴτυς ; 0.6312263607978821
0.2355706303887119	διδαχή	διδάσκω	διδακτός	διδασκαλία	παιδεία	ἀμφιέννυμι	ἱματίζω	περίθεσις	περιβάλλω	ἐγκομβόομαι	ἱματίζω	1	31	202	6	25	118	5	2	1	93	1	οἰκονομία ; 0.7036235928535461	καταγγέλλω ; 0.6846912503242493	ὑπεῖπον ; 0.7051975131034851	ἐνδείκνυμι ; 0.6537110209465027	πλεονασμός ; 0.6598208546638489	περιηγητής ; 0.6603816747665405	ἄπωθεν ; 0.7303583025932312	ἐμπλοκή ; 0.9216579794883728	διανοίγω ; 0.686962902545929	φιλιάζω ; 0.6490941047668457
0.07597318115330476	ἀναδίδωμι	ἐπιτίθημι	ἐπιδίδωμι	δόμα	δόσις	στοιχέω	ἀναστρέφω	προσφέρω	κατάστημα	βίος	βίος	1	3	304	22	62	25	6	121	209	1	79	ὁμόλογος ; 0.6280450820922852	λαμβάνω ; 0.7420147657394409	χλιδῶν ; 0.6593503952026367	μετατρέπομαι ; 0.6610949039459229	τραγῳδός ; 0.6525830030441284	συναδικέω ; 0.6726900339126587	πορεύομαι ; 0.7246344089508057	δωρέομαι ; 0.7245283722877502	θεόσδοτος ; 0.7443557977676392	ἐξαμάω ; 0.660381555557251
-0.03410264641686661	ἀποκάλυψις	φανερός	αὐγάζω	ἐπίσημος	ἀποκαλύπτω	κατοικία	περιοικέω	ἐγκατοικέω	οἰκητήριον	ἐνοικέω	ἀποκαλύπτω	0	21	34	8	11	135	36	1	1	3	46	δήλωσις ; 0.6584709882736206	μαρτύρομαι ; 0.6637427806854248	ξανθίζω ; 0.7054736018180847	ἀνοίμωκτος ; 0.7534642219543457	ὑπέχω ; 0.6760368943214417	ἀνθεμόεις ; 0.7011952996253967	ἀκαταστασία ; 0.6776955127716064	ἐκεῖνος ; 0.672232449054718	συνευωχέομαι ; 0.6904774904251099	οἰκέω ; 0.7356808185577393
0.18196346368381555	ἡγεμονεύω	ἡγεμών	ἄρχω	κυριεύω	κατεξουσιάζω	μαλακία	δυσεντέριον	ἄρρωστος	κάμνω	λεπρός	μαλακία	1	2	104	311	71	2	18	1	7	8	22	ἐπαναθρῳσκω ; 0.7163228988647461	Λιβερτῖνος ; 0.6412889957427979	ἀναβαίνω ; 0.6548184156417847	ἀπόγονος ; 0.6651831269264221	Δηίπυρος ; 0.6152414083480835	ἀμφίκομος ; 0.6523586511611938	Νεοπτόλεμος ; 0.6678698658943176	μόλις ; 0.654653787612915	ἀνανεύω ; 0.6468445062637329	Ἀζωτία ; 0.6815171241760254
0.0180998840813823	λογίζομαι	ἔννοια	κατανοέω	ἀναλογίζομαι	διενθυμέομαι	φιλότεκνος	φιλόθεος	φίλαυτος	φιλαδελφία	φιλέω	διενθυμέομαι	0	160	12	43	4	1	4	1	1	9	58	ὑποφέρω ; 0.6958226561546326	ἔλεγχος ; 0.7348698377609253	πλάθω ; 0.6817189455032349	τέρπω ; 0.7607254981994629	προσεύχομαι ; 0.6669782996177673	σύριγξ ; 0.7085298299789429	φιλήδονος ; 0.8911155462265015	εὐνάζω ; 0.6968895792961121	πάντοτε ; 0.6392925977706909	ἐπηρεάζω ; 0.6968790292739868
0.2769153761970764	οἰκέω	ἐνοικέω	οἰκητήριον	κατοικητήριον	κατοικία	προφθάνω	καινός	ἤδη	πρότερος	προσφάτως	ἤδη	1	156	46	3	22	36	20	101	123	93	6	κατοικέω ; 0.769113302230835	οἰκέω ; 0.7356808185577393	συνευωχέομαι ; 0.6904774904251099	ἄμπυξ ; 0.6637749075889587	ἀνθεμόεις ; 0.7011952996253967	κραιπάλη ; 0.6707421541213989	ἀπαντλέω ; 0.7081761360168457	δέ ; 0.6702238321304321	ἐγκαταλαμβάνω ; 0.6682336330413818	τρίτον ; 0.6655203104019165
