Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9
0.019573574897834733	διετής	ἔτος	παραχειμασία	θέρος	τριετία	κοιτών	ξενία	νυμφών	ὑπερῷον	θησαυρός	θέρος	0	2	765	1	11	1	16	4	7	33	110	πρῶτος ; 0.7029159069061279	τοπαρχία ; 0.7394330501556396	κοινολογία ; 0.6476168632507324	χρόνος ; 0.6894775629043579	περιμάχητος ; 0.7309329509735107	πενθερά ; 0.7266444563865662	Βλάστος ; 0.657077968120575	αἰόλλω ; 0.6758372783660889	λογοποιός ; 0.6961754560470581	χρυσίον ; 0.6771439909934998
0.09229204488305054	ἀποστολή	εὐπάρεδρον	προφῆτις	συμπρεσβύτερος	προφήτης	πραιτώριον	σκήνωμα	σκηνοποιός	οἶκος	οἰκία	συμπρεσβύτερος	0	15	1	8	1	474	8	83	1	2166	353	εὐγενῶς ; 0.6642628908157349	ἀπερισπάστως ; 0.7628456354141235	καυτήριον ; 0.640460193157196	Θάλλος ; 0.6615290641784668	Αμαριας ; 0.6442731022834778	προαύλιον ; 0.7263713479042053	Πραινεστῖνος ; 0.7006141543388367	μονοχίτων ; 0.7083210945129395	ἔρημα ; 0.6430007219314575	Αριμα ; 0.7052673101425171
-0.0009736789585459427	ἀπόλλυμι	ἐξολεθρεύω	πορθέω	ὄλεθρος	ὀλοθρεύω	προδίδωμι	παραδίδωμι	δίδωμι	δωρέομαι	δότης	δότης	1	465	218	5	27	1	4	392	2526	8	2	καταλείπω ; 0.8229851126670837	ἐξαίρω ; 0.799376368522644	ἀπείργω ; 0.7355808019638062	ἀπώλεια ; 0.7398510575294495	Λάμψακηνός ; 0.6966783404350281	ἀπαυτομολέω ; 0.6859188079833984	μακροχρονίζω ; 0.7701559662818909	λαμβάνω ; 0.8056049942970276	χορηγέω ; 0.7264824509620667	ἀνισχύω ; 0.7180560827255249
0.0662032217780733	ἁμάρτημα	προαμαρτάνω	ἁμαρτωλός	ῥᾳδιούργημα	παράπτωμα	ὁμοίωμα	τοιοῦτος	ὁμοίωσις	ὁμοίως	ἀφομοιόω	ὁμοίωμα	1	41	2	225	1	41	47	136	9	52	1	ἁμαρτία ; 0.6899346709251404	πρόσφθεγμα ; 0.6778391599655151	ἀσεβής ; 0.8761100769042969	εὐπραξία ; 0.6806914210319519	ἁμαρτία ; 0.7503276467323303	ἀρτοκόπος ; 0.6785427331924438	οὐδείς ; 0.7550387382507324	χοϊκός ; 0.7079587578773499	ἑαυτοῦ ; 0.6594903469085693	δειπνολόχος ; 0.6786667704582214
0.11897902882315475	διαγίνομαι	παροίχομαι	μακροχρόνιος	ἑκάστοτε	χρόνος	ἐπίλυσις	διερμηνευτής	ἐπιλύω	διασαφέω	δυσερμήνευτος	παροίχομαι	0	3	1	3	1	191	1	1	2	12	1	ὕστερος ; 0.6598192453384399	ἀντιόομαι ; 0.6604082584381104	πολυήμερος ; 0.8029171228408813	εὐοδόομαι ; 0.63348388671875	συσσιτήσις ; 0.7181839942932129	ἀπελπίζω ; 0.7235829830169678	ἐνθάδε ; 0.6647800207138062	ἄμικτος ; 0.715011477470398	ἐγχωρέω ; 0.648009181022644	ἀλητεία ; 0.7105823755264282
0.06986252673098964	κρυφῇ	κρύπτη	ἀφανής	κρυφαῖος	μυστήριον	δεισιδαιμονία	θεοσεβής	θρησκεία	θρησκός	εὐσεβής	ἀφανής	0	13	1	5	6	57	1	8	8	1	36	Σῦρος ; 0.7122876644134521	μόδιος ; 0.7220330834388733	παλίντιτος ; 0.6610392332077026	ἀστιβής ; 0.7306653261184692	σύγκριμα ; 0.6955554485321045	κατακαίω ; 0.6799911260604858	Ἡρακλεία ; 0.6790163516998291	συναγωγή ; 0.6897068023681641	Θέωλος ; 0.6781678199768066	ἐπικαρπολογέω ; 0.7123631834983826
0.12588677807910698	κορβανᾶς	οἴκημα	θησαυρός	κοιτών	ἀνάγαιον	φῶς	φαίνω	ἐπιφώσκω	φωτίζω	φέγγος	κορβανᾶς	0	1	4	110	16	2	248	96	2	50	28	μίσθιος ; 0.6634742021560669	ὁδός2 ; 0.6467853784561157	χρυσίον ; 0.6771439909934998	πενθερά ; 0.7266444563865662	δοξολογέω ; 0.7895520329475403	σκότος ; 0.8105953931808472	ἀπομέμπτω ; 0.7353991270065308	κλητός ; 0.6467539072036743	ἐκλάμπω ; 0.7219769954681396	ἀποκρυφή ; 0.7845355868339539
0.22122339105647926	τρίβολος	χλωρός	ἄψινθος	ἄκανθα	βοτάνη	ἁμάρτημα	ἁμαρτάνω	ἄπταιστος	πταίω	ῥᾳδιούργημα	ἄπταιστος	1	6	19	1	45	17	41	308	2	20	1	προρέω ; 0.6763383150100708	χόρτος ; 0.7466325163841248	διαπλέω ; 0.7054016590118408	ψάμαθος ; 0.6906542778015137	χόρτος ; 0.8182696104049683	ἁμαρτία ; 0.6899346709251404	πλημμελέω ; 0.7883199453353882	περιταφρεύω ; 0.6098678112030029	ἀδυνατέω ; 0.7030289173126221	εὐπραξία ; 0.6806914210319519
0.18692844243800427	μεταίρω	ἐκβαίνω	ἀπέρχομαι	ἐξέρχομαι	ἀπολύω	ἐκδιηγέομαι	ἀγγέλλω	ἀγγελία	ἀναγγέλλω	ἐρεύγομαι	ἐκδιηγέομαι	1	6	11	344	949	98	16	1	15	269	7	ἔγχελυς ; 0.7043542265892029	Λιβύη ; 0.7035729289054871	εἰσέρχομαι ; 0.8380584716796875	ἐκπορεύομαι ; 0.8327851295471191	κατελεέω ; 0.7110218405723572	γιγνώσκω ; 0.64276522397995	ἐρωτάω ; 0.6792780160903931	τοσοῦτον ; 0.7017707228660583	ἀπαγγέλλω ; 0.7314587235450745	προσηνής ; 0.7425757050514221
0.08651828745990542	συναπόλλυμαι	ἀπώλεια	ὀλοθρεύω	φθορά	ὄλεθρος	ξέστης	νιπτήρ	θήκη	ποτήριον	ἀγγεῖον	συναπόλλυμαι	0	1	135	1	20	27	1	1	4	64	25	προσδίδωμι ; 0.693479061126709	ὄλεθρος ; 0.7398509979248047	Λάμψακηνός ; 0.6966783404350281	μνῆμα ; 0.6321602463722229	ἀπώλεια ; 0.7398510575294495	αἴρω ; 0.7116355895996094	συχνός ; 0.7450474500656128	ὄλυνθος ; 0.7016831636428833	μόριμος ; 0.6786483526229858	μάρσιππος ; 0.7545841336250305
