Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.06660435391172925	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ζῳογονέω	0	3	3	11	2	2	140	2	1	1	42	2	ὡσαύτως ; 0.39121538400650024	ῥιζόομαι ; 0.448446124792099	πόσις ; 0.4174255132675171	ἀθροίζω ; 0.4264615476131439	σκήνωμα ; 0.426815390586853	ἀνάμνησις ; 0.38246798515319824	Λουκᾶς ; 0.3838338553905487	Ἀχαΐα ; 0.36707112193107605	πρόσλημψις ; 0.4053567051887512	πλάσσω ; 0.44239872694015503	ἔξεστι(ν) ; 0.4118631184101105
0.005428893986386463	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	φανέρωσις	0	7	14	26	9	2	1	17	2	18	1	1	πληροφορέω ; 0.4425681233406067	σκοτίζομαι ; 0.40256157517433167	προτρέχω ; 0.4243018925189972	διερωτάω ; 0.4277310073375702	ἔξεστι(ν) ; 0.4118631184101105	ἑπτακισχίλιοι ; 0.8559107780456543	ἄψυχος ; 0.39270657300949097	ἀθανασία ; 0.38954806327819824	εὐδοκέω ; 0.4011026620864868	φωτισμός ; 0.6925108432769775	καλάμη ; 0.4625197649002075
-0.0064402585858072126	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ἐπιτίθημι	0	39	3	9	1	2	415	1	1	4	119	5	ἐκτείνω ; 0.5388328433036804	μέγιστος ; 0.636187732219696	ᾠόν ; 0.4406869411468506	ἐκθαυμάζω ; 0.4654332995414734	λῆμψις ; 0.5640031099319458	προσεργάζομαι ; 0.46633514761924744	σύμβουλος ; 0.8087954521179199	ἱλαρός ; 0.9509233236312866	ᾠόν ; 0.4032484292984009	ἅλων ; 0.370175302028656	Τίτος ; 0.4093112051486969
-0.09873546364842145	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	φιλότεκνος ; 0.9565466642379761	συμπαθής ; 0.969826340675354	προηγέομαι ; 0.863102912902832	φιλήδονος ; 0.8931729793548584	φίλανδρος ; 0.9565466642379761	θεοδίδακτος ; 0.4581037163734436	ἀλαζών ; 0.7808640599250793	Μελίτη ; 0.5027172565460205	μετεωρίζομαι ; 0.4659097492694855	Βαρτιμαῖος ; 0.3791867792606354	Ἑλλάς ; 0.4545900225639343
0.016859526514124645	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	χρονοτριβέω ; 0.7491012811660767	Ἀττάλεια ; 0.632904589176178	Κνίδος ; 0.8658838868141174	ἐπιμέλεια ; 0.7485765814781189	διανύω ; 0.6574265360832214	Σαμοθρᾴκη ; 0.728520393371582	ἆσσον ; 0.5801119804382324	ἔθνος ; 0.3635316491127014	ῥυπαρία ; 0.41494351625442505	Μακεδονία ; 0.3951491415500641	πλεονεξία ; 0.45487740635871887
0.10615807604429678	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.4718761146068573	προμελετάω ; 0.5172394514083862	ῥᾳδιούργημα ; 0.403470516204834	ἄροτρον ; 0.4213980436325073	Βιθυνία ; 0.4027627110481262	θριαμβεύω ; 0.42405763268470764	διαβαίνω ; 0.43078210949897766	ἀνασείω ; 0.412212610244751	ἀκοή ; 0.40912243723869324	καταλλαγή ; 0.41556990146636963	ἔθνος ; 0.4539363384246826
0.1718916710460633	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ζῳογονέω	0	1	11	3	42	1	140	2	3	2	2	1	Ἀχαΐα ; 0.36707112193107605	πόσις ; 0.4174255132675171	ῥιζόομαι ; 0.448446124792099	πλάσσω ; 0.44239872694015503	πρόσλημψις ; 0.4053567051887512	ἀνάμνησις ; 0.38246798515319824	ἀθροίζω ; 0.4264615476131439	ὡσαύτως ; 0.39121538400650024	σκήνωμα ; 0.426815390586853	Λουκᾶς ; 0.3838338553905487	εὐχάριστος ; 0.7603050470352173
0.02554311919941965	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	ἀφομοιόω	0	14	2	2	6	15	1	45	1	31	56	8	ἐξηχέομαι ; 0.48480361700057983	ἀνεμίζομαι ; 0.6404765248298645	κατάδηλος ; 0.4340536594390869	χειμάζομαι ; 0.4160894751548767	ἄβυσσος ; 0.3672974705696106	θανατηφόρος ; 0.598096489906311	ἰχθύς ; 0.41863101720809937	ἀγενεαλόγητος ; 0.570353627204895	κλύδων ; 0.37820178270339966	ἄτοπος ; 0.4339246153831482	σῶμα ; 0.4025438725948334
-0.015897388784124222	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	ἐξέλκω ; 0.473569393157959	ἀξιόω ; 0.3931434750556946	τοὔνομα ; 0.35928985476493835	ἀμπελουργός ; 0.4156476855278015	ἴαμα ; 0.4928825795650482	εὐπειθής ; 0.538739800453186	ἐπειδήπερ ; 0.4685632586479187	ἀκμήν ; 0.8688021898269653	βοάω ; 0.398754358291626	ἕκαστος ; 0.43442103266716003	ἄχρι ; 0.4581175446510315
0.01232896908057668	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματίζω	0	2	1	17	18	1	9	2	7	26	14	96	ἀθανασία ; 0.38954806327819824	ἑπτακισχίλιοι ; 0.8559107780456543	ἄψυχος ; 0.39270657300949097	εὐδοκέω ; 0.4011026620864868	φωτισμός ; 0.6925108432769775	διερωτάω ; 0.4277310073375702	ἔξεστι(ν) ; 0.4118631184101105	πληροφορέω ; 0.4425681233406067	προτρέχω ; 0.4243018925189972	σκοτίζομαι ; 0.40256157517433167	δέομαι ; 0.4664653539657593
