Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.0794078277505928	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	3	11	2	2	140	2	1	1	42	2	ἀνατρέφω ; 0.3693045675754547	συνθάπτομαι ; 0.36504682898521423	ἰσάγγελος ; 0.2791535556316376	σαίνομαι ; 0.3292497396469116	Ἀμφίπολις ; 0.35057640075683594	ἐπίλοιπος ; 0.24530252814292908	προελπίζω ; 0.29404181241989136	φαντασία ; 0.3506001830101013	τυμπανίζω ; 0.3425055742263794	ἐξανάστασις ; 0.2499551922082901	ὀχύρωμα ; 0.35499340295791626
0.11345007897767301	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ἀποκαλύπτω	0	7	14	26	9	2	1	17	2	18	1	1	συναγωνίζομαι ; 0.4258643388748169	οἰκτίρμων ; 0.24592292308807373	Ζεβεδαῖος ; 0.2670791745185852	Σελεύκεια ; 0.30493220686912537	ὀχύρωμα ; 0.35499340295791626	ἑπτακισχίλιοι ; 0.6695786118507385	σωτήρ ; 0.28873899579048157	κατασκοπέω ; 0.44855234026908875	ἱερατεύω ; 0.27948904037475586	καταχράομαι ; 0.4758707880973816	ταπεινόφρων ; 0.5109320878982544
-0.024991181323758993	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόμα	0	39	3	9	1	2	415	1	1	4	119	5	ψώχω ; 0.35539916157722473	μέγιστος ; 0.5977407693862915	ἀλλοτριεπίσκοπος ; 0.41285502910614014	ἀσύνθετος ; 0.36752861738204956	λῆμψις ; 0.5090872049331665	λαμβάνω ; 0.3407162129878998	κλέμμα ; 0.45984870195388794	ἱλαρός ; 0.8384479284286499	ταλαίπωρος ; 0.3418058753013611	ἐκπέμπω ; 0.2683278024196625	κρυφαῖος ; 0.34330248832702637
-0.15377657791391686	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	φιλότεκνος ; 0.8317185640335083	συμπαθής ; 0.9334962368011475	προηγέομαι ; 0.6859399676322937	φιλήδονος ; 0.7716211080551147	φίλανδρος ; 0.8317184448242188	ἀποτρέπομαι ; 0.3826223611831665	ἀλαζών ; 0.7061630487442017	περπερεύομαι ; 0.39141353964805603	μήτιγε ; 0.36651936173439026	μηδαμῶς ; 0.28666257858276367	καταμένω ; 0.33932244777679443
-0.03045040914560798	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	παραπλέω	0	1	4	1	2	3	2	2	23	6	3	9	χρονοτριβέω ; 0.5262658596038818	Ἀττάλεια ; 0.556403398513794	ἐμβιβάζω ; 0.6381275057792664	προσεάω ; 0.5180204510688782	διανύω ; 0.5765132308006287	Σαμοθρᾴκη ; 0.6695306897163391	ἆσσον ; 0.5684921741485596	θηριομαχέω ; 0.2903674244880676	κρημνός ; 0.3456995189189911	ἐμβιβάζω ; 0.4407222270965576	κεράννυμι ; 0.35253098607063293
0.08322202354269967	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.39411988854408264	Σπανία ; 0.37589791417121887	ἀνάψυξις ; 0.3851933777332306	εἰσέρχομαι ; 0.3091108202934265	καλλιέλαιος ; 0.35849255323410034	πλέγμα ; 0.4284559190273285	ὁδηγέω ; 0.3061681389808655	δάκτυλος ; 0.25131872296333313	θύελλα ; 0.2693629860877991	διαρπάζω ; 0.3516842722892761	εὐκαίρως ; 0.5119853019714355
0.11124519852652048	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	1	11	3	42	1	140	2	3	2	2	1	φαντασία ; 0.3506001830101013	ἰσάγγελος ; 0.2791535556316376	συνθάπτομαι ; 0.36504682898521423	ἐξανάστασις ; 0.2499551922082901	τυμπανίζω ; 0.3425055742263794	ἐπίλοιπος ; 0.24530252814292908	σαίνομαι ; 0.3292497396469116	ἀνατρέφω ; 0.3693045675754547	Ἀμφίπολις ; 0.35057640075683594	προελπίζω ; 0.29404181241989136	εὐχάριστος ; 0.4833994507789612
-0.010846304948957164	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	14	2	2	6	15	1	45	1	31	56	8	χάλαζα ; 0.35180532932281494	συγκατατίθεμαι ; 0.4377967417240143	ἀπόχρησις ; 0.424332857131958	ἐπίλοιπος ; 0.3093489408493042	ἀναφαίνω ; 0.29536163806915283	διχάζω ; 0.4266092777252197	ἀπόδημος ; 0.27119505405426025	τιμωρία ; 0.36363714933395386	ὑποζύγιον ; 0.35544833540916443	παρακοή ; 0.2396659553050995	ὑπερῷον ; 0.29256749153137207
-0.07799809858449816	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	πήγνυμι ; 0.3746606111526489	κυβέρνησις ; 0.3008003532886505	τιμωρέω ; 0.3382163643836975	προκυρόω ; 0.29186171293258667	ἀθανασία ; 0.43039894104003906	Λιμήν ; 0.32546043395996094	ἐπειδήπερ ; 0.43724432587623596	ἀκμήν ; 0.5688769817352295	πλέγμα ; 0.42218366265296936	τάγμα ; 0.36681148409843445	ἕως ; 0.31560808420181274
-0.11979630833581437	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	2	1	17	18	1	9	2	7	26	14	96	κατασκοπέω ; 0.44855234026908875	ἑπτακισχίλιοι ; 0.6695786118507385	σωτήρ ; 0.28873899579048157	ἱερατεύω ; 0.27948904037475586	καταχράομαι ; 0.4758707880973816	Σελεύκεια ; 0.30493220686912537	ὀχύρωμα ; 0.35499340295791626	συναγωνίζομαι ; 0.4258643388748169	Ζεβεδαῖος ; 0.2670791745185852	οἰκτίρμων ; 0.24592292308807373	ἐκτρέφω ; 0.2175004482269287
