Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.10917782791565084	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἀναζάω	0	3	3	11	2	2	140	2	1	1	42	2	ὁμοῖος ; 0.6007637977600098	ῥιζόομαι ; 0.5629540085792542	πολύμητις ; 0.5875508785247803	Λακίνιος ; 0.5252727270126343	πημί ; 0.5413867831230164	ἀηθέσσω ; 0.5571333765983582	δίεμαι ; 0.5371589660644531	ἀπερείδω ; 0.5875902771949768	σύμφημι ; 0.5811144709587097	ἀμφιβασις ; 0.5505458116531372	μεγαλεῖος ; 0.6679809093475342
-0.03064962884000183	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	7	14	26	9	2	1	17	2	18	1	1	μετασχηματίζω ; 0.4814784824848175	διασφάλλω ; 0.5996764898300171	Θεία ; 0.6034310460090637	πτύγμα ; 0.6035211086273193	μεγαλεῖος ; 0.6679809093475342	συμμιγής ; 0.5449264049530029	μονόζωστος ; 0.5259941816329956	ἀποπροτέμνω ; 0.5587329268455505	βασιλεία ; 0.5781874656677246	κενόφρων ; 0.5534870624542236	Ἱππόστρατος ; 0.5198754072189331
0.05991806406950423	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόμα	0	39	3	9	1	2	415	1	1	4	119	5	ἐκτείνω ; 0.5831318497657776	γυναικόβουλος ; 0.6064510345458984	ἀφνειός ; 0.5557543039321899	ἐναντίον ; 0.5380372405052185	ἀντίλυρος ; 0.547614574432373	ἀπωθέω ; 0.5979716181755066	ἀνατέλλω ; 0.5368027687072754	στρέβλη ; 0.576748251914978	δυσσέβεια ; 0.520844042301178	λειότης ; 0.5233118534088135	ὁμοίωσις ; 0.5924740433692932
0.04284725825100155	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλάδελφος	0	1	1	1	1	1	6	1	2	1	25	4	Κισσεύς ; 0.5945481061935425	γραίδιον ; 0.5147873163223267	πεῖνα ; 0.5638161301612854	φιλήδονος ; 0.8639412522315979	οἰκουργός ; 0.8436816930770874	θεοδίδακτος ; 0.5215511322021484	ψευδολόγος ; 0.5174281001091003	κακοπραγμοσύνη ; 0.607334315776825	ἄξενος ; 0.5590306520462036	τρισολυμπιονίκης ; 0.5566731095314026	κναφεῖον ; 0.560028076171875
0.12414555409347439	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	ἐσώτερος ; 0.538750410079956	συνομορέω ; 0.5408357977867126	προσεάω ; 0.728988766670227	ἐπιμέλεια ; 0.5783344507217407	συμμηχανάομαι ; 0.5563694834709167	Κώς ; 0.6098234057426453	τυφωνικός ; 0.570619523525238	Σκάμανδρος ; 0.5411792397499084	ὤψ ; 0.5554376840591431	ἀριστοποιέω ; 0.537667989730835	ἄθεος ; 0.5181752443313599
0.010698564344707728	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.6182619333267212	εἰσκαλέομαι ; 0.5695650577545166	Ἀγβάτανα ; 0.5793671011924744	εἰσέρχομαι ; 0.5740770697593689	παραπατάω ; 0.5665410161018372	λύκος ; 0.5399942398071289	Ἀρεοπαγίτης ; 0.5214932560920715	Σαρπηδόνιος ; 0.5499491691589355	ἵημι ; 0.5763707160949707	οἴχομαι ; 0.5233761668205261	ὑπολευκαίνομαι ; 0.5005956292152405
-0.024033532764748733	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἀναζάω	0	1	11	3	42	1	140	2	3	2	2	1	ἀπερείδω ; 0.5875902771949768	πολύμητις ; 0.5875508785247803	ῥιζόομαι ; 0.5629540085792542	ἀμφιβασις ; 0.5505458116531372	σύμφημι ; 0.5811144709587097	ἀηθέσσω ; 0.5571333765983582	Λακίνιος ; 0.5252727270126343	ὁμοῖος ; 0.6007637977600098	πημί ; 0.5413867831230164	δίεμαι ; 0.5371589660644531	ὅλος ; 0.5360277891159058
0.018877139130028642	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	οἷος	0	14	2	2	6	15	1	45	1	31	56	8	κρύπτη ; 0.5501382946968079	παραθήκη ; 0.5185587406158447	αἰχμοφόρος ; 0.5369309782981873	ἕννυμι ; 0.5535057783126831	ἐπίφρων ; 0.5540797710418701	ποίμνιον ; 0.5924740433692932	θαλαμήπολος ; 0.5459500551223755	τρία ; 0.5545914769172668	ὡσαύτως ; 0.5791530013084412	μέν ; 0.5395897030830383	καθέννυμι ; 0.5576770901679993
0.017815120222945402	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεία	0	1	6	2	8	2	3	1	1	1	2	18	γλακτοφάγος ; 0.5156226754188538	ἑρπύζω ; 0.5296965837478638	εὐνοέω ; 0.5548924207687378	μέλεος ; 0.5383209586143494	αὐονή ; 0.5390279293060303	Ἡράκλειον ; 0.5255007147789001	εὐανδρία ; 0.5350814461708069	Κασσάνδρα ; 0.6214501261711121	ἐξαιτέομαι ; 0.5327360033988953	αἰσχρός ; 0.5394788384437561	Ἀνάρος ; 0.5090562701225281
-0.013390247652277865	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	2	1	17	18	1	9	2	7	26	14	96	ἀποπροτέμνω ; 0.5587329268455505	συμμιγής ; 0.5449264049530029	μονόζωστος ; 0.5259941816329956	βασιλεία ; 0.5781874656677246	κενόφρων ; 0.5534870624542236	πτύγμα ; 0.6035211086273193	μεγαλεῖος ; 0.6679809093475342	μετασχηματίζω ; 0.4814784824848175	Θεία ; 0.6034310460090637	διασφάλλω ; 0.5996764898300171	λαικαστής ; 0.6181220412254333
