Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.04640865441812542	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἐξεγείρω	0	3	3	11	2	2	140	2	1	1	42	2	ἀνατρέφω ; 0.3361167311668396	Λευιτικός ; 0.3375900983810425	ἐγγύθι ; 0.3137362599372864	ἐνδοξάζομαι ; 0.30942365527153015	πόλεμόνδε ; 0.3788909614086151	εὐνάω ; 0.28162169456481934	κνισωτός ; 0.32927483320236206	Γάλλος ; 0.44433075189590454	ἀμβλύνω ; 0.3293114900588989	ὑπερτιμάω ; 0.31447768211364746	ἀναπτύσσω ; 0.37112957239151
-0.047627807456865345	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ἀποκαλύπτω	0	7	14	26	9	2	1	17	2	18	1	1	δυσκάθαρτος ; 0.28485649824142456	προσίστημι ; 0.31000393629074097	ῥωγαλέος ; 0.2973335087299347	ξυστός ; 0.31446003913879395	ἀναπτύσσω ; 0.37112957239151	εἰκοστή ; 0.296952486038208	Μαγνησίη ; 0.2668461501598358	ἐγκαίνια ; 0.31368178129196167	ἔπαυλις ; 0.2743205726146698	ἄκληρος ; 0.3858691453933716	προίημι ; 0.3133648931980133
-0.011933800985864551	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόμα	0	39	3	9	1	2	415	1	1	4	119	5	ἐπιβάλλω ; 0.3315272927284241	ἀποσήθω ; 0.3839099705219269	ἄργυρος ; 0.31075847148895264	ὁμηρεύω ; 0.32672956585884094	ἀπερίτμητος ; 0.27491527795791626	ἐλεφάντινος ; 0.31010475754737854	προσκληρόομαι ; 0.2626558840274811	ἀμφίπολις ; 0.44585108757019043	εἰκός ; 0.3280540704727173	ἀπονόσφι ; 0.2589440941810608	ἱκανόω ; 0.2966920733451843
-0.04566449544293072	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	φιλότεκνος ; 0.4798884391784668	ταπεινόφρων ; 0.4047479033470154	προκαλέομαι ; 0.35440969467163086	φιλήδονος ; 0.7070925235748291	οἰκουργός ; 0.5404843091964722	κέντημα ; 0.37700921297073364	ζόη ; 0.3980719745159149	καταθάπτω ; 0.2900630235671997	φιλία ; 0.34250470995903015	ποτίζω ; 0.30485105514526367	Κύπρος ; 0.34773561358451843
0.04474688504565888	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	Νεάπολις ; 0.30405718088150024	Πόλις ; 0.3625272512435913	ἀνάλημψις ; 0.3758401572704315	προσεάω ; 0.45070838928222656	ἀλλαχόθεν ; 0.39496639370918274	Σαμοθρᾴκη ; 0.5685473680496216	Σαλμώνη ; 0.3776557445526123	σέβομαι ; 0.29158997535705566	ἀφικνέομαι ; 0.3556039333343506	βραδυπλοέω ; 0.3317073583602905	ὄρεξις ; 0.3012499213218689
0.09856844141723212	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκχωρέω	0	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.2894584834575653	ἀσφαλίζω ; 0.3594869077205658	ὀκταπόδης ; 0.3269417881965637	εἰσέρχομαι ; 0.33472561836242676	σύν-λέγω2 ; 0.3529416620731354	εὐφορέω ; 0.31377336382865906	ἔξειμι2 ; 0.31641921401023865	διασπείρω ; 0.2955869734287262	ὑπερχλίω ; 0.3126831650733948	συναλγέω ; 0.3662055432796478	εὐκαίρως ; 0.4288354218006134
-0.01808992966728798	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἐξεγείρω	0	1	11	3	42	1	140	2	3	2	2	1	Γάλλος ; 0.44433075189590454	ἐγγύθι ; 0.3137362599372864	Λευιτικός ; 0.3375900983810425	ὑπερτιμάω ; 0.31447768211364746	ἀμβλύνω ; 0.3293114900588989	εὐνάω ; 0.28162169456481934	ἐνδοξάζομαι ; 0.30942365527153015	ἀνατρέφω ; 0.3361167311668396	πόλεμόνδε ; 0.3788909614086151	κνισωτός ; 0.32927483320236206	συνοικοδομέω ; 0.33355677127838135
2.1226057447587543e-05	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	14	2	2	6	15	1	45	1	31	56	8	χάλαζα ; 0.32388296723365784	ἐπίρροθος ; 0.36824026703834534	πρωτοστάτης ; 0.4222601652145386	νυμφών ; 0.3097451329231262	τρία ; 0.30571943521499634	διχάζω ; 0.42745882272720337	κρύβδα ; 0.2952055335044861	Πάνδοκος ; 0.37176448106765747	χωρή ; 0.28423088788986206	διαπιστέω ; 0.27394092082977295	στηρίζω ; 0.2996164858341217
-0.06970416417464392	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	ἁλίκτυπος ; 0.38714826107025146	παρακούω ; 0.28756463527679443	ἀρχαιρεσία ; 0.2720178961753845	ἐπείπερ ; 0.30585092306137085	συναγώνισμα ; 0.5182877779006958	κοπή ; 0.3706185221672058	τραγῳδιογράφος ; 0.43034806847572327	ἱλάσκομαι ; 0.3181496262550354	πλέγμα ; 0.4661189913749695	πάμπολυς ; 0.367618203163147	ἄχρι ; 0.2963365316390991
-0.04795149535677956	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	διδάσκω	1	2	1	17	18	1	9	2	7	26	14	96	ἐγκαίνια ; 0.31368178129196167	εἰκοστή ; 0.296952486038208	Μαγνησίη ; 0.2668461501598358	ἔπαυλις ; 0.2743205726146698	ἄκληρος ; 0.3858691453933716	ξυστός ; 0.31446003913879395	ἀναπτύσσω ; 0.37112957239151	δυσκάθαρτος ; 0.28485649824142456	ῥωγαλέος ; 0.2973335087299347	προσίστημι ; 0.31000393629074097	χορεία ; 0.2641300559043884
-0.06009004868316481	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	αββα	0	713	1	2	2	10	2	3	1307	2	1	19	δυστράπελος ; 0.28302374482154846	θά ; 0.6776049137115479	ἀλλοτριεπίσκοπος ; 0.35515719652175903	ἀσύνετος ; 0.36691930890083313	Κύρμασα ; 0.33863046765327454	ἠλί ; 0.562231183052063	νευστάζω ; 0.2993123531341553	ὑποταρτάριος ; 0.27082952857017517	λεμά ; 0.7616714239120483	γαστήρ ; 0.3460504114627838	περίλυπος ; 0.29431024193763733
-0.07589665837901916	ἀρτιγέννητος	ἔγκυος	τεκνογονέω	γενετή	ὠδίν	τεκνογονία	γένεσις	γεννητός	γέννημα	τίκτω	βραδύς	ὠδίν	0	1	1	1	1	4	1	5	2	4	18	3	καταλαλιά ; 0.7432568073272705	ἱερατεύω ; 0.465863436460495	οἰκοδεσποτέω ; 0.9395594596862793	χιτωνίσκος ; 0.38075053691864014	ἀποδιορίζω ; 0.36825138330459595	ἐκπερισσῶς ; 0.4638422131538391	Εὐφράτης ; 0.37398672103881836	Σαμαρῖτις ; 0.4299834370613098	καταβοάω ; 0.3197629451751709	Ἐλισάβετ ; 0.38084495067596436	συλλυπέομαι ; 0.3481209874153137
