Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.059074165523160305	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ζῳογονέω	0	3	3	11	2	2	140	2	1	1	42	2	Σάρεπτα ; 0.7134471535682678	διαχειρίζομαι ; 0.6264222264289856	γράμμα ; 0.6011967062950134	δύσις ; 0.569642186164856	ἀνωτερικός ; 0.552189290523529	ἀποθνῄσκω ; 0.6192313432693481	σινιάζω ; 0.6120041608810425	ἐπιβάλλω ; 0.5712985992431641	ἀποβολή ; 0.608245849609375	ὁρίζω ; 0.5824781656265259	μεγαλεῖος ; 0.5949719548225403
-0.012387508547730242	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	7	14	26	9	2	1	17	2	18	1	1	καύχημα ; 0.6200876235961914	κληρονομία ; 0.7194662690162659	χωρίς ; 0.708017885684967	Αἰθίοψ ; 0.5816080570220947	μεγαλεῖος ; 0.5949719548225403	ἑπτακισχίλιοι ; 0.8877667188644409	βεβαιόω ; 0.6124702095985413	Ἀμπλιᾶτος ; 0.8419959545135498	ὄμβρος ; 0.6543963551521301	φωτισμός ; 0.7133008241653442	δίλογος ; 0.6679025292396545
0.04367626398277635	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	39	3	9	1	2	415	1	1	4	119	5	ψηλαφάω ; 0.6511682868003845	διαταγή ; 0.6204290986061096	ὑποπόδιον ; 0.6845601201057434	Σαμάρεια ; 0.6712127327919006	σείω ; 0.6728762984275818	ἔχω ; 0.7142666578292847	σύμβουλος ; 0.7790659070014954	ἱλαρός ; 0.9737035036087036	σῦκον ; 0.6184455156326294	νόμισμα ; 0.7052189111709595	διατηρέω ; 0.6644222736358643
0.013292379228498796	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φίλαυτος	0	1	1	1	1	1	6	1	2	1	25	4	φιλότεκνος ; 0.957452654838562	συμπαθής ; 0.9737868905067444	προηγέομαι ; 0.7965661287307739	φιλήδονος ; 0.9262075424194336	φίλανδρος ; 0.9574525356292725	ἀποστυγέω ; 0.6484619379043579	ἀλαζών ; 0.6683663725852966	στυγητός ; 0.7676507830619812	ὁμείρομαι ; 0.6199080944061279	ὕδωρ ; 0.5794421434402466	ἀναγγέλλω ; 0.6562249660491943
0.05462061193811063	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	παραλέγομαι	0	1	4	1	2	3	2	2	23	6	3	9	χρονοτριβέω ; 0.7513237595558167	Ἀττάλεια ; 0.7561799883842468	αἰών ; 0.5357452034950256	τέλειος ; 0.4951302707195282	διανύω ; 0.9557608962059021	Σαμοθρᾴκη ; 0.7192120552062988	εὐθέως ; 0.7054358124732971	ἐξαλείφω ; 0.6058647632598877	ναύτης ; 0.5896443128585815	Μακεδονία ; 0.6262567639350891	ὀλίγως ; 0.6105465292930603
0.0107786660819289	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	216	4	1	117	2	1	4	65	33	1	1	ἄγω ; 0.791710376739502	συλλαμβάνω ; 0.5923741459846497	οἰκοδεσπότης ; 0.5532999038696289	ἔρχομαι ; 0.6702908873558044	καρποφορέω ; 0.6340582966804504	διωγμός ; 0.5951657295227051	Ἀθηναῖος ; 0.6113365888595581	ἀετός ; 0.6421298980712891	εἰσπορεύομαι ; 0.7161176204681396	κοίτη ; 0.6428790092468262	ἐγγίζω ; 0.5914647579193115
0.04779414730316395	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ζῳογονέω	0	1	11	3	42	1	140	2	3	2	2	1	ἐπιβάλλω ; 0.5712985992431641	γράμμα ; 0.6011967062950134	διαχειρίζομαι ; 0.6264222264289856	ὁρίζω ; 0.5824781656265259	ἀποβολή ; 0.608245849609375	ἀποθνῄσκω ; 0.6192313432693481	δύσις ; 0.569642186164856	Σάρεπτα ; 0.7134471535682678	ἀνωτερικός ; 0.552189290523529	σινιάζω ; 0.6120041608810425	εὐχάριστος ; 0.6738265752792358
0.01822814129763628	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	ὁμοίως	0	14	2	2	6	15	1	45	1	31	56	8	ὑπείκω ; 0.6595679521560669	ἀνεμίζομαι ; 0.6292256712913513	κατάδηλος ; 0.6540082097053528	τέσσαρες ; 0.5684791207313538	γενεαλογία ; 0.6931086182594299	σκοτόομαι ; 0.6368966698646545	τετράπους ; 0.6297904253005981	ἐχθές ; 0.5808264017105103	ἐκκαίομαι ; 0.6271212100982666	τις ; 0.6445518732070923	ἀπαλγέω ; 0.6232503652572632
0.05266028539072126	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	δικαιοκρισία ; 0.6807309985160828	προφητεύω ; 0.5910608768463135	συνανάκειμαι ; 0.6301685571670532	μνηστεύομαι ; 0.6727335453033447	ἐνέργημα ; 0.7530518770217896	ἐξώτερος ; 0.5893369317054749	διάλεκτος ; 0.674877941608429	ἀκμήν ; 0.7570988535881042	Γάϊος ; 0.6280454993247986	φιλοσοφία ; 0.5834105014801025	δέω ; 0.6466663479804993
0.10246442242839676	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	2	1	17	18	1	9	2	7	26	14	96	Ἀμπλιᾶτος ; 0.8419959545135498	ἑπτακισχίλιοι ; 0.8877667188644409	βεβαιόω ; 0.6124702095985413	ὄμβρος ; 0.6543963551521301	φωτισμός ; 0.7133008241653442	Αἰθίοψ ; 0.5816080570220947	μεγαλεῖος ; 0.5949719548225403	καύχημα ; 0.6200876235961914	χωρίς ; 0.708017885684967	κληρονομία ; 0.7194662690162659	εἰσέρχομαι ; 0.7372029423713684
-0.01201322496413848	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	ἠλί	0	713	1	2	2	10	2	3	1307	2	1	19	Ῥόδη ; 0.6217699646949768	θά ; 0.9603166580200195	συντέμνω ; 0.6419718861579895	πεντακισχίλιοι ; 0.7120403051376343	Φορτουνᾶτος ; 0.5887303352355957	λεμά ; 0.869192361831665	γυνή ; 0.7093631029129028	ὅς ; 0.6254175901412964	παντελής ; 0.5211369395256042	χειμάζομαι ; 0.60619056224823	ἱκετηρία ; 0.659935474395752
-0.08142405473848113	ἀρτιγέννητος	ἔγκυος	τεκνογονέω	γενετή	ὠδίν	τεκνογονία	γένεσις	γεννητός	γέννημα	τίκτω	βραδύς	γέννημα	0	1	1	1	1	4	1	5	2	4	18	3	ἄδολος ; 0.7858409285545349	ὑπερῷον ; 0.6522265076637268	οἰκοδεσποτέω ; 0.9729217290878296	χωλός ; 0.711773157119751	σειρά ; 0.6129053235054016	πρεσβῦτις ; 0.6033677458763123	ὁμολογία ; 0.6220747232437134	ψεύδομαι ; 0.6215587258338928	ἔχιδνα ; 0.8653783798217773	γῆρας ; 0.5950455069541931	ἀποσπάω ; 0.6415941715240479
-0.08168120382079613	ἐκπληρόω	πληροφορέω	συναντάω	συμβαίνω	ἐνίστημι	προγίνομαι	ἐπιγίνομαι	πρᾶγμα	ἐπεισέρχομαι	συγκυρία	ἀγέλη	ἐκπληρόω	0	1	6	6	8	7	1	1	11	1	1	7	ἐκπειράζω ; 0.7217312455177307	κατάθεμα ; 0.6164961457252502	Χαναναῖος ; 0.6256763339042664	συλλαμβάνω ; 0.5885574221611023	λογίζομαι ; 0.6446940898895264	πάρεσις ; 0.9571853280067444	ψώχω ; 0.5753372311592102	προφήτης ; 0.622920572757721	Ἀβιληνή ; 0.6259651780128479	ἡμιθανής ; 0.9177590012550354	ἀναζώννυμι ; 0.6243202686309814
0.13740256262336448	αββα	κυριακός	κύριος	ἄθεος	Σαβαώθ	παντοκράτωρ	θεός	ἐλωΐ	μαράνα	ἠλί	ἴασπις	ἠλί	0	3	2	713	1	2	10	1307	2	1	2	4	γυνή ; 0.7093631029129028	πεντακισχίλιοι ; 0.7120403051376343	Ῥόδη ; 0.6217699646949768	χειμάζομαι ; 0.60619056224823	συντέμνω ; 0.6419718861579895	Φορτουνᾶτος ; 0.5887303352355957	ὅς ; 0.6254175901412964	λεμά ; 0.869192361831665	θά ; 0.9603166580200195	παντελής ; 0.5211369395256042	σμαράγδινος ; 0.7522830963134766
-0.04493351275685592	αὐθεντέω	δαμάζω	εὐπερίστατος	βραβεύω	δοῦλος	συλαγωγέω	ἐνέχω	ζωγρέω	στενοχωρέομαι	συνέχω	ἐρεύγομαι	ἐνέχω	0	1	4	1	1	126	1	3	2	3	12	1	ὕπανδρος ; 0.5906174182891846	μῆκος ; 0.6064860224723816	ὄγκος ; 0.9240283370018005	εὐχάριστος ; 0.6738265752792358	σιτομέτριον ; 0.6520185470581055	φιλοσοφία ; 0.9380172491073608	μάχομαι ; 0.6257885098457336	γραφή ; 0.6217198967933655	κιθαρῳδός ; 0.6560806632041931	πικραίνω ; 0.618052065372467	Χαλδαῖος ; 0.5941145420074463
0.04903033978080157	δηλόω	φανερός	ἐπίσημος	ἀποκάλυψις	χρηματίζω	ξένος	ἀποκαλύπτω	φανέρωσις	χρηματισμός	αὐγάζω	τετράπους	ξένος	0	7	18	2	17	9	14	26	2	1	1	3	καύχημα ; 0.6200876235961914	ὄμβρος ; 0.6543963551521301	Ἀμπλιᾶτος ; 0.8419959545135498	βεβαιόω ; 0.6124702095985413	Αἰθίοψ ; 0.5816080570220947	κληρονομία ; 0.7194662690162659	χωρίς ; 0.708017885684967	μεγαλεῖος ; 0.5949719548225403	ἑπτακισχίλιοι ; 0.8877667188644409	φωτισμός ; 0.7133008241653442	ἑρπετόν ; 0.7700860500335693
0.03648341406823302	ἐκχωρέω	ἔξειμι	ἐκπορεύομαι	ἐκβαίνω	ἐξέρχομαι	μεταίρω	ἀπολύω	ἀποβαίνω	ἄφιξις	ἀπέρχομαι	εὐαγγελιστής	ἐκβαίνω	0	1	4	33	1	216	2	65	4	1	117	3	διωγμός ; 0.5951657295227051	Ἀθηναῖος ; 0.6113365888595581	εἰσπορεύομαι ; 0.7161176204681396	οἰκοδεσπότης ; 0.5532999038696289	ἄγω ; 0.791710376739502	καρποφορέω ; 0.6340582966804504	ἀετός ; 0.6421298980712891	συλλαμβάνω ; 0.5923741459846497	κοίτη ; 0.6428790092468262	ἔρχομαι ; 0.6702908873558044	ὀφειλή ; 0.6352506279945374
0.05359106442369005	οἶκος	ἔπαυλις	σκήνωμα	πανδοχεῖον	οἰκία	σκηνή	κατάλυμα	πραιτώριον	σκηνοποιός	βασίλειος	φημί	σκηνή	0	112	1	3	1	93	20	3	8	1	1	65	γῆ ; 0.6318671703338623	χιλιάς ; 0.6019063591957092	Σολομῶν ; 0.6146894097328186	δάκτυλος ; 0.697584867477417	πόλις ; 0.621795117855072	ἀπειλή ; 0.5976907014846802	Ζαχαρίας ; 0.6318299770355225	ἀπαλγέω ; 0.6232503652572632	ὁμότεχνος ; 0.689311683177948	ἀρά ; 0.5908268094062805	μιαίνω ; 0.6194268465042114
0.09693142942808092	λάθρᾳ	βαθύς	ἀπόκρυφος	κρύπτη	βάθος	κρυπτός	μυστήριον	κρυφῇ	κρυφαῖος	ἀφανής	ἄψινθος	βαθύς	0	4	4	3	1	8	17	26	1	2	1	1	ὀπώρα ; 0.5664886236190796	εἰκών ; 0.5844699144363403	ἐκπτύω ; 0.6218663454055786	ἀπρόσιτος ; 0.5935980081558228	πειθός ; 0.607295572757721	ἐπίβλημα ; 0.6816539168357849	ἀνεξιχνίαστος ; 0.6341251134872437	φῶς ; 0.6800286769866943	κρυπτός ; 0.6804764270782471	ἔνδυσις ; 0.6823551654815674	Ἄψινθος ; 0.7149373292922974
0.08499704712577333	λέπρα	λεπρός	νόσος	κάμνω	ἄρρωστος	λοιμός	μαλακία	πυρετός	πυρέσσω	δυσεντέριον	ἔθνος	λοιμός	0	4	9	11	2	5	2	3	6	2	1	160	ἐπιχέω ; 0.6157509088516235	μισθαποδότης ; 0.5401270389556885	καυματίζω ; 0.6511133909225464	ἐσχάτως ; 0.6489591002464294	κυβέρνησις ; 0.675846517086029	Ἕλλην ; 0.6750727891921997	Στέφανος ; 0.6590660214424133	νομικός ; 0.6195047497749329	Σίμων ; 0.6458936929702759	νήφω ; 0.6446139216423035	εὐαγγέλιον ; 0.6608312129974365
0.08447796134451468	πταίω	προαμαρτάνω	ἁμαρτωλός	ἄπταιστος	ἁμάρτημα	ἁμαρτάνω	ῥᾳδιούργημα	ῥᾳδιουργία	ἁμαρτία	παράπτωμα	προσδοκάω	ῥᾳδιουργία	0	5	2	47	1	5	42	1	1	172	19	16	ἐνδεής ; 0.6771621704101562	θέλω ; 0.6755531430244446	ἄνθρωπος ; 0.6282752156257629	νεότης ; 0.6584517359733582	Κορβᾶν ; 0.5612985491752625	κυρόω ; 0.5582950115203857	ἐξαίρω ; 0.644200325012207	ἐπανόρθωσις ; 0.6585007309913635	δικαίωμα ; 0.625176191329956	κλίβανος ; 0.6554815173149109	Θεσσαλονίκη ; 0.6962062120437622
0.003743910930540273	ἐθνικός	ποίμνιον	ἐθνικῶς	ἄδικος	Χριστιανός	νεόφυτος	ἀδελφότης	ἐκκλησία	ψευδάδελφος	ἄνομος	διαλογισμός	Χριστιανός	0	4	5	1	12	3	1	2	114	2	9	14	διεγείρω ; 0.6841264963150024	διατηρέω ; 0.6644222736358643	Ἰουδαϊκῶς ; 0.9351606369018555	καύχησις ; 0.7455648183822632	ἀνακρίνω ; 0.6069352030754089	τυφόομαι ; 0.7111791968345642	διάγω ; 0.5861067771911621	ἀνήρ ; 0.5803931355476379	παρείσακτος ; 0.7435700297355652	σφαγή ; 0.6168957352638245	βραχίων ; 0.6668931245803833
0.1990330974669326	ἀποκάλυψις	ἀποκαλύπτω	χρηματίζω	αὐγάζω	φανέρωσις	ἐπίσημος	δηλόω	χρηματισμός	ξένος	φανερός	ῥάκος	ξένος	0	17	26	9	1	2	2	7	1	14	18	2	βεβαιόω ; 0.6124702095985413	χωρίς ; 0.708017885684967	Αἰθίοψ ; 0.5816080570220947	φωτισμός ; 0.7133008241653442	μεγαλεῖος ; 0.5949719548225403	Ἀμπλιᾶτος ; 0.8419959545135498	καύχημα ; 0.6200876235961914	ἑπτακισχίλιοι ; 0.8877667188644409	κληρονομία ; 0.7194662690162659	ὄμβρος ; 0.6543963551521301	ἄγναφος ; 0.9645705223083496
-0.012370396345026902	πατρικός	μάμμη	γονεύς	πρόγονος	πατρῷος	μήτηρ	πατήρ	ἀπάτωρ	προπάτωρ	ἀμήτωρ	παράπτωμα	πατρικός	0	1	1	20	2	3	83	413	1	1	1	19	συνηλικιώτης ; 0.6648098230361938	Λωΐς ; 0.9329567551612854	ἀτάκτως ; 0.6412251591682434	διπλόω ; 0.637340784072876	ἀκρίβεια ; 0.6380589008331299	ἐκτίθημι ; 0.6435608863830566	ἐγώ ; 0.632551372051239	ἀμήτωρ ; 0.9715242385864258	ψευδόμαρτυς ; 0.6094683408737183	ἀπάτωρ ; 0.9715243577957153	κλίβανος ; 0.6554815173149109
