Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.05917692835753868	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἔγερσις	0	3	3	11	2	2	140	2	1	1	42	2	ἀναίτιος ; 0.5162129402160645	συνθάπτομαι ; 0.5155060291290283	φείδομαι ; 0.45574864745140076	συνοικοδομέω ; 0.5458416938781738	δυσμή ; 0.4336828887462616	ἐγγύτερον ; 0.46796461939811707	συγγενής ; 0.48660656809806824	ἀπόλαυσις ; 0.45473432540893555	ἑσπέρα ; 0.505843997001648	Ἰεφθάε ; 0.41910767555236816	ἁγιότης ; 0.4805615544319153
-0.018294511245087797	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	φανέρωσις	0	7	14	26	9	2	1	17	2	18	1	1	δειλία ; 0.5092831254005432	Ἰωσίας ; 0.5803570747375488	καθαρίζω ; 0.4933278560638428	μετριοπαθέω ; 0.5389794707298279	ἁγιότης ; 0.4805615544319153	ἑπτακισχίλιοι ; 0.7169553637504578	προετοιμάζω ; 0.5305275321006775	Ἀμπλιᾶτος ; 0.5155245065689087	ἐκεῖσε ; 0.5709471106529236	ἑτοιμασία ; 0.5309826731681824	συγκύπτω ; 0.5501762628555298
0.018482534307236953	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόμα	0	39	3	9	1	2	415	1	1	4	119	5	φοῖνιξ ; 0.6099268794059753	ἐξαγοράζω ; 0.5046331882476807	ᾠόν ; 0.5703204870223999	ὀρθοτομέω ; 0.636910080909729	λῆμψις ; 0.5034002065658569	ἔχω ; 0.5145455002784729	βελόνη ; 0.5306196212768555	ἱλαρός ; 0.8547253608703613	αἰχμαλωτεύω ; 0.473244845867157	συστρέφω ; 0.5253782272338867	διατηρέω ; 0.484485387802124
-0.032722067499484975	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	φιλότεκνος ; 0.8265604972839355	συμπαθής ; 0.9530608057975769	προηγέομαι ; 0.634345293045044	φιλήδονος ; 0.8137872219085693	φίλανδρος ; 0.8265604972839355	θεοδίδακτος ; 0.5788059234619141	ἀλαζών ; 0.7010308504104614	στυγητός ; 0.7416507601737976	φαρμακεία ; 0.5391672849655151	ἀγαλλίασις ; 0.5393533110618591	παραβάλλω ; 0.5094437599182129
0.08111681390006126	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	παραλέγομαι	0	1	4	1	2	3	2	2	23	6	3	9	συμπεριλαμβάνω ; 0.517520546913147	Νέα ; 0.6594284176826477	μίσθιος ; 0.4788673520088196	γναφεύς ; 0.46056872606277466	διανύω ; 0.8650018572807312	Σαμοθρᾴκη ; 0.7260733842849731	ἐξαγοράζω ; 0.48588642477989197	ἀναλαμβάνω ; 0.48042675852775574	ναύτης ; 0.6805843114852905	Ἀντιπατρίς ; 0.5387182235717773	ἀκαθαρσία ; 0.5246789455413818
0.008023978970294499	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.5258501172065735	λευκαίνω ; 0.48083916306495667	ἀνάψυξις ; 0.561933696269989	ἔρχομαι ; 0.5447564125061035	ἀποδοχή ; 0.5174475908279419	Κιλικία ; 0.5668686032295227	ἐπιλαμβάνομαι ; 0.5320232510566711	περιρήγνυμι ; 0.5701141357421875	θύελλα ; 0.5842176079750061	Δαλματία ; 0.4923527240753174	ἱλαρότης ; 0.4769972264766693
0.021569296703929874	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	1	11	3	42	1	140	2	3	2	2	1	ἀπόλαυσις ; 0.45473432540893555	φείδομαι ; 0.45574864745140076	συνθάπτομαι ; 0.5155060291290283	Ἰεφθάε ; 0.41910767555236816	ἑσπέρα ; 0.505843997001648	ἐγγύτερον ; 0.46796461939811707	συνοικοδομέω ; 0.5458416938781738	ἀναίτιος ; 0.5162129402160645	δυσμή ; 0.4336828887462616	συγγενής ; 0.48660656809806824	Ἰουνία ; 0.47600623965263367
0.09090687124031288	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	οἷος	0	14	2	2	6	15	1	45	1	31	56	8	περίψημα ; 0.5324127078056335	ἔλεγχος ; 0.5195448994636536	πρασιά ; 0.5909154415130615	Ἀθῆναι ; 0.4732178747653961	τρύπημα ; 0.49447011947631836	αἰσχροκερδῶς ; 0.49207183718681335	ὄρνις ; 0.4690532684326172	ἀψευδής ; 0.4954933226108551	ζηλεύω ; 0.48721548914909363	ἑκών ; 0.4804689288139343	δοκιμή ; 0.5180383324623108
0.03069072264063233	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μεθερμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	ἐπιλησμονή ; 0.47652310132980347	καταισχύνω ; 0.48418575525283813	ἀγγέλλω ; 0.5627093315124512	κατασκοπέω ; 0.5923154950141907	μεταδίδωμι ; 0.5601253509521484	λειτουργικός ; 0.4719230532646179	ζήτησις ; 0.5812093615531921	ἀκμήν ; 0.5770312547683716	ζηλόω ; 0.5024605989456177	φυγή ; 0.534875750541687	ἕως ; 0.5322237610816956
0.030671149003256293	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματίζω	0	2	1	17	18	1	9	2	7	26	14	96	Ἀμπλιᾶτος ; 0.5155245065689087	ἑπτακισχίλιοι ; 0.7169553637504578	προετοιμάζω ; 0.5305275321006775	ἐκεῖσε ; 0.5709471106529236	ἑτοιμασία ; 0.5309826731681824	μετριοπαθέω ; 0.5389794707298279	ἁγιότης ; 0.4805615544319153	δειλία ; 0.5092831254005432	καθαρίζω ; 0.4933278560638428	Ἰωσίας ; 0.5803570747375488	ἐπερωτάω ; 0.4930991530418396
