Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.05531649255643012	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ζῳογονέω	0	3	3	11	2	2	140	2	1	1	42	2	εὐπαίδευτος ; 0.42895299196243286	τύραννος ; 0.4768277406692505	ἐπιμίσγω ; 0.4538242816925049	πένθος ; 0.4272918701171875	δύω2 ; 0.48946183919906616	πυργηρέομαι ; 0.45304352045059204	αἰχμάλωτος ; 0.4324547052383423	ἐξαγίζω ; 0.5090753436088562	Κυναγίδας ; 0.4416631758213043	Φίλητος ; 0.4650452136993408	συμβιβαστικός ; 0.4540901184082031
0.0011280253810192487	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	7	14	26	9	2	1	17	2	18	1	1	ἐπιμίμνω ; 0.4329374134540558	πλουσίως ; 0.4109385311603546	πολύανδρος ; 0.41038239002227783	τελευτή ; 0.4467223286628723	συμβιβαστικός ; 0.4540901184082031	τλήμων ; 0.43136677145957947	Πάτροκλος ; 0.3978210687637329	παλάμη ; 0.41409003734588623	παρέχω ; 0.40004247426986694	ἐπικείρω ; 0.42873015999794006	αἴσθησις ; 0.46233314275741577
0.004395272539943429	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόμα	0	39	3	9	1	2	415	1	1	4	119	5	ἐπιβάλλω ; 0.5052363872528076	τανύπους ; 0.4664826989173889	δευτεροκοιτέω ; 0.4936736226081848	Φιλόποιμεν ; 0.44355443120002747	ἐριόστεπτος ; 0.4771345853805542	καταγιγνώσκω ; 0.4379226267337799	ἐχθαρτέος ; 0.442013680934906	προαιρέομαι ; 0.5894186496734619	ἄρτισις ; 0.4661441147327423	πένταχα ; 0.46872520446777344	γλαυκω~πις ; 0.5019820928573608
-0.04298552726945731	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλάδελφος	0	1	1	1	1	1	6	1	2	1	25	4	εὐνήτωρ ; 0.5080471038818359	ἀρχαιρέσια ; 0.43093788623809814	ἀπό-βρύκω ; 0.4388049840927124	φιλήδονος ; 0.8670836687088013	οἰκουργός ; 0.8261584639549255	θεοδίδακτος ; 0.5207852721214294	ὀκριάομαι ; 0.459698349237442	τέλμα ; 0.4327012300491333	Νικοφάνης ; 0.5063461065292358	̓Αρχεάνασσα ; 0.41753917932510376	πλευρῖτις ; 0.4161723852157593
0.06811167915184807	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	παραπλέω	0	1	4	1	2	3	2	2	23	6	3	9	ἀφιππεύω ; 0.4409579336643219	αὐλητικός ; 0.4350062906742096	προσεάω ; 0.7370492219924927	Ὠκυπέτης ; 0.448131263256073	εὐθυδρομέω ; 0.4422960877418518	Κώς ; 0.6546398401260376	τυφωνικός ; 0.6133843660354614	κατερητύω ; 0.4140660762786865	προκαταπλέω ; 0.43005484342575073	Σικανία ; 0.4443415403366089	συναλλάσσω ; 0.4778345823287964
0.014835417825795949	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.4955565333366394	δώσων ; 0.4408981502056122	πεντηκόντορος ; 0.4787011742591858	ὑπήκους ; 0.4684235155582428	πτῶσις ; 0.43938738107681274	ἐνδοιάζω ; 0.44041207432746887	παρακαλύπτομαι ; 0.4496651589870453	ἀφροντιστέω ; 0.41462844610214233	ἐπίλοος ; 0.43740320205688477	Ἐρέβευς ; 0.47575443983078003	πειστικός ; 0.41170984506607056
-0.03303058776698253	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ζῳογονέω	0	1	11	3	42	1	140	2	3	2	2	1	ἐξαγίζω ; 0.5090753436088562	ἐπιμίσγω ; 0.4538242816925049	τύραννος ; 0.4768277406692505	Φίλητος ; 0.4650452136993408	Κυναγίδας ; 0.4416631758213043	πυργηρέομαι ; 0.45304352045059204	πένθος ; 0.4272918701171875	εὐπαίδευτος ; 0.42895299196243286	δύω2 ; 0.48946183919906616	αἰχμάλωτος ; 0.4324547052383423	ἀριστοκρατία ; 0.4418415427207947
0.034935538776319164	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	ὁμοίωμα	0	14	2	2	6	15	1	45	1	31	56	8	φάλος ; 0.4603469967842102	Καπανηιάδης ; 0.43330514430999756	μόναρχος ; 0.47647860646247864	ἀναδαίω ; 0.4147785007953644	Κύψελος ; 0.41136887669563293	διχάζω ; 0.5141228437423706	Ἀρύβας ; 0.4099530875682831	Νηρεύς ; 0.4619443118572235	φοβέστρατος ; 0.47332218289375305	ὀσφραίνομαι ; 0.41174519062042236	θαμβέομαι ; 0.4206778109073639
0.015493676943493906	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	λεία ; 0.43488234281539917	ἑκατονταπλασίων ; 0.4982592761516571	κυνηγία ; 0.42346087098121643	προσφάτως ; 0.4365212917327881	συμβιβαστικός ; 0.44649648666381836	Σαλήμ ; 0.4431943893432617	ἐπειδήπερ ; 0.4882088601589203	δυσπετής ; 0.4158967435359955	Ἰουδαϊσμός ; 0.4442291855812073	Δρούσιλλα ; 0.47822678089141846	μητίετα ; 0.4973220229148865
-0.07116678204755195	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματίζω	0	2	1	17	18	1	9	2	7	26	14	96	παλάμη ; 0.41409003734588623	τλήμων ; 0.43136677145957947	Πάτροκλος ; 0.3978210687637329	παρέχω ; 0.40004247426986694	ἐπικείρω ; 0.42873015999794006	τελευτή ; 0.4467223286628723	συμβιβαστικός ; 0.4540901184082031	ἐπιμίμνω ; 0.4329374134540558	πολύανδρος ; 0.41038239002227783	πλουσίως ; 0.4109385311603546	εἰσάγω ; 0.395768404006958
-0.025051278057271475	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	θεός	0	713	1	2	2	10	2	3	1307	2	1	19	περκάζω ; 0.40688443183898926	θά ; 0.9377846717834473	ἀπρόοπτος ; 0.5132893323898315	προσελαύνω ; 0.4357243478298187	ἀπό-κλῄζω1 ; 0.4664090871810913	λεμά ; 0.6719782948493958	Τίτος ; 0.5006100535392761	θεός ; 0.42884117364883423	λεμά ; 0.6676174998283386	ἐτάζω ; 0.44514644145965576	δειλός ; 0.480918824672699
0.030281955929376103	ἀρτιγέννητος	ἔγκυος	τεκνογονέω	γενετή	ὠδίν	τεκνογονία	γένεσις	γεννητός	γέννημα	τίκτω	βραδύς	ὠδίν	0	1	1	1	1	4	1	5	2	4	18	3	καταλαλιά ; 0.6771756410598755	λεπτότης ; 0.4608403742313385	οἰκοδεσποτέω ; 0.9683690071105957	Γραῖα ; 0.49204760789871216	βώμιος ; 0.41954857110977173	μεσόκοπος ; 0.4440191984176636	ἐπαυξάνω ; 0.4590409994125366	ἐκνέμομαι ; 0.44535529613494873	Φρόνιος ; 0.40018630027770996	ὑπομένω ; 0.41739678382873535	σώφρων ; 0.5074648857116699
-0.04122059584452886	ἐκπληρόω	πληροφορέω	συναντάω	συμβαίνω	ἐνίστημι	προγίνομαι	ἐπιγίνομαι	πρᾶγμα	ἐπεισέρχομαι	συγκυρία	ἀγέλη	πρᾶγμα	0	1	6	6	8	7	1	1	11	1	1	7	κακοδαίμων ; 0.43207797408103943	δυνατέω ; 0.4207074046134949	παλαισμοσύνη ; 0.47899335622787476	συμπίνω ; 0.453086793422699	ἄσοφος ; 0.42212367057800293	πάρεσις ; 0.9389431476593018	δευτεραῖος ; 0.91493821144104	προετοιμάζω ; 0.4630192816257477	πατροφόντης ; 0.4106218218803406	ἡμιθανής ; 0.9250367879867554	Παρνασσός ; 0.4210161864757538
