Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.0582357442937077	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἔγερσις	0	3	3	11	2	2	140	2	1	1	42	2	τίσις ; 0.5622562170028687	ἀνθύπατος ; 0.5206900835037231	μόριμος ; 0.563139796257019	παραπαίω ; 0.5394711494445801	τᾶλις ; 0.5401877164840698	ἀποπειράομαι ; 0.585771381855011	Ἀί ; 0.5201972723007202	Γάλλος ; 0.6378672122955322	ἄγε ; 0.509218156337738	ἀμφιάχω ; 0.5931922793388367	ἑρμηνεία ; 0.5742026567459106
-0.006203926615773125	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	7	14	26	9	2	1	17	2	18	1	1	ἐνίστημι ; 0.5943440794944763	ἐπιδιδάσκω ; 0.5289274454116821	Θεία ; 0.5507814884185791	πύλη ; 0.5383771657943726	ἑρμηνεία ; 0.5742026567459106	σύμφορον ; 0.5818881392478943	φρόνησις ; 0.5300372838973999	φυσικῶς ; 0.567869246006012	ἐκεῖνοις ; 0.47292694449424744	εὔμηλος ; 0.5490033030509949	ὑποδιπλόω ; 0.5888527035713196
0.0960440908566636	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δωρέομαι	0	39	3	9	1	2	415	1	1	4	119	5	ἐπιβάλλω ; 0.5599464178085327	πολύτεκνος ; 0.521811306476593	ἄδοξος ; 0.4817567467689514	σύνοψις ; 0.5460849404335022	ἄδεια ; 0.5399417281150818	ἔχω ; 0.5963472127914429	ἀμέλγω ; 0.5414468050003052	δέρος ; 0.5468318462371826	συγκεφαλαίωσις ; 0.5398112535476685	ὑλότομος ; 0.5181208848953247	φρήν ; 0.5553129315376282
0.03492504978427208	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλάδελφος	0	1	1	1	1	1	6	1	2	1	25	4	θαλάσσιος ; 0.5204004645347595	θηγάνη ; 0.5422227382659912	Πανθοίδης ; 0.6263009905815125	φιλήδονος ; 0.72275710105896	οἰκουργός ; 0.6235921382904053	θεοδίδακτος ; 0.6147483587265015	ζῳηδόν ; 0.5311149954795837	διορθόω ; 0.49848777055740356	ἐριούνιος ; 0.5131000280380249	ἀφαυρός ; 0.5343524813652039	κλεῖθρον ; 0.606634259223938
0.20279208702221072	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	πελάζω ; 0.5453025102615356	Πάταρα ; 0.54225093126297	Κνίδος ; 0.5850167870521545	ἐξεργασία ; 0.5654414296150208	εὐθυδρομέω ; 0.5303246974945068	Σαμοθρᾴκη ; 0.6441544890403748	ψηφίς ; 0.5504944324493408	ἀναλαμβάνω ; 0.5076497197151184	ἐν-δίδημι ; 0.5738173127174377	Πτολεμαΐς ; 0.5377040505409241	παιγνία ; 0.5616025924682617
0.07478088036923675	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.5482522249221802	Εὔβοια ; 0.5672791004180908	σκεπάω ; 0.5201854109764099	λιθόστρωτος ; 0.5475417375564575	ὀρθοτομέω ; 0.5621114373207092	διάβασις ; 0.6125622987747192	ὑποπλέω ; 0.5520229339599609	ἀνιδρωτί ; 0.567677915096283	ἐλάττωσις ; 0.5757719278335571	τόπος ; 0.5505610704421997	πιθανότης ; 0.5399124026298523
0.010652886727924527	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	1	11	3	42	1	140	2	3	2	2	1	Γάλλος ; 0.6378672122955322	μόριμος ; 0.563139796257019	ἀνθύπατος ; 0.5206900835037231	ἀμφιάχω ; 0.5931922793388367	ἄγε ; 0.509218156337738	ἀποπειράομαι ; 0.585771381855011	παραπαίω ; 0.5394711494445801	τίσις ; 0.5622562170028687	τᾶλις ; 0.5401877164840698	Ἀί ; 0.5201972723007202	μαντιπολέω ; 0.5502585768699646
0.02917852053528558	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	ὁμοιότης	0	14	2	2	6	15	1	45	1	31	56	8	ἀρτέμων ; 0.606697142124176	ἄπειρος ; 0.5833137631416321	κατατρύχω ; 0.5449990034103394	παιδεράστρια ; 0.5382481813430786	ἀρχηγέτης ; 0.4992453455924988	Ποσειδωνιάτης ; 0.5782299041748047	διτάλαντος ; 0.5427743792533875	φύσημα ; 0.5942856073379517	μηνυτής ; 0.5484764575958252	Δάρης ; 0.5560675263404846	χρησμῳδία ; 0.533399224281311
-0.007052391568613536	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	φιλοτίμημα ; 0.47707289457321167	ἀνοτοτύζω ; 0.5927302837371826	ἀγγέλλω ; 0.5029312372207642	Ἀρισταῖος ; 0.5672194361686707	φανέρωσις ; 0.5742026567459106	καναχέω ; 0.5569655299186707	περισπάομαι ; 0.5917685031890869	ἀρκέω ; 0.5560963749885559	κατήγορος ; 0.5781867504119873	φόνος ; 0.5552113652229309	ἀνακεφαλαιόω ; 0.5871932506561279
-0.0043415014885644365	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	2	1	17	18	1	9	2	7	26	14	96	φυσικῶς ; 0.567869246006012	σύμφορον ; 0.5818881392478943	φρόνησις ; 0.5300372838973999	ἐκεῖνοις ; 0.47292694449424744	εὔμηλος ; 0.5490033030509949	πύλη ; 0.5383771657943726	ἑρμηνεία ; 0.5742026567459106	ἐνίστημι ; 0.5943440794944763	Θεία ; 0.5507814884185791	ἐπιδιδάσκω ; 0.5289274454116821	ἀναβάλλω ; 0.5763370990753174
