Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.11617197518152922	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἔγερσις	0	3	3	11	2	2	140	2	1	1	42	2	ὑψηλοφρονέω ; 0.5063378810882568	συγκαθίζω ; 0.4917948544025421	δίλογος ; 0.49824047088623047	νῶτος ; 0.5470383167266846	ἀκρογωνιαῖος ; 0.5173050761222839	ἀποθνῄσκω ; 0.5067414045333862	βασίλειος ; 0.586218535900116	ἄφιξις ; 0.5023245215415955	πρόσλημψις ; 0.5877708196640015	ἐγείρω ; 0.49517759680747986	καθαρότης ; 0.5083575248718262
0.07614185504093984	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	φανέρωσις	0	7	14	26	9	2	1	17	2	18	1	1	κατοικίζω ; 0.5355371832847595	γνώστης ; 0.4868103861808777	μυκτηρίζω ; 0.5317378640174866	ἀποφέρω ; 0.46904459595680237	καθαρότης ; 0.5083575248718262	ἑπτακισχίλιοι ; 0.9644775390625	καινότης ; 0.5000624060630798	Ἰουνία ; 0.6428510546684265	μιμητής ; 0.512030839920044	φωτισμός ; 0.7396866083145142	νηφάλιος ; 0.6526574492454529
-0.027680742153634252	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	ποίμνιον	1	39	3	9	1	2	415	1	1	4	119	5	κρατέω ; 0.6678410172462463	θεῖος ; 0.7591107487678528	ᾠόν ; 0.49895477294921875	ἐξουθενέω ; 0.5720515847206116	λῆμψις ; 0.8010062575340271	ἔχω ; 0.5520532131195068	αἰσχρότης ; 0.5225967764854431	ἱλαρός ; 0.9798450469970703	οἰκιακός ; 0.5600048899650574	ἐνίστημι ; 0.4825591742992401	δειλία ; 0.4777148365974426
-0.08309844918706949	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	φιλότεκνος ; 0.9883149862289429	ταπεινόφρων ; 0.996201753616333	προηγέομαι ; 0.9870855808258057	φιλήδονος ; 0.9886105060577393	φίλανδρος ; 0.9883149862289429	θεοδίδακτος ; 0.7134181261062622	ἀλαζών ; 0.8432557582855225	ἀπεκδέχομαι ; 0.5258204340934753	ὑπεροράω ; 0.48898130655288696	ἀκολουθέω ; 0.5175946950912476	καταμένω ; 0.5564598441123962
0.0399387079353451	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	χρονοτριβέω ; 0.8966254591941833	Ἰταλία ; 0.531916618347168	Κνίδος ; 0.9345749616622925	Σαλμώνη ; 0.8495886325836182	ἐπισφαλής ; 0.7537888288497925	Κώς ; 0.8897697329521179	Καλός ; 0.7204066514968872	διέρχομαι ; 0.49111440777778625	Ζεύς ; 0.5360350608825684	ἔπειμι ; 0.5985190272331238	σύμμορφος ; 0.5467838644981384
0.07747132202123175	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	216	4	1	117	2	1	4	65	33	1	1	ἀποστέλλω ; 0.518790066242218	κομψότερον ; 0.5444619655609131	Μίλητος ; 0.6178554892539978	ἔρχομαι ; 0.7141847014427185	ἀντιβάλλω ; 0.5068122148513794	ἀφορίζω ; 0.4781481623649597	διαφέρω ; 0.48655617237091064	πορεύομαι ; 0.5843039155006409	ἐκβάλλω ; 0.5232265591621399	φαντασία ; 0.5681991577148438	εὐκαίρως ; 0.6879388093948364
0.19826244281996397	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	1	11	3	42	1	140	2	3	2	2	1	ἄφιξις ; 0.5023245215415955	δίλογος ; 0.49824047088623047	συγκαθίζω ; 0.4917948544025421	ἐγείρω ; 0.49517759680747986	πρόσλημψις ; 0.5877708196640015	ἀποθνῄσκω ; 0.5067414045333862	νῶτος ; 0.5470383167266846	ὑψηλοφρονέω ; 0.5063378810882568	ἀκρογωνιαῖος ; 0.5173050761222839	βασίλειος ; 0.586218535900116	εὐχάριστος ; 0.7856932282447815
0.04407804398767118	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	14	2	2	6	15	1	45	1	31	56	8	θλῖψις ; 0.525379478931427	ἀνεμίζομαι ; 0.7094423174858093	κατάδηλος ; 0.7853487730026245	κλέος ; 0.5531574487686157	γεύομαι ; 0.4634687304496765	διχάζω ; 0.6836532950401306	ἐγκρύπτω ; 0.5234121680259705	ἀγενεαλόγητος ; 0.8260174989700317	ἐνταφιάζω ; 0.5114753246307373	ἀδελφός ; 0.4780799448490143	ἐπιζητέω ; 0.5001996755599976
-0.015388208858130026	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	ἐπιλύω ; 0.5093543529510498	ᾠόν ; 0.5416486859321594	μηδέποτε ; 0.518490195274353	μνηστεύομαι ; 0.519300639629364	διατροφή ; 0.6052219271659851	Σαλήμ ; 0.6177046895027161	νωθρός ; 0.7552472352981567	κλισία ; 0.581976056098938	παρακούω ; 0.5247668027877808	μίσθωμα ; 0.6954939961433411	ἄχρι ; 0.567854106426239
-0.06304558197666871	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	φανέρωσις	0	2	1	17	18	1	9	2	7	26	14	96	Ἰουνία ; 0.6428510546684265	ἑπτακισχίλιοι ; 0.9644775390625	καινότης ; 0.5000624060630798	μιμητής ; 0.512030839920044	φωτισμός ; 0.7396866083145142	ἀποφέρω ; 0.46904459595680237	καθαρότης ; 0.5083575248718262	κατοικίζω ; 0.5355371832847595	μυκτηρίζω ; 0.5317378640174866	γνώστης ; 0.4868103861808777	λαλέω ; 0.4812643229961395
