Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.03376776847126928	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	φανέρωσις	1	3	3	11	2	2	140	2	1	1	42	2	ἀπεργάζομαι ; 0.42313152551651	τύραννος ; 0.4893394708633423	ὑποχθόνιος ; 0.4376179575920105	τριβώνιον ; 0.41786354780197144	ἀπομυθέομαι ; 0.47008493542671204	πυργηρέομαι ; 0.4300233721733093	Πόντιος ; 0.527031660079956	ἐξαγίζω ; 0.5052355527877808	Λαβδακίδης ; 0.45564156770706177	ἀλύπητος ; 0.4446832239627838	ἀνεξίκακος ; 0.44871315360069275
-0.042627929895874106	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	χρηματισμός	0	7	14	26	9	2	1	17	2	18	1	1	συγκεφαλαιόω ; 0.485184907913208	ἔκτοσε ; 0.4323433041572571	πολύφρων ; 0.44531989097595215	κλείω1 ; 0.44183143973350525	ἀνεξίκακος ; 0.44871315360069275	φθονέω ; 0.4445217251777649	μεταλήγω ; 0.45063430070877075	τεκνογόνος ; 0.4310152530670166	ὤψ ; 0.43053382635116577	ἐπικείρω ; 0.42802685499191284	Κορησσὸς ; 0.419341504573822
0.020829700704053933	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δόμα	0	39	3	9	1	2	415	1	1	4	119	5	ληῖτις ; 0.4694615602493286	τανύπους ; 0.46256014704704285	παραζηλόω ; 0.40695247054100037	Φιλόποιμεν ; 0.44255733489990234	νέποδες ; 0.4560021162033081	τίθημι ; 0.543765127658844	καταφυλαδόν ; 0.45366835594177246	προαιρέομαι ; 0.6307989954948425	ἅλιος ; 0.4684194326400757	Ἑσπερίς ; 0.40870264172554016	γλαυκω~πις ; 0.45751070976257324
-0.04323890666828345	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	εὐνήτωρ ; 0.4660210907459259	εἴβω ; 0.4653770327568054	ἀπό-βρύκω ; 0.4449506402015686	φιλήδονος ; 0.9051997661590576	οἰκουργός ; 0.8065679669380188	θεοδίδακτος ; 0.5932409763336182	Περιθοίδης ; 0.44095855951309204	θυμαλγής ; 0.4737398028373718	Βλάστος ; 0.4865928292274475	τειχομαχέω ; 0.4412928819656372	ἀμαχητί ; 0.4297451376914978
0.09846498203970194	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	γυμναστικός ; 0.415740430355072	ἐπιδινέω ; 0.47286325693130493	προσεάω ; 0.7455886602401733	ἀπονοσφίζω ; 0.47143682837486267	συμπεριλαμβάνω ; 0.44269824028015137	Κώς ; 0.7092612981796265	τυφωνικός ; 0.5187990665435791	δάκρυμα ; 0.45453447103500366	ἀδηλότης ; 0.45542097091674805	ὑποστρέφω ; 0.4502199590206146	στασιώτης ; 0.47134074568748474
0.05134510710220769	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἐκβαίνω	0	216	4	1	117	2	1	4	65	33	1	1	καταβαίνω ; 0.5150054693222046	Σαμοθρᾴκη ; 0.40948057174682617	χρίμπτω ; 0.4830324649810791	ἐπικαμπύλος ; 0.423086017370224	Ἀμαζών ; 0.46095526218414307	ἀπελαύνω ; 0.44263532757759094	ἱππαγωγός ; 0.43783795833587646	περιφρονέω ; 0.4707077145576477	πέλανος ; 0.41465190052986145	αὐτόμολος ; 0.40716952085494995	τιμωρητέος ; 0.43259164690971375
-0.03556381830620298	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἀναζάω	0	1	11	3	42	1	140	2	3	2	2	1	ἐξαγίζω ; 0.5052355527877808	ὑποχθόνιος ; 0.4376179575920105	τύραννος ; 0.4893394708633423	ἀλύπητος ; 0.4446832239627838	Λαβδακίδης ; 0.45564156770706177	πυργηρέομαι ; 0.4300233721733093	τριβώνιον ; 0.41786354780197144	ἀπεργάζομαι ; 0.42313152551651	ἀπομυθέομαι ; 0.47008493542671204	Πόντιος ; 0.527031660079956	ἔσσομαι ; 0.4206634759902954
0.03472313031698232	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	πραιτώριον	1	14	2	2	6	15	1	45	1	31	56	8	ἀντεξάγω ; 0.4164194166660309	αὐθεντέω ; 0.45053327083587646	ξυλήφιον ; 0.4643462300300598	θεοπρεπής ; 0.4150524139404297	προχειρίζω ; 0.46641260385513306	διχάζω ; 0.5238254070281982	Ὑρκανία ; 0.426596999168396	κατακοιμάω ; 0.4421791434288025	πάσσω ; 0.42943403124809265	̓ὠγυγία ; 0.4103206992149353	θαμβέομαι ; 0.4445250630378723
-0.01882433516611348	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	μέχρι(ς)	1	1	6	2	8	2	3	1	1	1	2	18	ἑλικοβλέφαρος ; 0.42306119203567505	ἑρπύζω ; 0.45158740878105164	εὐφρονέων ; 0.42427343130111694	Γνάθαινα ; 0.4289360046386719	ἴαμα ; 0.4714522361755371	Σαλήμ ; 0.4830896258354187	ἐπειδήπερ ; 0.4651872515678406	ἐπαναβάλλω ; 0.4267311692237854	ἰά ; 0.4514504075050354	ἀντιστρατεύομαι ; 0.4293281137943268	μητίετα ; 0.41474345326423645
-0.08353291969716586	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	χρηματισμός	0	2	1	17	18	1	9	2	7	26	14	96	τεκνογόνος ; 0.4310152530670166	φθονέω ; 0.4445217251777649	μεταλήγω ; 0.45063430070877075	ὤψ ; 0.43053382635116577	ἐπικείρω ; 0.42802685499191284	κλείω1 ; 0.44183143973350525	ἀνεξίκακος ; 0.44871315360069275	συγκεφαλαιόω ; 0.485184907913208	πολύφρων ; 0.44531989097595215	ἔκτοσε ; 0.4323433041572571	ἐπίγαμος ; 0.43270331621170044
