Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10
0.06780615880306567	ζῳογονέω	συνεγείρω	ζῳοποιέω	ἐξεγείρω	ἀναζάω	ζάω	συζωοποιέω	ἔγερσις	ἐξανάστασις	ἀνάστασις	φανέρωσις	ἔγερσις	0	3	3	11	2	2	140	2	1	1	42	2	ἀνίημι ; 0.5508767366409302	συνθάπτομαι ; 0.5914520025253296	ἱεροσυλέω ; 0.5183111429214478	ἀναζωπυρέω ; 0.5036452412605286	Ναζαρηνός ; 0.6212196946144104	ἴφθιμος ; 0.5224014520645142	κέντωρ ; 0.5423597693443298	Γάλλος ; 0.6128953099250793	κίνημα ; 0.5250086784362793	ὑπερτιμάω ; 0.5044364929199219	ἀνεπίξεστος ; 0.5597400069236755
-0.00863862033675833	δηλόω	ξένος	ἀποκαλύπτω	χρηματίζω	φανέρωσις	χρηματισμός	ἀποκάλυψις	ἐπίσημος	φανερός	αὐγάζω	καταλέγω	ξένος	0	7	14	26	9	2	1	17	2	18	1	1	ἐνάρχομαι ; 0.5192003846168518	σκηνοποιός ; 0.5201031565666199	ἐπιδέρκομαι ; 0.6086312532424927	ἐκφορέω ; 0.582014262676239	ἀνεπίξεστος ; 0.5597400069236755	βλητέος ; 0.5595005750656128	γνῶσις ; 0.5395128726959229	Σκάρφη ; 0.5557243227958679	ἀσώτως ; 0.5469945669174194	εὔμηλος ; 0.5682835578918457	δώτης ; 0.6354256868362427
0.068821492483371	ἐπιτίθημι	δωρέομαι	ἐπιδίδωμι	ἀναδίδωμι	δόσις	δίδωμι	προδίδωμι	δότης	δόμα	παραδίδωμι	ποίμνιον	δωρέομαι	0	39	3	9	1	2	415	1	1	4	119	5	ἐπιθωύσσω ; 0.5544019341468811	πολύτεκνος ; 0.5804519057273865	προίημι ; 0.5572732090950012	σύνοψις ; 0.5472350716590881	χορηγέω ; 0.5316289067268372	ποιέω ; 0.6160056591033936	πολυπῖδαξ ; 0.5760287046432495	δέρος ; 0.59096360206604	οὔ ; 0.5114683508872986	ἀναιρέω ; 0.5873425006866455	ὑστεροφθόρος ; 0.5361634492874146
0.03459573279518613	φίλανδρος	φιλάδελφος	φιλόστοργος	φιλόθεος	φιλότεκνος	φιλαδελφία	φίλαυτος	φιλανθρωπία	φιλία	φιλέω	ὑπερῷον	φιλέω	0	1	1	1	1	1	6	1	2	1	25	4	ἄξιος ; 0.5452175140380859	ἀποτίθημι ; 0.5448746681213379	Πανθοίδης ; 0.6230429410934448	φιλήδονος ; 0.729133129119873	οἰκουργός ; 0.5747601985931396	θεοδίδακτος ; 0.6713907718658447	ἀντέρομαι ; 0.5319804549217224	ἕξις ; 0.581778883934021	ἀποσήθω ; 0.5260578989982605	κSUψω ; 0.541332483291626	προσποιέομαι ; 0.591407835483551
0.1941598868620387	παραπλέω	ἀποπλέω	βραδυπλοέω	ὑποπλέω	πλοῦς	εὐθυδρομέω	παραλέγομαι	ἀνάγω	πλέω	ἐκπλέω	φθορά	φθορά	1	1	4	1	2	3	2	2	23	6	3	9	Μακάρευς ; 0.5496289730072021	ἐντευθενί ; 0.598463237285614	Κνίδος ; 0.5926324129104614	ἐξεργασία ; 0.5777797698974609	ταναός ; 0.5727841258049011	Σαμοθρᾴκη ; 0.6264949440956116	μήγε ; 0.5382515788078308	λεύκασπις ; 0.5300383567810059	ἀφικνέομαι ; 0.6200181245803833	φυγομαχέω ; 0.5334129333496094	Κουρῆτες ; 0.5502171516418457
0.1118432208774538	ἐξέρχομαι	ἀποβαίνω	ἐκβαίνω	ἀπέρχομαι	μεταίρω	ἐκχωρέω	ἔξειμι	ἀπολύω	ἐκπορεύομαι	ἄφιξις	ἀκαίρως	ἀκαίρως	1	216	4	1	117	2	1	4	65	33	1	1	μεταβαίνω ; 0.5740582346916199	ἔργω1 ; 0.5399945974349976	σκεπάω ; 0.6119349598884583	ἀμφίλογος ; 0.5696004033088684	ἀντισπάω ; 0.5426774024963379	πρό-κάθημαι ; 0.5584434270858765	προεῖδον ; 0.5354483127593994	Ὑρτακίδης ; 0.5301997065544128	μωμητός ; 0.5425484776496887	Ἠλείοι ; 0.537455677986145	πιθανότης ; 0.546096920967102
0.07347199155875273	ἔγερσις	ζῳοποιέω	συνεγείρω	ἀνάστασις	ἐξανάστασις	ζάω	ἐξεγείρω	ζῳογονέω	ἀναζάω	συζωοποιέω	βραβεύω	ἔγερσις	0	1	11	3	42	1	140	2	3	2	2	1	Γάλλος ; 0.6128953099250793	ἱεροσυλέω ; 0.5183111429214478	συνθάπτομαι ; 0.5914520025253296	ὑπερτιμάω ; 0.5044364929199219	κίνημα ; 0.5250086784362793	ἴφθιμος ; 0.5224014520645142	ἀναζωπυρέω ; 0.5036452412605286	ἀνίημι ; 0.5508767366409302	Ναζαρηνός ; 0.6212196946144104	κέντωρ ; 0.5423597693443298	Παμβοιώτια ; 0.5668330788612366
0.01966992618454816	οἷος	ἔοικα	ὁμοιότης	ὁμοίωμα	ὁμοιόω	ὁμοίωσις	ὅμοιος	ἀφομοιόω	ὁμοίως	τοιοῦτος	πραιτώριον	ἔοικα	0	14	2	2	6	15	1	45	1	31	56	8	Πέριμος ; 0.5095793008804321	προδιδάσκω ; 0.5997619032859802	μετανάστασις ; 0.5785472989082336	παιδεράστρια ; 0.5232226848602295	προχειρίζω ; 0.6496385335922241	διχάζω ; 0.5772161483764648	διτάλαντος ; 0.5645447373390198	πολυκτόνος ; 0.5764504671096802	ὡσαύτως ; 0.5522347688674927	δύσθυμος ; 0.5152255892753601	χρησμῳδία ; 0.5498204827308655
0.06098737928171416	ἐπίλυσις	διερμηνεύω	διασαφέω	μεθερμηνεύω	ἑρμηνεία	ἑρμηνεύω	δυσερμήνευτος	φράζω	διερμηνευτής	ἐπιλύω	μέχρι(ς)	ἑρμηνεύω	0	1	6	2	8	2	3	1	1	1	2	18	ἀστατέω ; 0.5560591816902161	συμφωνέω ; 0.5074684619903564	πρός ; 0.5557255744934082	Ὠκεανίνη ; 0.5381008386611938	χαλκίς ; 0.601678192615509	ὀξυόεις ; 0.5696956515312195	ἀστοχέω ; 0.5575465559959412	διεξερέομαι ; 0.5608386397361755	πορνογράφος ; 0.5867472290992737	ἔκπληξις ; 0.5102294683456421	Λαβώτης ; 0.5795328617095947
-0.08280228736890616	ἐπίσημος	χρηματισμός	ἀποκάλυψις	φανερός	αὐγάζω	χρηματίζω	φανέρωσις	δηλόω	ἀποκαλύπτω	ξένος	διδάσκω	ξένος	0	2	1	17	18	1	9	2	7	26	14	96	Σκάρφη ; 0.5557243227958679	βλητέος ; 0.5595005750656128	γνῶσις ; 0.5395128726959229	ἀσώτως ; 0.5469945669174194	εὔμηλος ; 0.5682835578918457	ἐκφορέω ; 0.582014262676239	ἀνεπίξεστος ; 0.5597400069236755	ἐνάρχομαι ; 0.5192003846168518	ἐπιδέρκομαι ; 0.6086312532424927	σκηνοποιός ; 0.5201031565666199	περιτέμνω ; 0.5076875686645508
-0.03868979837355491	κύριος	μαράνα	Σαβαώθ	κυριακός	παντοκράτωρ	ἐλωΐ	αββα	θεός	ἠλί	ἄθεος	πότε	κυριακός	0	713	1	2	2	10	2	3	1307	2	1	19	θεός ; 0.5913374423980713	θά ; 0.8058677911758423	αὐθάδης ; 0.543479323387146	γομφίος ; 0.5187867283821106	ἁψίς ; 0.5610854029655457	ἠλί ; 0.7265340089797974	σκιρτάω ; 0.4993094205856323	ἀλήθεια ; 0.606494128704071	λεμά ; 0.7586736679077148	μηνιταῖος ; 0.6182240843772888	σιγή ; 0.5028619170188904
0.009649454936750401	ἀρτιγέννητος	ἔγκυος	τεκνογονέω	γενετή	ὠδίν	τεκνογονία	γένεσις	γεννητός	γέννημα	τίκτω	βραδύς	γέννημα	0	1	1	1	1	4	1	5	2	4	18	3	καταλαλιά ; 0.6567021608352661	ἐξαπατάω ; 0.5764195919036865	οἰκοδεσποτέω ; 0.8808812499046326	πολιάς ; 0.5259600877761841	μνάομαι ; 0.54283207654953	ὁμότεχνος ; 0.6051123142242432	σωματοποιέω ; 0.5633801221847534	πάλαισμα ; 0.511439859867096	πειράζω ; 0.5069061517715454	Πρῶτις ; 0.5414012670516968	Αἰθαιεύς ; 0.5318592190742493
0.025672476933550903	ἐκπληρόω	πληροφορέω	συναντάω	συμβαίνω	ἐνίστημι	προγίνομαι	ἐπιγίνομαι	πρᾶγμα	ἐπεισέρχομαι	συγκυρία	ἀγέλη	προγίνομαι	0	1	6	6	8	7	1	1	11	1	1	7	ἐμπεριπατέω ; 0.5531500577926636	νυμφότιμον ; 0.534984290599823	ἐκπηδάω ; 0.5366738438606262	καθαρισμός ; 0.5427813529968262	δηλόω ; 0.5111128687858582	πάρεσις ; 0.9019775390625	δευτεραῖος ; 0.7172583937644958	διαφερόντως ; 0.560705304145813	πένθος ; 0.5468002557754517	ἀνήνυτος ; 0.6120715141296387	τόπος ; 0.5751899480819702
0.06621240529433658	αββα	κυριακός	κύριος	ἄθεος	Σαβαώθ	παντοκράτωρ	θεός	ἐλωΐ	μαράνα	ἠλί	ἴασπις	κυριακός	0	3	2	713	1	2	10	1307	2	1	2	4	σκιρτάω ; 0.4993094205856323	γομφίος ; 0.5187867283821106	θεός ; 0.5913374423980713	μηνιταῖος ; 0.6182240843772888	αὐθάδης ; 0.543479323387146	ἁψίς ; 0.5610854029655457	ἀλήθεια ; 0.606494128704071	ἠλί ; 0.7265340089797974	θά ; 0.8058677911758423	λεμά ; 0.7586736679077148	ὕαλος ; 0.6069619059562683
0.049712899305338454	αὐθεντέω	δαμάζω	εὐπερίστατος	βραβεύω	δοῦλος	συλαγωγέω	ἐνέχω	ζωγρέω	στενοχωρέομαι	συνέχω	ἐρεύγομαι	συνέχω	0	1	4	1	1	126	1	3	2	3	12	1	πρωτοφορέω ; 0.5291665196418762	ὑπέχω ; 0.5188837647438049	ἔγγυος ; 0.5180050134658813	Παμβοιώτια ; 0.5668330788612366	διάκονος ; 0.5225415229797363	φθονέω ; 0.5507170557975769	Ὀξύθεμις ; 0.5166845917701721	βάθρον ; 0.5662077069282532	εὐνήτωρ ; 0.5808364152908325	ξένος ; 0.5823131799697876	τρίμηνον ; 0.5586061477661133
0.019250731444076463	δηλόω	φανερός	ἐπίσημος	ἀποκάλυψις	χρηματίζω	ξένος	ἀποκαλύπτω	φανέρωσις	χρηματισμός	αὐγάζω	τετράπους	χρηματισμός	0	7	18	2	17	9	14	26	2	1	1	3	ἐνάρχομαι ; 0.5192003846168518	ἀσώτως ; 0.5469945669174194	Σκάρφη ; 0.5557243227958679	γνῶσις ; 0.5395128726959229	ἐκφορέω ; 0.582014262676239	σκηνοποιός ; 0.5201031565666199	ἐπιδέρκομαι ; 0.6086312532424927	ἀνεπίξεστος ; 0.5597400069236755	βλητέος ; 0.5595005750656128	εὔμηλος ; 0.5682835578918457	ὄρφνινος ; 0.6017914414405823
0.15009595583347535	ἐκχωρέω	ἔξειμι	ἐκπορεύομαι	ἐκβαίνω	ἐξέρχομαι	μεταίρω	ἀπολύω	ἀποβαίνω	ἄφιξις	ἀπέρχομαι	εὐαγγελιστής	εὐαγγελιστής	1	1	4	33	1	216	2	65	4	1	117	3	πρό-κάθημαι ; 0.5584434270858765	προεῖδον ; 0.5354483127593994	μωμητός ; 0.5425484776496887	σκεπάω ; 0.6119349598884583	μεταβαίνω ; 0.5740582346916199	ἀντισπάω ; 0.5426774024963379	Ὑρτακίδης ; 0.5301997065544128	ἔργω1 ; 0.5399945974349976	Ἠλείοι ; 0.537455677986145	ἀμφίλογος ; 0.5696004033088684	ὁμότιμος ; 0.5775943994522095
0.09474666048631425	οἶκος	ἔπαυλις	σκήνωμα	πανδοχεῖον	οἰκία	σκηνή	κατάλυμα	πραιτώριον	σκηνοποιός	βασίλειος	φημί	βασίλειος	0	112	1	3	1	93	20	3	8	1	1	65	ἑορτή ; 0.5582776069641113	πτερύσσομαι ; 0.5182592868804932	ἀπότιμος ; 0.5466841459274292	Πείσων ; 0.5686887502670288	κώμη ; 0.555873692035675	μεγαλωσύνη ; 0.5962939262390137	Λύστρα ; 0.5266521573066711	χρησμῳδία ; 0.5498204827308655	ἀργέω ; 0.5871681571006775	ἠθέω ; 0.553954541683197	ἀποκρίνομαι ; 0.6207577586174011
0.06919242739495346	λάθρᾳ	βαθύς	ἀπόκρυφος	κρύπτη	βάθος	κρυπτός	μυστήριον	κρυφῇ	κρυφαῖος	ἀφανής	ἄψινθος	λάθρᾳ	0	4	4	3	1	8	17	26	1	2	1	1	δύσθεος ; 0.5113597512245178	ἱμάσθλη ; 0.5508176684379578	Ἀνάρος ; 0.5148375034332275	Μεσσήνη ; 0.6240774989128113	διάνυσμα ; 0.5840948224067688	ἁπλόος ; 0.5867896676063538	κυδάλιμος ; 0.5598238110542297	ἀσυλία ; 0.5493032932281494	παρειά ; 0.5577300190925598	σκεῦος ; 0.5391488075256348	Βακτριανή ; 0.5787379145622253
