Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.06969655419570531	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	11	53	41	2	ἐκβαίνω ; 0.5345458388328552	ἀναίδεια ; 0.45950114727020264	ἡσυχία ; 0.5000470876693726	πρᾶγμα ; 0.4686833918094635
0.08026967464990464	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	ἄραφος ; 0.44687843322753906	ἀρετή ; 0.5535900592803955	σκοτίζομαι ; 0.46258801221847534	διάλεκτος ; 0.43168461322784424
-0.053409710910672925	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	Θεσσαλονίκη ; 0.447221964597702	καλοδιδάσκαλος ; 0.9476231932640076	κακοῦργος ; 0.6284973621368408	χαλινός ; 0.589407742023468
0.1374277828707678	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	1	33	65	1	μακρός ; 0.5345458388328552	ἀκοή ; 0.503382682800293	ἐπικαθίζω ; 0.5339702367782593	πρεσβῦτις ; 0.5387640595436096
-0.024366044406515686	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	1307	3	20	λεμά ; 0.7147747278213501	ὅς ; 0.5409618616104126	τράπεζα ; 0.4527999460697174	πάντως ; 0.5142145156860352
-0.15631992546761447	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	πεποίθησις ; 0.5031856298446655	ἀληθινός ; 0.5000609755516052	ὅς ; 0.5409618616104126	πεισμονή ; 0.47788065671920776
-0.06463584943645911	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	πορθέω	0	4	3	1	1	περιεργάζομαι ; 0.5157696008682251	Ἰουδαϊσμός ; 0.48888567090034485	κατάσκοπος ; 0.8198299407958984	λιθόστρωτος ; 0.5452982783317566
0.03204867980428508	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	6	8	13	2	κακοῦργος ; 0.6284973621368408	ἔπαινος ; 0.4640212655067444	βρόχος ; 0.4850400984287262	ἄγω ; 0.5266737341880798
0.09178553829178226	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	7	23	46	2	Εὐφράτης ; 0.4893941879272461	ἴασπις ; 0.45385032892227173	ἀργυροῦς ; 0.456863135099411	κῶμος ; 0.5726478695869446
0.07276542864710778	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	φιλοσοφία ; 0.9483081698417664	βρύω ; 0.49329450726509094	εὐχάριστος ; 0.7480244040489197	πάρεσις ; 0.9572673439979553
0.29313679088608613	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	6	15	5	1	καθέδρα ; 0.4883689880371094	ἀστράπτω ; 0.5019566416740417	ἐκριζόω ; 0.5403870940208435	σμάραγδος ; 0.9729490280151367
-0.0029501260771424564	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	3	20	117	ὁμότεχνος ; 0.7446811199188232	πρόγονος ; 0.5879438519477844	κρίθινος ; 0.4787437319755554	ἔρχομαι ; 0.609080970287323
-0.030960540205375253	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	4	1	9	2	περιεργάζομαι ; 0.5157696008682251	κατάσκοπος ; 0.8198299407958984	κραταιόομαι ; 0.6017125844955444	Ἰεζάβελ ; 0.6720665693283081
0.0847750669524498	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	6	2	23	ἐκτός ; 0.530418872833252	ναύκληρος ; 0.4986799657344818	ἀμύνομαι ; 0.6547945141792297	Σελεύκεια ; 0.5262669920921326
0.08103758822361279	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	3	1	52	1	σουδάριον ; 0.47130459547042847	ἀφυστερέω ; 0.8791006207466125	σπόρος ; 0.7144712209701538	εἰρηνοποιέω ; 0.5738897919654846
0.2001586616484629	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	46	3	1	2	ἀργυροῦς ; 0.456863135099411	ἑρπετόν ; 0.7724200487136841	Ναθαναήλ ; 0.5110123157501221	Κυρήνιος ; 0.7399014830589294
0.05102643891910469	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	ἱεροπρεπής ; 0.98221355676651	κυβεία ; 0.5306302905082703	στυγητός ; 0.7923943996429443	σχῆμα ; 0.5097129940986633
0.00995674213028147	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	2	1	15	1	ἀνεμίζομαι ; 0.6424292922019958	θανατηφόρος ; 0.5871216058731079	ἀντάλλαγμα ; 0.5387956500053406	μακρός ; 0.5345458388328552
0.11402636655371845	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	2	1	1	3	σχῆμα ; 0.5097129940986633	ἀμφιάζω ; 0.5244349241256714	ἐκτός ; 0.530418872833252	Λυκαονία ; 0.47927621006965637
0.04311487192479524	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	τρώγω	0	1	6	1	1	ἔοικα ; 0.48912307620048523	λογικός ; 0.44395801424980164	κρίθινος ; 0.5149411559104919	πεντακισχίλιοι ; 0.5029579401016235
-0.15484918200384667	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικητήριον	0	1	2	1	1	βλέμμα ; 0.8112616539001465	διωγμός ; 0.5933974385261536	ὁροθεσία ; 0.9665888547897339	συναντάω ; 0.49618250131607056
0.03640907313740732	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	52	1	1	6	σπόρος ; 0.7144712209701538	κουφίζω ; 0.4952617883682251	ἀφυστερέω ; 0.8791006207466125	ναύκληρος ; 0.4986799657344818
0.24218339068578681	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ἑρμηνεία	1	2	3	3	2	Ἀγρίππας ; 0.4326273202896118	ἀγραυλέω ; 0.5029852390289307	Λυκαονία ; 0.47927621006965637	ἴαμα ; 0.5937541127204895
-0.05125819468165965	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ἱεροπρεπής	0	1	1	15	1	κατάστημα ; 0.98221355676651	παροτρύνω ; 0.4925965368747711	πραϋπαθία ; 0.5565937161445618	συντάσσω ; 0.5094107389450073
-0.04265618295351298	φθινοπωρινός	θέρος	διετία	τρίχινος	φθινοπωρινός	0	1	3	2	1	ἐπαφρίζω ; 0.5361626148223877	ἐκφύω ; 0.6252507567405701	μίσθωμα ; 0.6024285554885864	σάκκος ; 0.5527448654174805
-0.1680069884697668	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	βαθύς	0	2	4	1	5	βατταλογέω ; 0.5733253359794617	Κλαύδιος ; 0.4803210496902466	μόδιος ; 0.579459547996521	κωφός ; 0.48394620418548584
-0.07948335871096446	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	βραβεύω	0	1	4	1	2	εὐχάριστος ; 0.7480244040489197	πίμπρημι ; 0.518448531627655	ὄγκος ; 0.9365056157112122	δέρμα ; 0.5082679390907288
0.09215961241896059	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	κρυφαῖος	0	4	3	2	3	Κλαύδιος ; 0.4803210496902466	σύμφυτος ; 0.47893109917640686	βατταλογέω ; 0.5733253359794617	Πρίσκιλλα ; 0.5120295882225037
-0.046741845598593845	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	ἐπιφαίνω	0	4	3	1	14	ὁμολογέω ; 0.5540543794631958	σκοτίζομαι ; 0.46258801221847534	ἐντός ; 0.4924193024635315	ἐξηχέομαι ; 0.5074098110198975
0.07791104144013805	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	11	1	1	1	ὄνειδος ; 0.5133442282676697	ἔκγονον ; 0.9655759334564209	κηπουρός ; 0.4973096251487732	Ἀθηναῖος ; 0.65559983253479
0.4210883236324519	ἐννέα	δύο	τέσσαρες	φίλανδρος	ἐννέα	0	5	135	40	1	ὑπάγω ; 0.5440724492073059	δώδεκα ; 0.5215560793876648	ὀργή ; 0.5082373023033142	φιλότεκνος ; 0.9647073149681091
-0.011209749173637873	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	ἐγκομβόομαι	0	2	1	28	17	ἀκρογωνιαῖος ; 0.5414555072784424	ἁπλῶς ; 0.4875788390636444	παρίστημι ; 0.4618162512779236	προθυμία ; 0.5108847618103027
0.0938751268112068	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	10	11	10	1	καθαρός ; 0.5071424841880798	φιλανθρωπία ; 0.5631389617919922	διαφέρω ; 0.5399314761161804	φιλήδονος ; 0.8933814167976379
0.089310859886638	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζῳογονέω	0	3	140	3	3	συνθάπτομαι ; 0.5093340873718262	πολλάκις ; 0.5005057454109192	ἀνθρακιά ; 0.5044326782226562	ἐκφύω ; 0.6252507567405701
-0.19108276974643237	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	ζάω	0	42	140	11	1	πλάσσω ; 0.49339544773101807	πολλάκις ; 0.5005057454109192	ψυχικός ; 0.5254935622215271	ὠφέλεια ; 0.4835626184940338
-0.0968563166659388	χλωρός	βοτάνη	βάτος	πάσχω	βάτος	0	4	1	6	42	μόδιος ; 0.5048959851264954	γεωργέω ; 0.777592122554779	καθέδρα ; 0.4883689880371094	ἀκρασία ; 0.5195817351341248
0.14273862407850318	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	4	Ἀττάλεια ; 0.6240224242210388	Σαμοθρᾴκη ; 0.7456188797950745	διανύω ; 0.6111621260643005	πανήγυρις ; 0.7005782723426819
0.07386450754696477	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	προσλαλέω	0	3	297	2	4	συνοικοδομέω ; 0.5264571905136108	ἀφίημι ; 0.5392793416976929	καταφιλέω ; 0.4844326376914978	Ἀλεξανδρῖνος ; 0.5522648692131042
0.02746369807333232	προφθάνω	πάλαι	καινός	διατροφή	προφθάνω	0	1	7	42	1	κηπουρός ; 0.4973096251487732	συνοδεύω ; 0.5613259673118591	ἀνάγνωσις ; 0.5869712233543396	σκέπασμα ; 0.9735117554664612
0.09987099372516972	κατασφάζω	θανατόω	σφαγή	ἔννοια	θανατόω	0	1	11	3	2	ἀναφαίνω ; 0.5327093601226807	ὑπερυψόω ; 0.4839329719543457	ὑποπόδιον ; 0.5097308158874512	ὁπλίζομαι ; 0.6708710789680481
0.08544865199026808	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	γαζοφυλάκιον	1	1	8	2	5	ἐπισωρεύω ; 0.550752580165863	μνηστεύομαι ; 0.5867507457733154	ἴαμα ; 0.5937541127204895	βάϊον ; 0.5080621838569641
-0.02448962749060446	περιοικέω	κατοίκησις	κατοικία	τοιοῦτος	περιοικέω	0	1	1	1	56	εὔσπλαγχνος ; 0.5376132130622864	λαξευτός ; 0.545914888381958	ὁροθεσία ; 0.9665888547897339	ἴσος ; 0.4713899791240692
0.10437620999325631	ἐκδιηγέομαι	ἀναγγέλλω	ἀγγελία	λέπρα	λέπρα	1	2	14	2	4	Γαλατικός ; 0.4719708561897278	συμπάρειμι ; 0.47316619753837585	κῶμος ; 0.5726478695869446	ἀλώπηξ ; 0.5036693215370178
-0.10291938729479844	μάμμη	ἀπάτωρ	προπάτωρ	ἰσχύω	ἀπάτωρ	0	1	1	1	28	Λωΐς ; 0.9447402358055115	ἀμήτωρ ; 0.9736472964286804	νοσσίον ; 0.49165546894073486	μέρος ; 0.5446053743362427
0.2046369236060268	θρίξ	μέλος	κόμη	χόρτασμα	χόρτασμα	1	15	34	1	1	θειώδης ; 0.516421377658844	ἐπειδήπερ ; 0.4808434247970581	φιλόνεικος ; 0.5968368649482727	σιτίον ; 0.7468034029006958
-0.1808322170671896	ἄδικος	ψευδάδελφος	Χριστιανός	ἀναστροφή	Χριστιανός	0	12	2	3	13	καύχησις ; 0.5173666477203369	παρείσακτος ; 0.7333139181137085	Πρίσκιλλα ; 0.5120295882225037	ἐξαγοράζω ; 0.5456780195236206
0.02163885552713135	ποίμνιον	ψευδάδελφος	νεόφυτος	ἄψινθος	ψευδάδελφος	0	5	2	1	1	ὅθεν ; 0.5274600982666016	παρείσακτος ; 0.7333139181137085	ἐπιμελέομαι ; 0.5958835482597351	Ἄψινθος ; 0.7896469831466675
0.0714472291389906	χλωρός	χόρτος	ἀκάνθινος	ἕως	ἀκάνθινος	0	4	15	2	145	μόδιος ; 0.5048959851264954	ἀστράπτω ; 0.5019566416740417	πορφυροῦς ; 0.5791783332824707	οὖν ; 0.5792133212089539
-0.08662424195146812	γέννημα	τεκνογονέω	ἔγκυος	μεταίρω	γέννημα	0	4	1	1	2	ἔχιδνα ; 0.8042680621147156	οἰκοδεσποτέω ; 0.9754869937896729	ἱερατεύω ; 0.5688456296920776	διάβολος ; 0.5063021183013916
0.08010412628031566	παροικέω	ἐνοικέω	περιοικέω	ἔθνος	παροικέω	0	2	5	1	160	ἕβδομος ; 0.47425445914268494	ὅπλον ; 0.4601806402206421	εὔσπλαγχνος ; 0.5376132130622864	ἄγκιστρον ; 0.5354707837104797
-0.043528922559722516	ψευδαπόστολος	ἀπόστολος	συμπρεσβύτερος	παροικέω	ἀπόστολος	0	1	79	1	2	δόλιος ; 0.8975031971931458	Λούκιος ; 0.49969682097435	αἰχμάλωτος ; 0.5637738704681396	ἕβδομος ; 0.47425445914268494
0.048891362155311924	ὀργή	θυμομαχέω	θυμός	ἀεί	ἀεί	1	36	1	18	7	σπαταλάω ; 0.5113883018493652	Τύριος ; 0.9700106382369995	ἥμισυς ; 0.46898791193962097	ἁλληλουϊά ; 0.5012507438659668
0.3541381203495015	χαλκηδών	σμαράγδινος	ἴασπις	ἀναβολή	ἀναβολή	1	1	1	4	1	σμάραγδος ; 0.9729490280151367	ἴασπις ; 0.6419944167137146	σάρδιον ; 0.6440014243125916	ἔγκλημα ; 0.596144437789917
0.00541087873983237	παιδεύω	διδασκαλία	θεοδίδακτος	κατάλυμα	παιδεύω	0	13	21	1	3	βρόχος ; 0.4850400984287262	ἱλαρότης ; 0.49554747343063354	συμπαθής ; 0.5702183842658997	ἀγραυλέω ; 0.5549756288528442
0.0816380457694233	προπάτωρ	πατρικός	πατήρ	θήκη	θήκη	1	1	1	413	1	νοσσίον ; 0.49165546894073486	συνηλικιώτης ; 0.6977791786193848	ὀλίγος ; 0.489234983921051	Μάλχος ; 0.5413658618927002
0.16617281875654089	βρῶσις	τρώγω	ἐσθίω	ἀκάνθινος	ἀκάνθινος	1	11	6	157	2	κατάπαυσις ; 0.48655128479003906	λογικός ; 0.44395801424980164	βλητέος ; 0.5182188749313354	πορφυροῦς ; 0.5791783332824707
-0.22487188757743298	παιδεύω	διδάσκω	διδασκαλία	ἐγκεντρίζω	παιδεύω	0	13	96	21	6	βρόχος ; 0.4850400984287262	ἐπερωτάω ; 0.5812170505523682	ἱλαρότης ; 0.49554747343063354	ἱκανότης ; 0.5242394208908081
0.04696038960330162	ἰσχύω	κατισχύω	ἐξισχύω	ὀργίζομαι	ὀργίζομαι	1	28	3	1	9	μέρος ; 0.5446053743362427	βοάω ; 0.48971763253211975	ῥιζόομαι ; 0.6146977543830872	κἀκεῖθεν ; 0.5349003076553345
-0.2047379546230107	ἱεροπρεπής	δεισιδαιμονία	θρησκός	ἄντλημα	ἱεροπρεπής	0	1	1	1	1	κατάστημα ; 0.98221355676651	στρεβλόω ; 0.5502588748931885	ποίησις ; 0.847256064414978	στῦλος ; 0.4669847786426544
0.16099561976054777	πόνος	συνωδίνω	πάθημα	κτῆνος	κτῆνος	1	4	1	16	4	φραγέλλιον ; 0.49253877997398376	συστενάζω ; 0.9705341458320618	ἄνθος ; 0.4729710817337036	πτηνόν ; 0.6749504804611206
0.1508920772940416	σμάραγδος	χαλκηδών	χρυσόπρασος	οἰκητήριον	οἰκητήριον	1	1	1	1	2	χαλκηδών ; 0.9729490280151367	σμάραγδος ; 0.9729490280151367	τοπάζιον ; 0.9638822078704834	ἀΐδιος ; 0.5450937151908875
0.1812548229178072	ἔθνος	πολίτης	ἐντόπιος	διερμηνευτής	διερμηνευτής	1	160	4	1	1	ἄγκιστρον ; 0.5354707837104797	ἐπειδή ; 0.4718768894672394	μακροθύμως ; 0.5610010623931885	προφητεύω ; 0.5851343870162964
