Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.03470045323924609	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	σπέρμα ; 0.48146364092826843	ἐγγύς ; 0.4727555811405182	ὀφείλημα ; 0.4894053339958191	κρυφαῖος ; 0.4353718161582947
-0.044354843298182345	φωτίζω	λάμπω	φέγγος	δύναμις	λάμπω	0	11	7	3	119	κρύπτω ; 0.48946160078048706	μνηστεύομαι ; 0.4942212700843811	δακτύλιος ; 0.5861746072769165	κατοικητήριον ; 0.49109891057014465
0.04315952483372032	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	χρῖσμα ; 0.5389116406440735	καλοδιδάσκαλος ; 0.9081882834434509	αἰσχύνομαι ; 0.5096386671066284	ἄκακος ; 0.5272215604782104
0.035991463123202505	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	1	33	65	1	ἀνάψυξις ; 0.6276515126228333	θύελλα ; 0.5345888137817383	Ἀθηναῖος ; 0.481364369392395	ἀπαράβατος ; 0.5759643912315369
-0.02657106295297762	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	1307	3	20	ἠλί ; 0.7770535945892334	κύριος ; 0.5481061339378357	πονηρός ; 0.4806637167930603	δύσκολος ; 0.5419715642929077
-0.11058857559242358	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	10	1307	2	μετακινέω ; 0.6266658306121826	Ὦ ; 0.48286375403404236	κύριος ; 0.5481061339378357	φορτίζω ; 0.5806496739387512
0.07349219628318504	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	4	3	1	1	πολιτεύομαι ; 0.5156333446502686	Ἰουδαϊσμός ; 0.516586422920227	κατάσκοπος ; 0.644221305847168	δαπάνη ; 0.5625591278076172
-0.03153207381185785	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεία	0	6	8	13	2	αἰσχύνομαι ; 0.5096386671066284	ἀνυπόκριτος ; 0.4929426312446594	Λευίτης ; 0.4682864844799042	ἐγκοπή ; 0.4918271005153656
-0.002814658778529766	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	Ἀπφία ; 0.49926477670669556	σφραγίς ; 0.47131869196891785	ἀπαλλάσσω ; 0.5034917593002319	μειζότερος ; 0.516061544418335
0.024136708252095018	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	φιλοσοφία ; 0.7468356490135193	Ῥαχήλ ; 0.505159854888916	Ἁλφαῖος ; 0.5329893827438354	πάρεσις ; 0.9284874796867371
0.30754685541271853	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	6	15	5	1	πνίγω ; 0.5662732720375061	Κυρήνιος ; 0.4933929145336151	ἀχρεῖος ; 0.5346890091896057	σμάραγδος ; 0.9208957552909851
0.10693141134876438	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	3	20	117	τέχνη ; 0.5382302403450012	Σολομῶν ; 0.5436640977859497	ἀγενής ; 0.49701374769210815	ἔρχομαι ; 0.5467284917831421
0.023094858724141354	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	4	1	9	2	πολιτεύομαι ; 0.5156333446502686	κατάσκοπος ; 0.644221305847168	υἱοθεσία ; 0.5226288437843323	φαρμακεία ; 0.562734842300415
0.06583141139120552	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	6	2	23	πλάσμα ; 0.4708954095840454	συστέλλω ; 0.5768584609031677	ἀρά ; 0.5459609627723694	σιαγών ; 0.4822690486907959
0.1505824213094228	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	3	1	52	1	πλατεῖα ; 0.4824991822242737	ἀφυστερέω ; 0.6888468265533447	σπόρος ; 0.5807591080665588	ποταμοφόρητος ; 0.5461688041687012
