Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.030828662888650715	μακρός	χρόνος	πάντοτε	ψωμίζω	μακρός	0	11	53	41	2	ἀσυγκόμιστος ; 0.7123531699180603	Μακεδών ; 0.6643832921981812	φιλοφροσύνη ; 0.6541491150856018	εἷς ; 0.6504758596420288
0.1298455187220735	φωτίζω	λάμπω	φέγγος	δύναμις	φέγγος	0	11	7	3	119	ἀφρήτωρ ; 0.6618795990943909	συντρέχω ; 0.6257588863372803	Φωκίς ; 0.6866376996040344	πώποτε ; 0.6612821817398071
0.11282934792284954	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	σκοπαῖος ; 0.716727077960968	εὔμηλος ; 0.6422414183616638	δημοκόων ; 0.7522333264350891	εὔπρεπτος ; 0.7460500001907349
0.08674360895686706	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	1	33	65	1	ἑλλεδανός ; 0.6225178837776184	ψιλός ; 0.6837112903594971	ὤκιστα ; 0.6754876375198364	συγκωμάζω ; 0.7047802209854126
-0.005561239982680988	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	1307	3	20	λεμά ; 0.7455266714096069	ἡδονά ; 0.6512489914894104	ἀβούλητος ; 0.7024519443511963	εὐθέως ; 0.702508807182312
-0.18920387005592681	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	10	1307	2	ἀνεπίμομφος ; 0.7050672769546509	κέλομαι ; 0.6777333617210388	ἡδονά ; 0.6512489914894104	ἀνταπόδοσις ; 0.6224160194396973
-0.19571026593590946	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	πορθέω	0	4	3	1	1	συμφώνησις ; 0.6910063624382019	ἐπιρρύομαι ; 0.6873025894165039	Σαμάρεια ; 0.6833297610282898	νόημα ; 0.6077441573143005
-0.17183284406475502	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεία	0	6	8	13	2	δημοκόων ; 0.7522333264350891	ἀμβλύς ; 0.6813474297523499	πυρκαιά ; 0.7017555832862854	ἐγκωμιάζω ; 0.6494307518005371
-0.051542342408126274	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	οἰνών ; 0.714807391166687	Θεολύτη ; 0.7337182760238647	Νίκη ; 0.7088295817375183	Λωΐς ; 0.6942538619041443
0.025142004564415177	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	προλυμαίνομαι ; 0.66701340675354	προορμάω ; 0.6589820384979248	νομοθεσία ; 0.6513218879699707	πάρεσις ; 0.937404215335846
