Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.17635880743621668	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	μετοικία ; 0.6814781427383423	ἀναπίπτω ; 0.6542572975158691	ἀνάτασις ; 0.6383324265480042	ἀδικέω ; 0.637296199798584
0.069889845846826	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	Τολμίδης ; 0.6688417792320251	πετάννυμι ; 0.6856985688209534	ἐπιδύω ; 0.6396886110305786	διδασκαλεῖον ; 0.6155261993408203
0.20820291808615088	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	Αἰτώλιος ; 0.658726692199707	Ἀλκιμέδων ; 0.717468798160553	κέρδος ; 0.6695258617401123	συνθλάομαι ; 0.6847174763679504
0.11017774001276198	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	1	33	65	1	μοῖρα ; 0.6637876629829407	ἵημι ; 0.8118249773979187	ψηφίζομαι ; 0.7038931250572205	μεταμίγνυμι ; 0.6714847087860107
-0.1725413601793136	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	1307	3	20	ἠλί ; 0.795965850353241	κύριος ; 0.7363526821136475	ἀνιάζω ; 0.6682617664337158	ἑπταετής ; 0.6571575999259949
-0.20975658434164274	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	10	1307	2	φθορά ; 0.6632151007652283	Ἄλφα ; 0.6528738737106323	κύριος ; 0.7363526821136475	ὑποφῆτις ; 0.6895960569381714
0.005265918798207925	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	συναπόλλυμαι	0	4	3	1	1	Κάρησος ; 0.7016986608505249	εὔπομπος ; 0.7140031456947327	ἑορτάζω ; 0.6825476288795471	πυρή ; 0.6806659698486328
-0.020100842162415256	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	6	8	13	2	κέρδος ; 0.6695258617401123	χωστρίς ; 0.7305364012718201	χαρίζομαι ; 0.6623503565788269	μαντιπολέω ; 0.7165414094924927
0.004267889360283994	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	ὑπέρτονος ; 0.7494942545890808	κατασφραγίζω ; 0.6969397068023682	κνάφος ; 0.6779629588127136	ἐπιστολή ; 0.8044980764389038
-0.13125984612292563	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	βατώδης ; 0.6467458605766296	Ἱκέτας ; 0.6332233548164368	προαγωγή ; 0.6575755476951599	πάρεσις ; 0.9056193232536316
