Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.02252699850736939	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	προχειρίζομαι ; 0.39295414090156555	διότι ; 0.4120677411556244	χρήσιμον ; 0.37035855650901794	γλῶσσα ; 0.4499334692955017
0.10105840471557401	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	ὑπόδικος ; 0.3422950208187103	διαμένω ; 0.47359466552734375	σκοτίζομαι ; 0.4826658368110657	πτῶσις ; 0.3778400123119354
-0.10411625943209385	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	30	1	6	2	Βαριωνᾶ ; 0.4241319000720978	καλοδιδάσκαλος ; 0.957747220993042	βρόχος ; 0.3890596926212311	ἐκτινάσσω ; 0.49211573600769043
0.1233588113451991	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	1	33	65	1	ῥᾳδιούργημα ; 0.40341252088546753	ἀκοή ; 0.4293174147605896	συνέδριον ; 0.39063560962677	σωφροσύνη ; 0.56981360912323
-0.08005194549459799	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	1307	3	20	λεμά ; 0.8324671983718872	πᾶς ; 0.4066494405269623	προσκυνητής ; 0.3934972286224365	ἔκγονον ; 0.3927941918373108
-0.09706154319352439	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	πολιτεία ; 0.4343797564506531	ἀνεξιχνίαστος ; 0.3710993230342865	πᾶς ; 0.4066494405269623	ἐνύπνιον ; 0.41314804553985596
0.013705774424801698	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	4	3	1	1	καυχάομαι ; 0.3688717782497406	Κίς ; 0.3963518738746643	κατάσκοπος ; 0.8243705630302429	ἀναβιβάζω ; 0.5139021873474121
0.003614715575621874	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	6	8	13	2	βρόχος ; 0.3890596926212311	ἐπηρεάζω ; 0.40513351559638977	ἁγνισμός ; 0.46450376510620117	ἐνέργημα ; 0.43534979224205017
0.011612782875696892	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	ἄγριος ; 0.3790736198425293	κυκλόθεν ; 0.4612393379211426	τέσσαρες ; 0.3995039463043213	μειζότερος ; 0.5012232661247253
0.09065184408068983	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	φιλοσοφία ; 0.9406881332397461	ἀποτίνω ; 0.4269983768463135	εὐχάριστος ; 0.754826545715332	πάρεσις ; 0.9622032046318054
0.3913519608533347	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	6	15	5	1	κατανοέω ; 0.41085726022720337	ἐλευθερία ; 0.4001729488372803	ἐκριζόω ; 0.4198876917362213	σμάραγδος ; 0.943907618522644
0.009862614395982572	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	3	20	117	ὁμότεχνος ; 0.7214044332504272	Σολομῶν ; 0.473440557718277	ἑκατόν ; 0.37971732020378113	ἄροτρον ; 0.3917773365974426
-0.03808597438742434	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	4	1	9	2	καυχάομαι ; 0.3688717782497406	κατάσκοπος ; 0.8243705630302429	πλεονεξία ; 0.4656814932823181	Ἰεζάβελ ; 0.641230583190918
-0.03541530553179878	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	6	2	23	πτοέομαι ; 0.45497775077819824	κλῆρος ; 0.4450368881225586	ἀμύνομαι ; 0.6721136569976807	ἐπίλοιπος ; 0.3691074848175049
0.08306124734179826	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	3	1	52	1	τρυφάω ; 0.3500405550003052	ἀφυστερέω ; 0.8555630445480347	σπόρος ; 0.42615005373954773	εἰρηνοποιέω ; 0.4975200593471527
0.08132062025890363	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θηρίον	0	46	3	1	2	τέσσαρες ; 0.3995039463043213	ἑρπετόν ; 0.7262897491455078	ὕσσωπος ; 0.4107751250267029	Κυρήνιος ; 0.7248680591583252
-0.11892965716766174	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	ἱεροπρεπής ; 0.9826376438140869	ἔκδηλος ; 0.611440896987915	στυγητός ; 0.7533323764801025	ἐπενδύτης ; 0.4251285791397095
-0.024299646889086257	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	2	1	15	1	ἀνεμίζομαι ; 0.6380271911621094	θανατηφόρος ; 0.5931910276412964	ἀδάπανος ; 0.38254162669181824	ῥᾳδιούργημα ; 0.40341252088546753
-0.010184856791809471	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	προμεριμνάω	0	2	1	1	3	ἐπενδύτης ; 0.4251285791397095	ἀμφιάζω ; 0.48032301664352417	πτοέομαι ; 0.45497775077819824	σπουδαῖος ; 0.43867605924606323
