Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.05862654391042288	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	Ἱεροσόλυμα ; 0.3637567162513733	χείρ ; 0.4023072421550751	βρῶσις ; 0.3987310826778412	οὐράνιος ; 0.3854227662086487
-0.03635654906042332	φωτίζω	λάμπω	φέγγος	δύναμις	φέγγος	0	11	7	3	119	ὀπτασία ; 0.4027193784713745	παρατυγχάνω ; 0.4297194480895996	λύτρον ; 0.45509073138237	ἀδηλότης ; 0.33171969652175903
0.031244183256278812	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	ἀνακρίνω ; 0.3834422826766968	καλοδιδάσκαλος ; 0.9183887839317322	νόθος ; 0.41958457231521606	κονιορτός ; 0.49475735425949097
0.0442492069491906	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	1	33	65	1	ἀνάψυξις ; 0.42527392506599426	θύελλα ; 0.48270946741104126	περιρήγνυμι ; 0.3911842107772827	συνεγείρω ; 0.43294185400009155
-0.09730858256242825	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	1307	3	20	λεμά ; 0.7201522588729858	ἐγώ ; 0.45547986030578613	προσκυνητής ; 0.4542350471019745	ἔκγονον ; 0.3809099793434143
-0.0790854992832849	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	φιλόθεος ; 0.4603199362754822	τελείωσις ; 0.4008941650390625	ἐγώ ; 0.45547986030578613	δότης ; 0.46541374921798706
0.11681109530515449	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	4	3	1	1	κατήφεια ; 0.39568445086479187	συμπαρακαλέομαι ; 0.45913270115852356	κατάσκοπος ; 0.627256453037262	κλίβανος ; 0.5430151224136353
0.039010511185775226	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	6	8	13	2	νόθος ; 0.41958457231521606	ἀπομάσσομαι ; 0.41453656554222107	παιδεία ; 0.39552825689315796	ἀνεξίκακος ; 0.42637360095977783
0.02827996156169238	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	ἄγριος ; 0.4412025213241577	χαλκηδών ; 0.4683663249015808	ποταπός ; 0.3912823498249054	μειζότερος ; 0.484855979681015
0.034877272391504455	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	φιλοσοφία ; 0.8183202147483826	νοσσίον ; 0.5063962340354919	εὐχάριστος ; 0.4344218969345093	πάρεσις ; 0.8808944821357727
0.40194189063045727	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	6	15	5	1	προπορεύομαι ; 0.4388572573661804	ἐνδύω ; 0.4347783029079437	κόκκος ; 0.564010739326477	σμάραγδος ; 0.8771669864654541
-0.017368007032770416	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	3	20	117	ὁμότεχνος ; 0.5100230574607849	ἀρεστός ; 0.45719242095947266	κραυγή ; 0.403942346572876	εἰσέρχομαι ; 0.3930025100708008
0.0004111469788589672	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	4	1	9	2	κατήφεια ; 0.39568445086479187	κατάσκοπος ; 0.627256453037262	ὀλίγως ; 0.44549208879470825	Ἰεζάβελ ; 0.541732668876648
-0.007323455468466911	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	6	2	23	ἐκπερισσῶς ; 0.41100817918777466	κατισχύω ; 0.4374227225780487	ἀμύνομαι ; 0.5488163232803345	τύπτω ; 0.4338470697402954
0.04631689471020861	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	3	1	52	1	κρούω ; 0.40351611375808716	ἀφυστερέω ; 0.7562026381492615	πετρῶδες ; 0.42288893461227417	περιοικέω ; 0.4704674482345581
0.042554609408614	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θηρίον	0	46	3	1	2	ποταπός ; 0.3912823498249054	ἑρπετόν ; 0.6168315410614014	φάρμακον ; 0.46328866481781006	Κυρήνιος ; 0.699378490447998
0.10477778205686883	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	ἱεροπρεπής ; 0.9173098802566528	Ἰωσαφάτ ; 0.5212730169296265	στυγητός ; 0.719352662563324	διαχλευάζω ; 0.5159924030303955
0.12373767555831516	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	2	1	15	1	ἀνεμίζομαι ; 0.4629402160644531	διχάζω ; 0.4964258074760437	ὑπεροράω ; 0.4282757341861725	ἀνάψυξις ; 0.42527392506599426
0.015721564982100866	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	προμεριμνάω	0	2	1	1	3	διαχλευάζω ; 0.5159924030303955	ὑπόδικος ; 0.44259190559387207	ἐκπερισσῶς ; 0.41100817918777466	ἑτέρως ; 0.42759332060813904
0.038686666102871414	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	βιβρώσκω	0	1	6	1	1	συμπαραγίνομαι ; 0.34982115030288696	πρόσφατος ; 0.4557710886001587	κρίθινος ; 0.46303099393844604	τετρακισχίλιοι ; 0.47285306453704834
-0.09646665291604906	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	ἐγκατοικέω	0	1	2	1	1	μῶμος ; 0.5929473638534546	κατακλείω ; 0.4387572407722473	ὁροθεσία ; 0.9298644661903381	ἅγιος ; 0.5003398656845093
-0.009767000545398752	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	ἐπισπείρω	0	52	1	1	6	πετρῶδες ; 0.42288893461227417	ἀναντιρρήτως ; 0.4582948088645935	ἀφυστερέω ; 0.7562026381492615	κατισχύω ; 0.4374227225780487
0.17456225868243902	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ἑρμηνεία	1	2	3	3	2	ἀναντιρρήτως ; 0.41822272539138794	Σαλείμ ; 0.4029301404953003	ἑτέρως ; 0.42759332060813904	ἴαμα ; 0.5348176956176758
-0.029903408234656925	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ἱεροπρεπής	0	1	1	15	1	κατάστημα ; 0.9173098802566528	βαρύτιμος ; 0.42230841517448425	φιλόθεος ; 0.3710206151008606	ψῦχος ; 0.44604694843292236
0.009241403888452515	φθινοπωρινός	θέρος	διετία	τρίχινος	τρίχινος	1	1	3	2	1	ἐκριζόω ; 0.48809465765953064	χλιαρός ; 0.45444124937057495	διάδοχος ; 0.7665020823478699	σάκκος ; 0.4738214313983917
-0.09032902843548657	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	βαθύς	0	2	4	1	5	κρυπτός ; 0.5408471822738647	διαβάλλω ; 0.37108519673347473	σκοπός ; 0.4540732800960541	ὄνειδος ; 0.4135648310184479
-0.04699081714785169	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	βραβεύω	0	1	4	1	2	εὐχάριστος ; 0.4344218969345093	πέδη ; 0.5034297704696655	ὄγκος ; 0.7753790616989136	συνέκδημος ; 0.3691014051437378
0.023957554503630185	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	κρυφαῖος	0	4	3	2	3	διαβάλλω ; 0.37108519673347473	πολλαπλασίων ; 0.43923062086105347	κρυπτός ; 0.5408471822738647	πρώτως ; 0.45705652236938477
0.0722431630468548	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	4	3	1	14	φιλαργυρία ; 0.4431765675544739	λύτρον ; 0.45509073138237	Ταβέρνη ; 0.39702001214027405	χάλαζα ; 0.4478934407234192
-0.024390626456916975	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	11	1	1	1	ἀδάπανος ; 0.46974286437034607	ἔκγονον ; 0.8238624334335327	διερωτάω ; 0.39892855286598206	κρημνός ; 0.47064661979675293
0.1607687005383348	ἐννέα	δύο	τέσσαρες	φίλανδρος	ἐννέα	0	5	135	40	1	ἐπισιτισμός ; 0.40754234790802	χρεία ; 0.4381014406681061	κοίτη ; 0.44380778074264526	φιλότεκνος ; 0.857293963432312
0.0526491667067453	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	ἀποκάλυψις	1	2	1	28	17	Ἐρυθρός ; 0.44134193658828735	θυμόομαι ; 0.46534979343414307	χόρτος ; 0.4347783029079437	ματαιόομαι ; 0.40669459104537964
0.17459992357225057	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	10	11	10	1	ἰσόψυχος ; 0.3724736273288727	καυχάομαι ; 0.37007302045822144	παρομοιάζω ; 0.4175838232040405	φιλήδονος ; 0.7976028323173523
0.09442029822509923	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζάω	0	3	140	3	3	συνθάπτομαι ; 0.4870538115501404	θρόμβος ; 0.4087512195110321	ψαλμός ; 0.3733619451522827	χλιαρός ; 0.45444124937057495
0.13904539857138065	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	παθητός	1	42	140	11	1	ὅλως ; 0.4214707612991333	θρόμβος ; 0.4087512195110321	ἑρμηνεύω ; 0.4047882556915283	γέ ; 0.36064058542251587
-0.13873058204003297	χλωρός	βοτάνη	βάτος	πάσχω	βάτος	0	4	1	6	42	καῦμα ; 0.38491541147232056	γεωργέω ; 0.5289046764373779	προπορεύομαι ; 0.4388572573661804	συλλαμβάνω ; 0.37862902879714966
0.16704953569376246	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	4	Νέα ; 0.6007187366485596	Σαμοθρᾴκη ; 0.6975950002670288	διανύω ; 0.8991966247558594	Κυρήνιος ; 0.42232179641723633
0.035276372904206654	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	λαλέω	0	3	297	2	4	συμπαρακαλέομαι ; 0.4254644513130188	ἄνοιξις ; 0.35447633266448975	θεομάχος ; 0.41986972093582153	Ζηνᾶς ; 0.6006073355674744
