Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.025745716904333582	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	οἰνών ; 0.31206610798835754	ἅλωσις ; 0.3107275366783142	ἐνταφιασμός ; 0.3445785343647003	καίω ; 0.3280629515647888
0.016063839740820762	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	σελήνη ; 0.29224589467048645	θρύπτω ; 0.32758432626724243	πανύστατον ; 0.3409940004348755	ἀναφλέγω ; 0.3379174470901489
-0.011854331568972754	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	παιδεία	0	30	1	6	2	προσπεριβάλλω ; 0.28652629256248474	καλοδιδάσκαλος ; 0.3782733082771301	παιδεύω ; 0.5107659101486206	κονιορτός ; 0.44992104172706604
0.09760359049412193	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	1	33	65	1	διαπυνθάνομαι ; 0.37300264835357666	ἐρίφιον ; 0.3453388810157776	ἀποστάσιον ; 0.3083067834377289	Στράτων ; 0.35977715253829956
-0.0784654224921757	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	1307	3	20	λεμά ; 0.8617494106292725	κατασύρω ; 0.3234815299510956	συμπεριάγω ; 0.4009702801704407	ποσάκις ; 0.27626141905784607
-0.04883927977780342	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	εὐπατρίδης ; 0.3021664619445801	ὑπέρπικρος ; 0.3369157314300537	κατασύρω ; 0.3234815299510956	Κιτιής ; 0.37524735927581787
-0.025322417005099795	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	4	3	1	1	κατοπτρίζομαι ; 0.32357051968574524	Οὐολοῦσκοι ; 0.2706851661205292	κατάσκοπος ; 0.5937764644622803	αἰών ; 0.2973693609237671
0.05820531851634406	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	6	8	13	2	παιδεύω ; 0.5107659101486206	γνῶσις ; 0.34037691354751587	παιδεία ; 0.5107659101486206	ἀντιδιατίθεμαι ; 0.39957404136657715
0.023245717271756783	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	7	23	46	2	χοῖρος ; 0.5502545833587646	σμάραγδος ; 0.3473104238510132	ὑποβινητιάω ; 0.3118477761745453	ἀγώνισμα ; 0.29991573095321655
0.21314938775219072	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	φιλοσοφία ; 0.3979160189628601	κSUψω ; 0.34373030066490173	στάσις ; 0.426113098859787	πάρεσις ; 0.9534134864807129
