Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.227066923889153	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	μετοικία ; 0.7236384749412537	ἴσως ; 0.7429836392402649	κάμμορος ; 0.6213200092315674	ψυχή ; 0.6234275102615356
0.06359439702514463	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	καταπλάσσω ; 0.6749356985092163	πετάννυμι ; 0.6850293278694153	μυρίζω ; 0.6665786504745483	ξενόω ; 0.618584930896759
0.17542847449528615	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	πλάγιον ; 0.6703924536705017	Ἀλκιμέδων ; 0.6875709295272827	κέρδος ; 0.686718761920929	ἐκπορεύω ; 0.6881641745567322
0.06762807000749593	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	1	33	65	1	μοῖρα ; 0.7002748847007751	ἵημι ; 0.7649115324020386	ἐπιπάρειμι ; 0.7359578609466553	παραμένω ; 0.6727749705314636
-0.15048739897662367	ἐλωΐ	θεός	αββα	γονεύς	ἐλωΐ	0	2	1307	3	20	ἠλί ; 0.7739502787590027	κύριος ; 0.6929115653038025	δύστηνος ; 0.6892976760864258	λῃστεία ; 0.6575211882591248
-0.20381633669062937	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	10	1307	2	φθορά ; 0.6471429467201233	ὠφελήσιμος ; 0.7074875831604004	κύριος ; 0.6929115653038025	Κρονίων ; 0.6933570504188538
0.0013076840610818374	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	συναπόλλυμαι	0	4	3	1	1	δίκη ; 0.6789687871932983	οἰκειόω ; 0.6539357900619507	ἀντεπιτειχίζομαι ; 0.682815432548523	Μιλύαι ; 0.6517069339752197
-0.006377277352109023	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	6	8	13	2	κέρδος ; 0.686718761920929	χωστρίς ; 0.7757202982902527	δικαιός ; 0.6637924909591675	πρεσβυτέριον ; 0.7227248549461365
-0.045314782528421804	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	βόσκω ; 0.7382040023803711	κατασφραγίζω ; 0.6832193732261658	κνάφος ; 0.6660006642341614	ἐπιστολή ; 0.7591618895530701
-0.07042466509770678	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	βατώδης ; 0.6439743638038635	Ἱκέτας ; 0.6063342094421387	ἑνότης ; 0.6511968374252319	πάρεσις ; 0.9077719449996948
0.1231110335000612	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	6	15	5	1	Πάνθος ; 0.6419513821601868	ἀργός2 ; 0.6360119581222534	Μελανθεύς ; 0.6453173756599426	σμάραγδος ; 0.8894643187522888
0.15374585132160545	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	3	20	117	μονοχίτων ; 0.6552096605300903	ἐπιδέξιος ; 0.678240954875946	ἠιόεις ; 0.7029648423194885	συνάγω ; 0.7346721291542053
-0.04844609016218082	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	4	1	9	2	δίκη ; 0.6789687871932983	ἀντεπιτειχίζομαι ; 0.682815432548523	προάστειον ; 0.6709138751029968	θῆλυς ; 0.7154305577278137
0.15445887519760632	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	6	2	23	τεκνοποιός ; 0.6344031691551208	ἄγχιστος ; 0.6756425499916077	πτερόω ; 0.6837249398231506	οὐοὐδέ ; 0.6405097842216492
-0.0037372453447264142	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	ἀροτριάω	0	3	1	52	1	τανῦν ; 0.7733339071273804	θηλύνω ; 0.6630740761756897	ἀκαλαρρείτης ; 0.6297382712364197	Φηραί ; 0.6603250503540039
0.23032526697748518	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	46	3	1	2	κνάφος ; 0.6660006642341614	ἄστατος ; 0.6998857855796814	ἐνυπνιάζομαι ; 0.6831698417663574	συμβολή ; 0.7669358849525452
0.1715377464234472	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	γάλα ; 0.6956567168235779	διαμετρητός ; 0.6114721298217773	Ψενοσιρις ; 0.7102826237678528	φημί ; 0.6630023717880249
0.12887158135058946	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοίωσις	0	2	1	15	1	ἔμπαιος ; 0.684175431728363	ὑψηλός ; 0.6726623177528381	παρεγγράφω ; 0.7048191428184509	μοῖρα ; 0.7002748847007751
0.10427375538281358	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	2	1	1	3	φημί ; 0.6630023717880249	ἀσύνθετος ; 0.6926144957542419	τεκνοποιός ; 0.6344031691551208	ἀκροατής ; 0.6624771952629089
-0.0810840855160474	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	τρώγω	0	1	6	1	1	συνδαίτωρ ; 0.6438592076301575	ποτήριον ; 0.6773483753204346	ναί ; 0.6928962469100952	Βάκχευμα ; 0.7210015654563904
-0.014345645915849081	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικία	0	1	2	1	1	σφριγάω ; 0.7036759853363037	ἑκατόζυγος ; 0.7134301662445068	δωροφάγος ; 0.6592274904251099	γρυμέα ; 0.7111266851425171
0.19367366025286853	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	μέριμνα	1	52	1	1	6	ἀκαλαρρείτης ; 0.6297382712364197	σιτοποιέω ; 0.6424480676651001	θηλύνω ; 0.6630740761756897	ἄγχιστος ; 0.6756425499916077
