Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.1247732777772505	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	ἀσκός ; 0.5071332454681396	αὐγή ; 0.5341175198554993	ἀνήκω ; 0.5160977840423584	ὁσάκις ; 0.6514409184455872
0.036907349548382595	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	στέφανος ; 0.47934490442276	ἀστράπτω ; 0.523626983165741	σκοτίζομαι ; 0.6577387452125549	κατοικητήριον ; 0.5054727792739868
0.08731767951871161	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	ἀντιλαμβάνομαι ; 0.5319797992706299	φίλανδρος ; 0.9681532382965088	νόθος ; 0.5589792132377625	καταξιόω ; 0.6072720289230347
-0.07191015046033095	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	1	33	65	1	Μίλητος ; 0.6178554892539978	ἐκβάλλω ; 0.5232265591621399	πορεύομαι ; 0.5843039155006409	ὑπόλειμμα ; 0.47388097643852234
-0.14210453636587222	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	1307	3	20	λεμά ; 0.9340376853942871	πᾶς ; 0.7652270793914795	ἐκχέω ; 0.504182755947113	εἰρηνοποιός ; 0.5136213898658752
-0.1659960662748992	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	ἀποδιορίζω ; 0.48570218682289124	Ἄλφα ; 0.5320070385932922	πᾶς ; 0.7652270793914795	νίκη ; 0.519208550453186
0.17569949592918505	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	4	3	1	1	ῥαπίζω ; 0.5697178840637207	λόγος ; 0.5015614628791809	κατάσκοπος ; 0.9619888663291931	ἀναβιβάζω ; 0.8996068239212036
0.06579587576942408	παιδεία	κατηχέω	παιδεύω	φανέρωσις	κατηχέω	0	6	8	13	2	νόθος ; 0.5589792132377625	Πέργη ; 0.5473029017448425	παιδεία ; 0.5263026356697083	καθαρότης ; 0.5083575248718262
-0.0425021809360151	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	κρημνός ; 0.5652987957000732	κυκλόθεν ; 0.5352292060852051	ἄβυσσος ; 0.47381481528282166	ἀρχή ; 0.503743588924408
-0.04902456405778871	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	φιλοσοφία ; 0.9800184965133667	εὐθύμως ; 0.4835188388824463	εὐχάριστος ; 0.7856932282447815	πάρεσις ; 0.9893898367881775
