Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.11775176563459444	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	11	53	41	2	ἐκδικέω ; 0.3726598024368286	συντόμως ; 0.35302257537841797	ἀκωλύτως ; 0.3973432779312134	κομάω ; 0.5019341707229614
-0.05162260052223844	φωτίζω	λάμπω	φέγγος	δύναμις	φέγγος	0	11	7	3	119	καῦμα ; 0.3935358226299286	ἀστράπτω ; 0.4646981358528137	σκοτίζομαι ; 0.5253353118896484	ἐπιφάνεια ; 0.43108832836151123
-0.07345433071498836	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	30	1	6	2	ἀνακρίνω ; 0.395500123500824	φίλανδρος ; 0.9442552328109741	νόθος ; 0.4418366849422455	κονιορτός ; 0.43716105818748474
0.05269594837292513	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἐκπορεύομαι	0	1	33	65	1	κατοίκησις ; 0.5115478038787842	κατοικέω ; 0.37352320551872253	ὑδρία ; 0.36395263671875	ὁμότεχνος ; 0.5433785915374756
-0.08024905400998178	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	1307	3	20	ἠλί ; 0.797484278678894	πᾶς ; 0.6586178541183472	ὡσαννά ; 0.4336637854576111	τρίς ; 0.3993533253669739
-0.20638902922643437	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	πρόσλημψις ; 0.5219634771347046	Ὦ ; 0.5320702791213989	πᾶς ; 0.6586178541183472	Δημᾶς ; 0.491219699382782
0.15875461479661984	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	4	3	1	1	τίνω ; 0.4777754545211792	νίκη ; 0.39023739099502563	κατάσκοπος ; 0.8188104033470154	ἀναβιβάζω ; 0.5320858359336853
0.11223390718039422	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	6	8	13	2	νόθος ; 0.4418366849422455	ξυράομαι ; 0.4667971730232239	προθυμία ; 0.47477009892463684	ἀνεξίκακος ; 0.4852655827999115
0.08100427185838022	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	κρημνός ; 0.5359776616096497	σμάραγδος ; 0.4077087640762329	δράκων ; 0.5059118270874023	μακαρίζω ; 0.4899917244911194
-0.046852810811961465	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	3	1	1	φιλοσοφία ; 0.856873631477356	ἀποστοματίζω ; 0.5352547764778137	εὐχάριστος ; 0.4927785098552704	πάρεσις ; 0.9562025666236877
0.47392483570671284	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	6	15	5	1	ἄρκος ; 0.4642133116722107	ἄνθος ; 0.45119088888168335	κόκκος ; 0.6985838413238525	σάπφιρος ; 0.9403353929519653
0.058574932730652396	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	3	20	117	ὁμότεχνος ; 0.6726985573768616	συμψηφίζω ; 0.4308014512062073	μεθύω ; 0.45652875304222107	ἔρχομαι ; 0.5090993046760559
0.02628733928741933	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	προφῆτις	1	4	1	9	2	τίνω ; 0.4777754545211792	κατάσκοπος ; 0.8188104033470154	ἅλωσις ; 0.5312670469284058	Ἰεζάβελ ; 0.7155123949050903
-0.13979594587680255	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	προμεριμνάω	0	1	6	2	23	πλάσμα ; 0.46964994072914124	κραιπάλη ; 0.5151336193084717	ἄθεσμος ; 0.58461993932724	Σελεύκεια ; 0.42452114820480347
0.03156383464706891	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	3	1	52	1	ἔγκλημα ; 0.483753502368927	ἀφυστερέω ; 0.800520658493042	πετρῶδες ; 0.4412952959537506	ὑπόδικος ; 0.5473642349243164
0.18338004213305048	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	θρέμμα	0	46	3	1	2	δράκων ; 0.5059118270874023	ἑρπετόν ; 0.7164971828460693	προσπορεύομαι ; 0.6593484878540039	Κυρήνιος ; 0.7845778465270996
0.0963495275502117	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	ἱεροπρεπής ; 0.9443221688270569	Μάαθ ; 0.5208020210266113	στυγητός ; 0.8305368423461914	ἐνταφιάζω ; 0.46735039353370667
0.1120702773171317	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	2	1	15	1	ἀνεμίζομαι ; 0.5149101614952087	διχάζω ; 0.6231328248977661	ὅμοιος ; 0.4032217860221863	κατοίκησις ; 0.5115478038787842
0.07974341148115671	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	ἀμέριμνος	0	2	1	1	3	ἐνταφιάζω ; 0.46735039353370667	πλάσμα ; 0.5928155183792114	πλάσμα ; 0.46964994072914124	εὐφορέω ; 0.4805663526058197
0.04019668040477581	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	βρώσιμος	0	1	6	1	1	ἐπιποθία ; 0.5010364055633545	ὀστέον ; 0.4591713547706604	κρίθινος ; 0.654996395111084	τετρακισχίλιοι ; 0.5466609001159668
-0.18268613571727127	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικητήριον	0	1	2	1	1	βλέμμα ; 0.6135284900665283	ἴασις ; 0.5265145301818848	ὁροθεσία ; 0.9513257741928101	προσκαρτέρησις ; 0.5839422941207886
0.008948744011893217	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	ἐπισπείρω	0	52	1	1	6	πετρῶδες ; 0.4412952959537506	ὄμβρος ; 0.46296536922454834	ἀφυστερέω ; 0.800520658493042	κραιπάλη ; 0.5151336193084717
0.04749897120519059	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	εὐγενής	0	2	3	3	2	γνῶσις ; 0.41447317600250244	φαρμακεία ; 0.5598316192626953	εὐφορέω ; 0.4805663526058197	ἴαμα ; 0.5329410433769226
-0.07715044264536092	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ἱεροπρεπής	0	1	1	15	1	κατάστημα ; 0.9443221688270569	ἀρεσκεία ; 0.4464900493621826	ἐλεγμός ; 0.47487062215805054	μνήμη ; 0.4366886615753174
-0.11583376790683036	φθινοπωρινός	θέρος	διετία	τρίχινος	φθινοπωρινός	0	1	3	2	1	ἐκριζόω ; 0.5889997482299805	ἀφανισμός ; 0.6729066967964172	μίσθωμα ; 0.6407243013381958	θεράπων ; 0.5721389055252075
0.010874797594867314	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	βαθύς	0	2	4	1	5	κρυπτός ; 0.5121512413024902	πύθων ; 0.37519460916519165	ἀφεδρών ; 0.4837794303894043	μῶμος ; 0.437122642993927
-0.19030805103616363	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	βραβεύω	0	1	4	1	2	εὐχάριστος ; 0.4927785098552704	ἐνάλιον ; 0.6409865021705627	ὄγκος ; 0.789336621761322	ἐπιφαύσκω ; 0.49223411083221436
0.020277673027393306	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	κρυφαῖος	0	4	3	2	3	πύθων ; 0.37519460916519165	στέγω ; 0.4633345901966095	κρυπτός ; 0.5121512413024902	ὑγρός ; 0.41814491152763367
0.001178557930137547	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	4	3	1	14	βαπτισμός ; 0.46846118569374084	σκοτίζομαι ; 0.5253353118896484	ἔνδειγμα ; 0.4361066222190857	θλῖψις ; 0.4374173581600189
-0.008361094782227518	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	πρῶτον	0	11	1	1	1	φιλοτιμέομαι ; 0.4387970566749573	ἔκγονον ; 0.846382737159729	ἔα ; 0.5248109102249146	Ἀθηναῖος ; 0.7557331919670105
0.3116149940689115	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	5	135	40	1	ἐνενήκοντα ; 0.7824821472167969	τριάκοντα ; 0.4641675353050232	ξέστης ; 0.4082247018814087	φιλότεκνος ; 0.9711713790893555
-0.08401039638385066	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	ἐνδύω	0	2	1	28	17	φάτνη ; 0.5615312457084656	προηγέομαι ; 0.5054581165313721	χίλιοι ; 0.450822114944458	πειθός ; 0.37472546100616455
0.26811035404459466	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	10	11	10	1	σκοτία ; 0.4586963355541229	εὐτραπελία ; 0.4161667227745056	βιόω ; 0.4687821865081787	φιλήδονος ; 0.9232817888259888
0.2775952366228032	συνεγείρω	ζάω	ζῳογονέω	θέρος	θέρος	1	3	140	3	3	συνθάπτομαι ; 0.5628100633621216	φανερόω ; 0.39667367935180664	συμψηφίζω ; 0.4097649157047272	ἀφανισμός ; 0.6729066967964172
0.15951809151820595	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	ἀνάστασις	0	42	140	11	1	παραθήκη ; 0.3413688540458679	φανερόω ; 0.39667367935180664	φθορά ; 0.41441863775253296	δαπάνη ; 0.5997449159622192
-0.131367190088417	χλωρός	βοτάνη	βάτος	πάσχω	βάτος	0	4	1	6	42	καῦμα ; 0.4844800531864166	γεωργέω ; 0.5987740755081177	ἄρκος ; 0.4642133116722107	πρεσβεύω ; 0.39207425713539124
0.05559481998513141	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	ἀπογράφω	1	4	2	3	4	Πάταρα ; 0.6147637367248535	Κώς ; 0.8201494812965393	ἐπισφαλής ; 0.6108444929122925	παράλιος ; 0.410050630569458
0.023964842921845086	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	λαλέω	0	3	297	2	4	ἕξις ; 0.47294265031814575	ἀκούω ; 0.4542246460914612	κάκωσις ; 0.43722596764564514	Ἀλεξανδρῖνος ; 0.5606662631034851
