Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.038371588651230526	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	11	53	41	2	διαπέρθω ; 0.5690280795097351	Ὅμηρος ; 0.5692405104637146	εὐνή ; 0.5118138194084167	κόγχος ; 0.5820241570472717
-0.07708113959209295	φωτίζω	λάμπω	φέγγος	δύναμις	φέγγος	0	11	7	3	119	παίδευμα ; 0.5794702172279358	ἀναμιμνῄσκω ; 0.575064480304718	ἀχθηδών ; 0.5690006017684937	τεκνόποινος ; 0.5034161806106567
0.037240331101183854	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	30	1	6	2	καταγωγή ; 0.5449694991111755	χορεύω ; 0.5159730315208435	ἐπικάλυμμα ; 0.5691389441490173	Κροῖσμος ; 0.52986741065979
0.0626680946043236	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	1	33	65	1	πόλισμα ; 0.6028849482536316	φοβέω ; 0.5914748907089233	ἐπώχατο ; 0.5434581637382507	γάιος ; 0.5745934247970581
0.0816450472905692	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	1307	3	20	λεμά ; 0.75017911195755	πᾶς ; 0.6330711841583252	ἀνηβάω ; 0.6173962950706482	πρωτοπήμων ; 0.5780159831047058
-0.11885131648533709	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	ἄψαυστος ; 0.6050904393196106	εὐστέφανος ; 0.5639992952346802	πᾶς ; 0.6330711841583252	ἁρπαγμός ; 0.5425194501876831
0.14920148171157155	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	4	3	1	1	καταράομαι ; 0.5254292488098145	ἐθνάρχης ; 0.5113019347190857	γέντο ; 0.5281890630722046	ἐσχατιά ; 0.5259402394294739
0.02979465671357928	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	6	8	13	2	ἐπικάλυμμα ; 0.5691389441490173	Ἀσία ; 0.5629509091377258	ἀνακρίνω ; 0.5306412577629089	ἐπιβάτης ; 0.5020982027053833
0.008297578115118165	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγέλη	0	7	23	46	2	πολυανθρωπία ; 0.5455236434936523	Ἀγέλεως ; 0.6027840971946716	Μαιῶτις ; 0.5291334986686707	Φιλιππήσιος ; 0.5729165077209473
0.05069851214847315	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	συλαγωγέω	0	1	3	1	1	φιλοξενία ; 0.522544264793396	διά-κλείω2 ; 0.5394945740699768	ὅμως ; 0.5195611715316772	πάρεσις ; 0.9621362090110779
0.359704778722442	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	6	15	5	1	Πυθίη ; 0.5286910533905029	Σαπφὼ ; 0.5329129695892334	δεισήνωρ ; 0.5461024045944214	σμάραγδος ; 0.9568368792533875
-0.004599953237024668	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνή	0	1	3	20	117	ὑπεξαλύσκω ; 0.6150231957435608	Ἀρητιάδης ; 0.653879702091217	μαχαιρομαχέω ; 0.5384344458580017	κατάπλοος ; 0.5321645736694336
-0.007901375172782	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	4	1	9	2	καταράομαι ; 0.5254292488098145	γέντο ; 0.5281890630722046	διαπαρατριβή ; 0.5704684257507324	Ἁρπαησις ; 0.5902514457702637
0.04245806235786942	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	προμεριμνάω	0	1	6	2	23	Ὑψιπύλη ; 0.5552841424942017	αἰχμαλωτίζω ; 0.5415838360786438	ἐράομαι ; 0.5241671204566956	Ἐρασινίδης ; 0.5937715768814087
-0.0929106458797827	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	ἀροτριάω	0	3	1	52	1	δωτήρ ; 0.5280646681785583	εὐημερέω ; 0.5403223633766174	αὐξάνω ; 0.5445540547370911	πενταετής ; 0.5475941896438599
0.0835087688740419	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	46	3	1	2	Μαιῶτις ; 0.5291334986686707	σπόρος ; 0.5850575566291809	ἀνατολή ; 0.5688378214836121	ἐπιμίσγω ; 0.6188374161720276
-0.0074276184631077435	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	μηχανεύς ; 0.5801790952682495	συνδρομάς ; 0.6227036118507385	ἀνώδυνος ; 0.5952844619750977	Ἔφιππος ; 0.5333468317985535
0.015131787049931233	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοιόω	0	2	1	15	1	Ἀφροδίτη ; 0.5623332858085632	κρυπτός ; 0.5757246017456055	καταπειράζω ; 0.5082862973213196	πόλισμα ; 0.6028849482536316
-0.06276645053043478	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	προμεριμνάω	0	2	1	1	3	Ἔφιππος ; 0.5333468317985535	φιλοκτέανος ; 0.5389773845672607	Ὑψιπύλη ; 0.5552841424942017	κακουργία ; 0.5069424510002136
0.1455803642545323	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	1	6	1	1	φίλιος ; 0.5740289688110352	ἀποκυέω ; 0.5058026313781738	κλέω ; 0.538783609867096	ὕπανδρος ; 0.5632594227790833
0.013261096103390324	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικία	0	1	2	1	1	ἄφθεγκτος ; 0.5453301072120667	δυσφημέω ; 0.5675724148750305	ὁροθεσία ; 0.7044427394866943	ἄρτιος ; 0.5922988653182983
0.010182418610281685	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	ἀμάω	0	52	1	1	6	αὐξάνω ; 0.5445540547370911	ἐπεντείνω ; 0.5912138819694519	εὐημερέω ; 0.5403223633766174	αἰχμαλωτίζω ; 0.5415838360786438
0.014622902350051425	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	ὑπεροχή	0	2	3	3	2	λα᾽ ; 0.5636878609657288	φάλος ; 0.5246517062187195	κακουργία ; 0.5069424510002136	σύμψυχος ; 0.554053783416748
0.05946603456667293	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	1	1	15	1	καλοδιδάσκαλος ; 0.7414106130599976	Περσίς ; 0.5406365394592285	ἐκκρούω ; 0.5486341118812561	Λαμπετίη ; 0.509346604347229
-0.16187248567601262	φθινοπωρινός	θέρος	διετία	τρίχινος	διετία	0	1	3	2	1	ἐπαφρίζω ; 0.6566251516342163	αἰτιάομαι ; 0.5458641648292542	Παμφυλία ; 0.5376346707344055	ἐμπαίω ; 0.589830756187439
0.033917891652547105	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	βαθύς	0	2	4	1	5	δυσπαλής ; 0.5275759696960449	αὐγή ; 0.5060607194900513	ὀλοός ; 0.5051798820495605	πρόσκαιρος ; 0.5315425395965576
0.0061223525514684796	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	βραβεύω	0	1	4	1	2	ὅμως ; 0.5195611715316772	τίμιος ; 0.5552788972854614	Καῦνος ; 0.5974659323692322	Γαλατία ; 0.5495656728744507
-0.022092000931496047	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	κρυφαῖος	0	4	3	2	3	αὐγή ; 0.5060607194900513	διαρκής ; 0.5521054267883301	δυσπαλής ; 0.5275759696960449	ναυπηγός ; 0.5565977096557617
-0.1359280114449281	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	φέγγος	0	4	3	1	14	χρονίζω ; 0.5545799732208252	ἀχθηδών ; 0.5690006017684937	Πρόκρις ; 0.583436906337738	σύνδρομος ; 0.5813093781471252
0.039267954111021686	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	προφθάνω	0	11	1	1	1	ἔμβολος ; 0.5792336463928223	ὅπλισις ; 0.5356507897377014	νύκτερος ; 0.5595097541809082	τυρσηνός ; 0.564681887626648
0.2552851744904294	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	5	135	40	1	ἐκπλύνω ; 0.5156627297401428	διαπτοέω ; 0.528536319732666	Ἐχέφρων ; 0.5335535407066345	Κισσεύς ; 0.613969624042511
0.029933338328957004	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	ἀποκάλυψις	1	2	1	28	17	ἰχθυόεις ; 0.5607364773750305	ἐναμέλγω ; 0.5135812759399414	φυξανορία ; 0.5624814033508301	Πάνδαρος ; 0.5636916756629944
0.03684035270844277	βίος	χράομαι	ἀναστρέφω	φιλόθεος	βίος	0	10	11	10	1	διαλλακτήρ ; 0.5742663145065308	διαφορά ; 0.539196252822876	ὰν ; 0.5698680281639099	φιλήδονος ; 0.8731423616409302
0.06129062070167679	συνεγείρω	ζάω	ζῳογονέω	θέρος	θέρος	1	3	140	3	3	ταύρειος ; 0.5533963441848755	εὐνάω ; 0.505799412727356	καταμάρπτω ; 0.529817521572113	αἰτιάομαι ; 0.5458641648292542
