Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.09932497964735687	μακρός	χρόνος	πάντοτε	ψωμίζω	χρόνος	0	11	53	41	2	ἀποστολή ; 0.31257137656211853	καταλύτης ; 0.2867532968521118	Λαδόκεια ; 0.3236197829246521	-λογέω ; 0.4497557282447815
0.017629017961177496	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	11	7	3	119	πέρας ; 0.3178940415382385	συναρμολογέομαι ; 0.313274085521698	βρέχω ; 0.30351322889328003	φιλαρχέω ; 0.3023442327976227
0.05480791270440322	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	σωφρονίζω	0	30	1	6	2	χρῖσμα ; 0.32889866828918457	Ἀντιγόνην ; 0.29879721999168396	εὔπαις ; 0.29357945919036865	ἐκτινάσσω ; 0.36898091435432434
0.19692293350813592	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	1	33	65	1	διαπυνθάνομαι ; 0.32780954241752625	ὑπερχλίω ; 0.29893338680267334	ὦ ; 0.2644087076187134	ἐκπερισσῶς ; 0.42833277583122253
-0.13824580516665588	ἐλωΐ	θεός	αββα	γονεύς	αββα	0	2	1307	3	20	λεμά ; 0.633036732673645	πᾶς ; 0.5808401107788086	κελαινόχρως ; 0.3012978434562683	προμηνύω ; 0.3269159495830536
-0.14034424877530674	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	θεός	0	1	10	1307	2	μετανίστημι ; 0.3140968680381775	Βορυσθενίτης ; 0.35185205936431885	πᾶς ; 0.5808401107788086	περικάθαρμα ; 0.3020443320274353
0.006043297922738056	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	πορθέω	0	4	3	1	1	κρεανομία ; 0.3064124882221222	Ἱεροσολυμίτης ; 0.3274801969528198	Ῥαάβ ; 0.4616718888282776	κοινοβωμία ; 0.44724398851394653
0.14954897083815796	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	6	8	13	2	εὔπαις ; 0.29357945919036865	ἐπηρεάζω ; 0.3306615352630615	ἁμαρτάνω ; 0.2817792296409607	ἀναπτύσσω ; 0.3893515467643738
0.01558356634759056	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	7	23	46	2	διδυμάων ; 0.3593813478946686	σύν-ὑποζεύγνυμι ; 0.30870646238327026	Ἄναρες ; 0.3116534352302551	δημήγορος ; 0.2772458493709564
0.0780384032538945	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	ἐνέχω	0	1	3	1	1	ἱερόθυτος ; 0.5069271326065063	διαπαιδεύομαι ; 0.35674601793289185	φαρμακεία ; 0.32314133644104004	πάρεσις ; 0.8230563402175903
0.402432380265965	βάτος	χόρτος	σίναπι	χαλκηδών	χαλκηδών	1	6	15	5	1	ἀγλαώψ ; 0.3551866412162781	ἀδελφός ; 0.3368930220603943	παμπησία ; 0.3595874607563019	σάπφιρος ; 0.8331369161605835
-0.03296690148543885	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	3	20	117	μονοχίτων ; 0.4740617871284485	ὀνάριον ; 0.37788477540016174	μεθύω ; 0.3241349458694458	εἰσέρχομαι ; 0.33739787340164185
0.015383030008609078	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	συναπόλλυμαι	0	4	1	9	2	κρεανομία ; 0.3064124882221222	Ῥαάβ ; 0.4616718888282776	Ποσειδῶν ; 0.2936621308326721	Ἅννα ; 0.4166359305381775
-0.02859336687914482	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	6	2	23	συννέω2 ; 0.36613720655441284	θεοσεβής ; 0.3289487361907959	κρηπίς ; 0.3428426682949066	ἄφνω ; 0.27307742834091187
0.017615237130081784	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	3	1	52	1	ὄροφος ; 0.40522968769073486	κόπριον ; 0.33050912618637085	ἄρρητος ; 0.35884183645248413	α᾽ ; 0.2889210283756256
0.04858141316805126	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	46	3	1	2	Ἄναρες ; 0.3116534352302551	σκίμπους ; 0.4329022467136383	λέων ; 0.3048318028450012	ναύλοχος ; 0.3236236572265625
0.09774867686761929	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	ἀμέριμνος	1	1	1	2	2	ἱεροπρεπής ; 0.436368465423584	Φειδίας ; 0.3103809356689453	διατελέω ; 0.31780025362968445	ὑακίνθινος ; 0.3913387656211853
0.05675264194791124	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ἐκβαίνω	1	2	1	15	1	ἐπίρροθος ; 0.3430566191673279	διχάζω ; 0.4796532094478607	ἐξανέψιοι ; 0.3203410804271698	διαπυνθάνομαι ; 0.32780954241752625
