Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.02440444147076326	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	ἑπτακισχίλιοι ; 0.5045145153999329	ἐλαία ; 0.4232891798019409	τροποφορέω ; 0.4706418812274933	ἐρίφιον ; 0.5136324167251587	κατεργάζομαι ; 0.5478062629699707	Τυχικός ; 0.49325835704803467
0.047635872580328364	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	τρόμος	0	3	5	3	4	5	8	σητόβρωτος ; 0.5310424566268921	θαρρέω ; 0.4963322877883911	φυσικῶς ; 0.47135981917381287	περίθεσις ; 0.587296187877655	κολωνία ; 0.5157839059829712	ἀναλύω ; 0.6031684279441833
0.1794750858276389	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	χρυσόλιθος ; 0.9660440683364868	χαλκηδών ; 0.824567437171936	σάρδιον ; 0.6490760445594788	βήρυλλος ; 0.9660440683364868	σμάραγδος ; 0.9208957552909851	Βηθανία ; 0.4498760998249054
0.092652341277917	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	3	2	8	1	17	1	ἐγκρατεύομαι ; 0.5685963034629822	κρυπτός ; 0.6935502886772156	περιπείρω ; 0.4838775396347046	ἔννοια ; 0.5816295146942139	κρυφαῖος ; 0.6935502886772156	ἀνάψυξις ; 0.6276515126228333
0.021814367015760505	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	10	1	1	713	3	ἀρκετός ; 0.5216441750526428	Ὦ ; 0.48286375403404236	μετακινέω ; 0.6266658306121826	θά ; 0.8345381617546082	θεός ; 0.5481061339378357	ἐκπερισσῶς ; 0.5505925416946411
-0.02186033912426366	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	βίος	0	47	5	10	13	1	160	συμφωνέω ; 0.4847617447376251	ἐπιστέλλω ; 0.5084104537963867	γέεννα ; 0.5370268821716309	Ἰουδαϊσμός ; 0.5146386623382568	πτόησις ; 0.7026663422584534	πρεσβύτερος ; 0.4961910545825958
0.11536672046096208	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	μνηστεύομαι ; 0.4942212700843811	δακτύλιος ; 0.5861746072769165	φωσφόρος ; 0.9232257008552551	σκοτία ; 0.5468956232070923	περικεφαλαία ; 0.5299572348594666	ῥώννυμαι ; 0.5396645069122314
-0.056948529933986525	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	διαπορέω ; 0.5316902995109558	εὐτόνως ; 0.506050169467926	Νικάνωρ ; 0.597309410572052	ἀποκρίνομαι ; 0.5235157608985901	ἐπιτιμία ; 0.5654727816581726	Ὦ ; 0.48286375403404236
0.03114586306183237	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	2	1	3	1	53	297	συκομορέα ; 0.47117099165916443	φόβητρον ; 0.5074998140335083	ἀλεκτοροφωνία ; 0.5565805435180664	πάροικος ; 0.55283522605896	ἐγγύς ; 0.4727555811405182	φυλάσσω ; 0.5262047052383423
0.18145766428605942	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	γραφή ; 0.43889328837394714	ὑπομιμνῄσκω ; 0.48782724142074585	ἐγγίζω ; 0.46655112504959106	τάσσω ; 0.5322035551071167	Ἀσία ; 0.4883332848548889	ἐκνήφω ; 0.5241625308990479
