Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.004883707301505946	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	βαθύκολπος ; 0.5819270014762878	πολιτικός ; 0.5152679085731506	πορσύνω ; 0.6145196557044983	Πιλᾶτος ; 0.6098005771636963	ἀλαίνω ; 0.6124867796897888	μέλεος ; 0.5383209586143494
-0.11942051901415046	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	3	5	3	4	5	8	εὔγλωσσος ; 0.5586724281311035	φυλακτέος ; 0.5671762228012085	ὁπόσε ; 0.5565428137779236	προσχάσκω ; 0.5594044327735901	ξιφοκτόνος ; 0.5543577671051025	συνδιατρίβω ; 0.5745872855186462
0.21798721971188434	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	τοπάζιον ; 0.9583020210266113	χαλκηδών ; 0.9334955215454102	κρυσταλλίζω ; 0.5652369260787964	βήρυλλος ; 0.947237491607666	σμάραγδος ; 0.9578636288642883	ἀπερείδω ; 0.5875902771949768
0.12015012915183237	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἀφανής	0	3	2	8	1	17	1	κατακαλύπτω ; 0.5143246650695801	κρυπτός ; 0.5598427653312683	ἀκρατής ; 0.5742862224578857	βάσις ; 0.5463898181915283	κρυφαῖος ; 0.5598427653312683	Ἀγβάτανα ; 0.5793671011924744
0.04436642806060792	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	10	1	1	713	3	θεόσσυτος ; 0.5720352530479431	ὑπωπιάζω ; 0.5851545333862305	ἄψαυστος ; 0.6293462514877319	θά ; 0.9185225367546082	εὔμορφος ; 0.5416569113731384	ἄπληστος ; 0.5631412267684937
0.0005141881533934911	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	47	5	10	13	1	160	διεξέρχομαι ; 0.513274610042572	μηλοφορία ; 0.5911343097686768	πρόβατον ; 0.588045597076416	Ἀσία ; 0.4912947714328766	συγκαλύπτω ; 0.5242406129837036	τρίμηνος ; 0.5404834747314453
0.11922721659039753	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	ἐνθυμέομαι ; 0.581487238407135	σύννομος ; 0.5354043245315552	φωσφόρος ; 0.9071064591407776	ἀγάρροος ; 0.5607478618621826	κυδοιμός ; 0.5561908483505249	ἐσώτερος ; 0.538750410079956
0.06928135507487138	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	ἵημι ; 0.5162425637245178	ἅρμα ; 0.5702394843101501	κριθή ; 0.5270546674728394	εἶπον ; 0.5258025527000427	Πρωρεύς ; 0.5389977693557739	ὑπωπιάζω ; 0.5851545333862305
0.05338452998385951	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	διαγίνομαι	0	2	1	3	1	53	297	Βηθφαγή ; 0.5138388276100159	χειμέριος ; 0.5658707618713379	ἀπάτωρ ; 0.5537713170051575	παροργίζω ; 0.5926705002784729	ὅσπερ ; 0.5406732559204102	ἀποπροίημι ; 0.5691057443618774
0.19223867777866133	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	παντάπασι ; 0.5673481822013855	2 ; 0.5962527990341187	ἄν ; 0.4981231689453125	ἐντέλλομαι ; 0.5897429585456848	γένημα ; 0.5548743605613708	ἕννυμι ; 0.5535057783126831
