Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.015441573443257084	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	διασῴζω ; 0.5844244360923767	ὅτι1 ; 0.5807070136070251	καμάρα ; 0.4993671476840973	αἰθρία ; 0.5161685943603516	Ἠετίων ; 0.5350363850593567	Ἀρισταῖος ; 0.5462012887001038
0.0451699476844607	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔνδυμα	1	3	5	3	4	5	8	εἰσέλκω ; 0.523715615272522	μεγαλύνω ; 0.6302222013473511	Διονύσιος ; 0.5948804616928101	ἀναφλέγω ; 0.49889999628067017	ἠχώ ; 0.5033574104309082	κατάκειμαι ; 0.5228416323661804
0.3161642004645703	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	τοπάζιον ; 0.9333432912826538	χαλκηδών ; 0.8110169768333435	ἰπόομαι ; 0.5694708228111267	βήρυλλος ; 0.8997572660446167	σμάραγδος ; 0.8590686321258545	Γάλλος ; 0.6537905335426331
0.13651380768019916	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	3	2	8	1	17	1	συνδαίτωρ ; 0.5347822904586792	κρυπτός ; 0.6872813701629639	ἀνθίστημι ; 0.5605775117874146	Φρυγίη ; 0.5207072496414185	κρυφαῖος ; 0.6872813701629639	ὑπόσχεσις ; 0.5213896036148071
0.03372120587681443	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	10	1	1	713	3	γομφίος ; 0.5602188110351562	ἀτίζω ; 0.5436754822731018	ἐυκϝήμις ; 0.5224002003669739	θά ; 0.7131628394126892	θεός ; 0.5653777122497559	μορμολυκεῖον ; 0.5550723075866699
0.04085734296230914	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	συνοικέω	0	47	5	10	13	1	160	διαψήφισις ; 0.49434542655944824	ἐπαμύνω ; 0.5220359563827515	ἐργασία ; 0.49932143092155457	ἁπαλόχροος ; 0.5391284227371216	ἀντιπολιτεύομαι ; 0.532630205154419	ποιμανόριον ; 0.534834623336792
0.1342393491548185	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	ἐγρεκύδοιμος ; 0.6388081908226013	ἐπεντείνω ; 0.6317026019096375	φωσφόρος ; 0.8335222601890564	τιμωρός ; 0.49108749628067017	αἰδώς ; 0.5548326373100281	πελάζω ; 0.578859269618988
-0.008953054826763007	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	ἐρυσμός ; 0.5463988184928894	φιλοπόνηρος ; 0.6287392377853394	ἠλί ; 0.5694682598114014	εἶπον ; 0.5200055241584778	ὄργανον ; 0.5144991874694824	ἀτίζω ; 0.5436754822731018
0.08864508846544755	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	2	1	3	1	53	297	ἀνασπάω ; 0.6179277300834656	Λυδικός ; 0.5881985425949097	ἁψιμαχέω ; 0.6377305388450623	τινάσσω ; 0.5281490087509155	σύμπτωμα ; 0.544396698474884	Ἀσπληδών ; 0.5546537041664124
0.19415229030274556	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	μέσαβον ; 0.5025137662887573	ἄκεσμα ; 0.5759917497634888	φανάω ; 0.5869172215461731	ἀναβλέπω ; 0.5294386148452759	ἐξηγέομαι ; 0.5468631982803345	φαίδιμος ; 0.549425482749939
