Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.01761626669958838	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	ἀφίημι ; 0.6194206476211548	ἄνθρωπος ; 0.7290042638778687	λευκαίνω ; 0.6747682690620422	παρρησιάζομαι ; 0.5991510152816772	κατασκάπτω ; 0.5821079015731812	μνηστεύομαι ; 0.6727335453033447
-0.05156286107836233	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	τρέμω	0	3	5	3	4	5	8	ἀφροσύνη ; 0.6100019812583923	ταχινός ; 0.646937906742096	σπιλόω ; 0.6448498368263245	σητόβρωτος ; 0.6713804602622986	ἐμμένω ; 0.6805018186569214	ὑπαντάω ; 0.5847135186195374
0.39985792110907403	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	χρυσόλιθος ; 0.9720127582550049	χαλκηδών ; 0.963218092918396	σμαράγδινος ; 0.7522830963134766	βήρυλλος ; 0.9720127582550049	σάπφιρος ; 0.963218092918396	ἐπιβάλλω ; 0.5712985992431641
-0.014935070005352269	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	βάθος	0	3	2	8	1	17	1	ἐκπτύω ; 0.6218663454055786	κρυπτός ; 0.6804764270782471	πειθός ; 0.607295572757721	ἔνδυσις ; 0.6823551654815674	ἐπίβλημα ; 0.6816539168357849	οἰκοδεσπότης ; 0.5532999038696289
0.10992349459161632	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	10	1	1	713	3	πεντακισχίλιοι ; 0.7120403051376343	Φορτουνᾶτος ; 0.5887303352355957	χειμάζομαι ; 0.60619056224823	θά ; 0.9603166580200195	Ῥόδη ; 0.6217699646949768	ἀποσπάω ; 0.6415941715240479
0.04024059113758882	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	προσφέρω	0	47	5	10	13	1	160	ἐκβάλλω ; 0.6873489618301392	ἐξαγοράζω ; 0.6150516867637634	ἱερός ; 0.6543397903442383	Ἰουδαϊσμός ; 0.6780723333358765	πτόησις ; 0.90397047996521	εὐαγγέλιον ; 0.6608312129974365
0.19855998076885678	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	ῥύμη ; 0.6380872130393982	προσρήγνυμι ; 0.6977845430374146	φωσφόρος ; 0.9417736530303955	κρυφῇ ; 0.6800287365913391	ἑτοιμασία ; 0.7221084237098694	χρονοτριβέω ; 0.7513237595558167
0.012149445369534329	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	δημηγορέω ; 0.7290642261505127	ἀρέσκω ; 0.6151657700538635	σίκερα ; 0.6755445599555969	προσέρχομαι ; 0.5433639287948608	ἱκανός ; 0.7463964223861694	Φορτουνᾶτος ; 0.5887303352355957
0.0021560374551115036	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	διαγίνομαι	0	2	1	3	1	53	297	πῶλος ; 0.6613609790802002	χοϊκός ; 0.6833015084266663	σύν ; 0.6147493720054626	ἐπιθυμητής ; 0.634442925453186	πρόσωπον ; 0.6762455701828003	εἰσπορεύομαι ; 0.6626972556114197
0.020057275636119254	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	Χαλδαῖος ; 0.5941145420074463	διαλύω ; 0.6042948961257935	τάραχος ; 0.595758318901062	κατανοέω ; 0.6344589591026306	συμβιβάζω ; 0.6650416851043701	τέσσαρες ; 0.5684791207313538
-0.07356226590271586	θορυβάζω	καταπονέω	προσδοκάω	προμεριμνάω	ἀνασκευάζω	δέκα	καταπονέω	0	1	2	16	1	1	25	καλῶς ; 0.6546694040298462	ἀμύνομαι ; 0.735924482345581	Θεσσαλονίκη ; 0.6962062120437622	ἐκτός ; 0.6458279490470886	μαγεύω ; 0.5694422721862793	Βαλάκ ; 0.5593442916870117
0.029484315570598274	παραχειμασία	θέρος	ἐνιαυτός	χειμών	διετία	βάτος	διετία	0	1	3	14	6	2	6	πατήρ ; 0.629235029220581	ἐκφύω ; 0.7063707709312439	ἔχθρα ; 0.6537530422210693	ἐγκαίνια ; 0.677317202091217	διάδοχος ; 0.9059417843818665	περιοχή ; 0.6460426449775696
0.0441590424890535	ἀπολύω	μεταίρω	ἐκπορεύομαι	ἄφιξις	ἐκχωρέω	βιβρώσκω	ἀπολύω	0	65	2	33	1	1	1	ἀετός ; 0.6421298980712891	καρποφορέω ; 0.6340582966804504	εἰσπορεύομαι ; 0.7161176204681396	κοίτη ; 0.6428790092468262	διωγμός ; 0.5951657295227051	νοέω ; 0.633884072303772
-0.06893024980110996	συνωδίνω	πάσχω	παθητός	συγκακοπαθέω	προπάσχω	ἐπιλύω	συνωδίνω	0	1	42	1	2	1	2	συστενάζω ; 0.9774062633514404	συγγνώμη ; 0.6495189666748047	διεγείρω ; 0.6088858842849731	αὐθάδης ; 0.6363517642021179	ὑπηρετέω ; 0.6273018717765808	φιλοσοφία ; 0.5834105014801025
-0.10978208871803957	περιβάλλω	ἱματίζω	ἐνδιδύσκω	περίθεσις	ἐπενδύομαι	ἡγεμών	ἱματίζω	0	23	2	2	1	2	20	μηρός ; 0.6826394200325012	προσπίπτω ; 0.5676224827766418	βύσσος ; 0.7598179578781128	ἔνδυσις ; 0.9288601279258728	ἐπιβαρέω ; 0.6387543678283691	παρρησιάζομαι ; 0.5991510152816772
0.04002373234510903	πάντοτε	ἑκάστοτε	παροίχομαι	διαγίνομαι	μακρός	ἐπίσημος	παροίχομαι	0	41	1	1	3	11	2	καλοποιέω ; 0.6269968152046204	μνήμη ; 0.8495388031005859	χοϊκός ; 0.6833015084266663	σύν ; 0.6147493720054626	πάσχα ; 0.5787475109100342	Ἀμπλιᾶτος ; 0.8419959545135498
-0.04976795185507926	ξενία	ἀνάγαιον	κορβανᾶς	ταμεῖον	ὑπερῷον	ἀγγεῖον	ταμεῖον	0	2	2	1	4	4	1	ἔσωθεν ; 0.6800076961517334	τόπος ; 0.6721101999282837	δύο ; 0.6121183037757874	δοχή ; 0.6607428789138794	ἀναγγέλλω ; 0.6562249660491943	καταδέω ; 0.6504643559455872
0.06802169998017843	παράπτωμα	πταίω	προαμαρτάνω	ἁμάρτημα	ῥᾳδιούργημα	συνέχω	ἁμάρτημα	0	19	5	2	5	1	12	κλίβανος ; 0.6554815173149109	ἐνδεής ; 0.6771621704101562	θέλω ; 0.6755531430244446	Κορβᾶν ; 0.5612985491752625	ἐξαίρω ; 0.644200325012207	πικραίνω ; 0.618052065372467
0.0891942004078069	δυσεντέριον	πυρέσσω	λέπρα	ἄρρωστος	κάμνω	συμβαίνω	συμβαίνω	1	1	2	4	5	2	8	νήφω ; 0.6446139216423035	Σίμων ; 0.6458936929702759	ἐπιχέω ; 0.6157509088516235	κυβέρνησις ; 0.675846517086029	ἐσχάτως ; 0.6489591002464294	συλλαμβάνω ; 0.5885574221611023
-0.05891874672157693	ἔπαυλις	σκηνή	πανδοχεῖον	κατάλυμα	σκήνωμα	πρίν	κατάλυμα	0	1	20	1	3	3	13	χιλιάς ; 0.6019063591957092	ἀπειλή ; 0.5976907014846802	δάκτυλος ; 0.697584867477417	Ζαχαρίας ; 0.6318299770355225	Σολομῶν ; 0.6146894097328186	ὧδε ; 0.5856879353523254
