Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.00038276566353151464	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	βαθύκολπος ; 0.60273277759552	σφενδονήτης ; 0.5312172174453735	πορσύνω ; 0.5804378986358643	ὄχημα ; 0.541723906993866	ῥῖγος ; 0.552510678768158	ἀντίμισθος ; 0.5210360288619995
-0.0973514987059399	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	3	5	3	4	5	8	ἄναυδος ; 0.5753808617591858	φυλακτέος ; 0.6098179817199707	αἴτιος ; 0.5547926425933838	προσχάσκω ; 0.5500586628913879	ξιφοκτόνος ; 0.5784599781036377	εἰδωλεῖον ; 0.5354735255241394
0.24389849914590989	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	τοπάζιον ; 0.9570873379707336	χαλκηδών ; 0.9381521940231323	κρυσταλλίζω ; 0.569820761680603	βήρυλλος ; 0.949118435382843	σμάραγδος ; 0.9538255333900452	ἀπερείδω ; 0.5913983583450317
0.08262547358093203	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἀφανής	0	3	2	8	1	17	1	κατακαλύπτω ; 0.5420147180557251	σκυθρωπός ; 0.5301244258880615	ἀκρατής ; 0.5996630787849426	βάσις ; 0.5351707339286804	κολασμός ; 0.6188424825668335	Τεῦκρος ; 0.5852718949317932
-0.031799324563650644	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	παντοκράτωρ	0	2	10	1	1	713	3	θεόσσυτος ; 0.5804733633995056	ὑπωπιάζω ; 0.5760471224784851	ἄψαυστος ; 0.5654464364051819	θά ; 0.9280027747154236	ξυμφορά ; 0.5614508986473083	σώφρων ; 0.5712444186210632
0.0028387762690385565	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἔθνος	1	47	5	10	13	1	160	ἀπό-δηλόω ; 0.489200234413147	πρωιζός ; 0.5563074350357056	πάλος ; 0.546281099319458	ἀκατάλυτος ; 0.5165116786956787	Ἀνδροκλῆς ; 0.5047005414962769	Μήθυμνα ; 0.4920578598976135
0.1192534660614879	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	ἐνθυμέομαι ; 0.5266859531402588	ἀποδημίη ; 0.5452240705490112	φωσφόρος ; 0.9035941958427429	ἀγάρροος ; 0.5476646423339844	κυδοιμός ; 0.5898169875144958	κατεῖπον ; 0.5244091749191284
0.020561445894656527	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	θέα ; 0.5641626119613647	κύπρος ; 0.5946658253669739	λακτίζω ; 0.5267510414123535	Ὑπερησίη ; 0.5113615393638611	τέκος ; 0.5223610997200012	ὑπωπιάζω ; 0.5760471224784851
0.008402083788816184	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	διαγίνομαι	0	2	1	3	1	53	297	ἀδέω ; 0.5156272649765015	ἐμβασιλεύω ; 0.5358321070671082	Λασαία ; 0.5670369267463684	παροργίζω ; 0.623650312423706	ὅσπερ ; 0.4981219172477722	Ἅλιος ; 0.514070987701416
0.1267446628118345	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	παντάπασι ; 0.5428586006164551	προσρέω ; 0.5857241749763489	καταμαρτυρέω ; 0.49136385321617126	οἶδα ; 0.551734983921051	ἰλύς ; 0.6032500267028809	ἀοιδός ; 0.5770326852798462
