Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
-0.036104065284158715	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	ὑπερίσταμαι ; 0.5103757381439209	ὄλυρα ; 0.4332627058029175	Μαθθίας ; 0.3947848677635193	καταχράομαι ; 0.482906699180603	καλλιβόας ; 0.441812664270401	τῖμος ; 0.4437289834022522
-0.0122892106831336	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	3	5	3	4	5	8	Θεόκλεια ; 0.4531315565109253	χαριτόω ; 0.4657134711742401	λυσιτελεῖ ; 0.4558524191379547	ἀποτινάσσω ; 0.4558812379837036	ὕπερθεν ; 0.43124425411224365	Ἀνδρόνικος ; 0.4730333685874939
0.2652928882837251	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	τοπάζιον ; 0.9280416369438171	χαλκηδών ; 0.7801133394241333	μύλινος ; 0.5083010792732239	βήρυλλος ; 0.9082377552986145	σμάραγδος ; 0.8633440136909485	Γάλλος ; 0.571235179901123
0.1394404438598384	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	3	2	8	1	17	1	τρίπορνος ; 0.4545227289199829	κρυπτός ; 0.5037627220153809	εὐπορέω ; 0.3934290409088135	ἀριθμέω ; 0.4435987174510956	κρυφαῖος ; 0.5037627220153809	στοναχή ; 0.46505099534988403
-0.01103115260907267	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κύριος	0	2	10	1	1	713	3	βοωτέω ; 0.40595149993896484	πρόσωθεν ; 0.41397565603256226	τάλας ; 0.4545234441757202	θά ; 0.7415848970413208	Παῦλος ; 0.4303766191005707	ἔνος ; 0.5088948011398315
-0.06800735278934594	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	συνοικέω	0	47	5	10	13	1	160	ἄλυπον ; 0.4259459972381592	συγγενεύς ; 0.4226909875869751	καταφονεύω ; 0.4502106308937073	ὀπώρα ; 0.44395124912261963	ἠιών ; 0.45139890909194946	γαῖσος ; 0.4112612009048462
-0.002976586172885376	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	φέγγος	0	7	3	1	72	4	1	Τίγρας ; 0.4744642376899719	κύων ; 0.4663185477256775	φωσφόρος ; 0.8318195343017578	σκοτία ; 0.4569495916366577	συνδιαιτάω ; 0.5449795722961426	νεοχάρακτος ; 0.49035555124282837
-0.01157145441245544	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	ἀμβλύς ; 0.4624835252761841	φιλοπόνηρος ; 0.48764175176620483	Ἄλβα ; 0.453731894493103	οὔκουν ; 0.4287577271461487	θεομάχος ; 0.48403358459472656	πρόσωθεν ; 0.41397565603256226
0.0011381861201419374	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	παροίχομαι	0	2	1	3	1	53	297	πυλών ; 0.45243823528289795	κατακρίνω ; 0.4346952438354492	ἐνδιδύσκω ; 0.44023260474205017	σύνορθρος ; 0.488395094871521	ἐπιλάμπω ; 0.4612427353858948	πρό-διαλαμβάνω ; 0.42299824953079224
0.11108421049147607	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	Ἐλατρεύς ; 0.4391893148422241	ἀναγγέλλω ; 0.4432825744152069	φημί ; 0.426861435174942	κολάζω ; 0.41765096783638	ἐξηγέομαι ; 0.4432825744152069	Περσονόμος ; 0.4417227506637573
