Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.038711800938041774	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	Διοτρέφης ; 0.5527646541595459	προσέρχομαι ; 0.4004265069961548	κατεξουσιάζω ; 0.733925461769104	Ναζωραῖος ; 0.3821910619735718	ἐπινεύω ; 0.3576844334602356	μνηστεύομαι ; 0.43765988945961
-0.0053584763460627904	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	3	5	3	4	5	8	εἰσπηδάω ; 0.7165380716323853	ἀπουσία ; 0.5420573949813843	μιασμός ; 0.4322360157966614	ἔνδυσις ; 0.4290183484554291	ἀποψύχω ; 0.40650928020477295	δερμάτινος ; 0.4928600788116455
0.042425794988993404	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	χρυσόλιθος ; 0.9923000931739807	χαλκηδών ; 0.9567758440971375	σάπφιρος ; 0.7441874742507935	βήρυλλος ; 0.9923000931739807	σμάραγδος ; 0.9713755249977112	κυκλεύω ; 0.42191600799560547
0.03850918711027562	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	βάθος	0	3	2	8	1	17	1	μόδιος ; 0.4489988088607788	κρυπτός ; 0.5460676550865173	ἐξανατέλλω ; 0.5088322758674622	τραχηλίζομαι ; 0.9041432738304138	κρυφαῖος ; 0.5460676550865173	προσάββατον ; 0.41509875655174255
-0.0479521289867928	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	κύριος	0	2	10	1	1	713	3	φανέρωσις ; 0.4296981692314148	σφραγίς ; 0.4241654872894287	γενεαλογέομαι ; 0.5849628448486328	θά ; 0.9953284859657288	σύ ; 0.5550377368927002	ἀνόητος ; 0.41486337780952454
-0.06660668005654846	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	47	5	10	13	1	160	χάρισμα ; 0.39657580852508545	τετράγωνος ; 0.4394500255584717	προσαναλίσκω ; 0.43059879541397095	Ἰεζάβελ ; 0.436202734708786	γυναικεῖος ; 0.793481171131134	περιούσιος ; 0.4110008478164673
0.13332294864485716	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	φέγγος	0	7	3	1	72	4	1	ἀστράπτω ; 0.5167709589004517	σκοτίζομαι ; 0.5938183069229126	φωσφόρος ; 0.9885398745536804	σκοτία ; 0.41863876581192017	ἐνάλιον ; 0.46874597668647766	χρονοτριβέω ; 0.907520055770874
-0.004875768942048775	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	παντοκράτωρ	1	4	3	1	2335	2	10	συντυγχάνω ; 0.4477003812789917	ἐνωτίζομαι ; 0.4376481771469116	χρυσόω ; 0.4555152952671051	εἰμί ; 0.6683013439178467	ἐνεδρεύω ; 0.48403245210647583	σφραγίς ; 0.4241654872894287
-0.05949137362071516	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	2	1	3	1	53	297	σύμφωνος ; 0.7599571943283081	Νεφθαλίμ ; 0.5159900188446045	ἐπισφαλής ; 0.5437403917312622	ἐκτενέστερον ; 0.5918927788734436	συντόμως ; 0.36977919936180115	κἀγώ ; 0.4280354976654053
0.1346494104771546	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	φράζω ; 0.43428468704223633	αὔξησις ; 0.4073503911495209	διηγέομαι ; 0.3770267963409424	πρόσλημψις ; 0.39181703329086304	ῥῆμα ; 0.37911105155944824	ἐγκρατής ; 0.3966699242591858
