Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.08212138382066309	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	ἄρχω	0	4	87	4	20	7	8	χειροτονέω ; 0.5295284986495972	ἰδού ; 0.4620969295501709	κατεξουσιάζω ; 0.5973078012466431	ἐνέδρα ; 0.49436113238334656	ἐπιθυμητής ; 0.4862508773803711	Ἐμμαοῦς ; 0.5544211864471436
-0.0096829232622479	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	3	5	3	4	5	8	εἰσπηδάω ; 0.7184680700302124	ἀπουσία ; 0.5972815155982971	φυσικῶς ; 0.5527437329292297	περίθεσις ; 0.5980613231658936	ὑπέχω ; 0.47227829694747925	ἕξις ; 0.5288513898849487
0.33322290206880056	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	χρυσόλιθος ; 0.9757696986198425	χαλκηδών ; 0.8924673795700073	σάρδιον ; 0.7094312906265259	βήρυλλος ; 0.9757696986198425	σμάραγδος ; 0.9389040470123291	Χαλδαῖος ; 0.5238731503486633
0.026154832031379194	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	βάθος	0	3	2	8	1	17	1	σκεῦος ; 0.5184592604637146	κρυπτός ; 0.5719395279884338	ἐξανατέλλω ; 0.6271342635154724	τραχηλίζομαι ; 0.6828099489212036	κρυφαῖος ; 0.5719395279884338	Μίλητος ; 0.530150294303894
-0.059816212556773996	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	10	1	1	713	3	διαπονέομαι ; 0.6016302108764648	ἐπιφανής ; 0.5467883348464966	μετακινέω ; 0.5279697775840759	θά ; 0.9791796207427979	θεός ; 0.7307287454605103	ἐκπερισσῶς ; 0.49518105387687683
-0.051336240285096424	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	συνοικέω	0	47	5	10	13	1	160	ἀναφέρω ; 0.45768728852272034	ἑδραίωμα ; 0.4932161867618561	διάγω ; 0.5095558166503906	ἐπεγείρω ; 0.46954503655433655	γυναικεῖος ; 0.7086953520774841	Χριστός ; 0.48489436507225037
0.006044472211343133	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	φέγγος	0	7	3	1	72	4	1	τραχηλίζομαι ; 0.5496953725814819	τόξον ; 0.6041189432144165	φωσφόρος ; 0.9777020215988159	σκοτία ; 0.6096058487892151	ἄθλησις ; 0.49386101961135864	χρονοτριβέω ; 0.544558048248291
-0.000638396096324434	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	παρεισδύω ; 0.5828279256820679	ἁρμόζομαι ; 0.488106906414032	Κλωπᾶς ; 0.5665343999862671	ἀποκρίνομαι ; 0.6308865547180176	θεομάχος ; 0.5005471110343933	ἐπιφανής ; 0.5467883348464966
0.006715147830593016	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	2	1	3	1	53	297	μήγε ; 0.5599189400672913	πάθος ; 0.5429497361183167	ἐπιφώσκω ; 0.582036554813385	ἔξυπνος ; 0.5870416760444641	ἡμέρα ; 0.4851716458797455	ἀκούω ; 0.49854031205177307
0.17529247510851947	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐρεύγομαι	0	1	6	45	8	14	6	φράζω ; 0.7342566847801208	οὐράνιος ; 0.4810592830181122	ταχύ ; 0.5089045166969299	ἀλλογενής ; 0.5203174352645874	φόβος ; 0.46885520219802856	ἐλευθερία ; 0.5167379379272461
