Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.08156038099253277	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	4	87	4	20	7	8	βαθύκολπος ; 0.5852336883544922	ἐπιπορεύομαι ; 0.5420480966567993	πορσύνω ; 0.6199933290481567	περιχέω ; 0.5467590093612671	προαιτιάομαι ; 0.5441563725471497	γαλακτουργός ; 0.5840071439743042
-0.060290354130773494	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔντρομος	0	3	5	3	4	5	8	προυπογράφω ; 0.5365975499153137	στοιχέω ; 0.5440545082092285	ἐναντίος ; 0.5674510598182678	ἐκκορυφόω ; 0.558720052242279	ξιφοκτόνος ; 0.5994937419891357	συνδιατρίβω ; 0.5589956045150757
0.30128572568721085	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	τοπάζιον ; 0.9643983244895935	χαλκηδών ; 0.9499646425247192	ἐνδώμησις ; 0.5919210910797119	βήρυλλος ; 0.9592176079750061	σμάραγδος ; 0.9568368792533875	ἀπερείδω ; 0.5871241092681885
0.1312303738700879	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἀφανής	0	3	2	8	1	17	1	διαρκής ; 0.5521054267883301	δυσπαλής ; 0.5275759696960449	σκυθρωπός ; 0.6138700246810913	βάσις ; 0.5289822816848755	ὁμοίωσις ; 0.5757246017456055	πόλισμα ; 0.6028849482536316
-0.02276140940840926	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	παντοκράτωρ	0	2	10	1	1	713	3	στυφελίζω ; 0.5406528115272522	εὐστέφανος ; 0.5639992952346802	ἄψαυστος ; 0.6050904393196106	θά ; 0.951519250869751	θεός ; 0.5712266564369202	Βάκτρος ; 0.5084164142608643
-0.014595223874249219	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	ἀναστροφή	0	47	5	10	13	1	160	κατακρατέω ; 0.5592770576477051	τρόμος ; 0.5440545082092285	διαλλακτήρ ; 0.5742663145065308	φύσις ; 0.5386795997619629	ξένος2 ; 0.5244671106338501	ἐπιφάνεια ; 0.5262181162834167
0.04775554013327754	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	ἀναμιμνῄσκω ; 0.575064480304718	ἀχθηδών ; 0.5690006017684937	φωσφόρος ; 0.9398413896560669	ἀγάρροος ; 0.5587148666381836	χρονίζω ; 0.5545799732208252	σέλινον ; 0.5486286282539368
0.018419088536995254	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	προσλαλέω	0	4	3	1	2335	2	10	χραω ; 0.6078318357467651	ἀμφίδυμος ; 0.588076651096344	καταβρίθω ; 0.5401884317398071	ὁράω ; 0.6433326601982117	ἀντιποιέω ; 0.5529143810272217	εὐστέφανος ; 0.5639992952346802
0.004671138078976178	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	2	1	3	1	53	297	ἠλάσκω ; 0.5154600143432617	ὀκρυόεις ; 0.5660496354103088	Λασαία ; 0.590644896030426	παροργίζω ; 0.6121076941490173	Ὅμηρος ; 0.5692405104637146	διαφυλάσσω ; 0.5056180357933044
0.1897995492774826	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ὁμοίωμα	1	1	6	45	8	14	6	κοινόω ; 0.5923608541488647	ἀπό-ἐχθέω ; 0.5545699596405029	ἀντί-περισπάω ; 0.5571022629737854	ἐντέλλομαι ; 0.5220755934715271	ἰλύς ; 0.6235311031341553	ἄφενος ; 0.5365347862243652
