Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5
0.07469390567239159	ἐξουσιάζω	ἄρχω	κατακυριεύω	ἡγεμών	κυριεύω	μεθερμηνεύω	μεθερμηνεύω	1	4	87	4	20	7	8	διασῴζω ; 0.5854586958885193	μῆλον ; 0.5147038698196411	σαρκικός ; 0.5386289954185486	σύνεδρος ; 0.5776618719100952	ἐξαποφθείρω ; 0.5316083431243896	Ὠκεανίνη ; 0.5381008386611938
0.07979856655174172	ἔντρομος	τρόμος	τρέμω	ἐκτινάσσω	σείω	ἔνδυμα	ἔνδυμα	1	3	5	3	4	5	8	ἐξάπινα ; 0.5192679762840271	μεγαλύνω ; 0.5265119075775146	εἰσπαίω ; 0.5905132293701172	κελαινόβρωτος ; 0.5713061690330505	ἠχώ ; 0.5564505457878113	πρίων ; 0.5215724110603333
0.35248979442926154	βήρυλλος	σάπφιρος	ἴασπις	χρυσόλιθος	χαλκηδών	ἔγερσις	ἔγερσις	1	1	1	4	1	1	1	τοπάζιον ; 0.9193355441093445	χαλκηδών ; 0.8082574009895325	ὕαλος ; 0.6069619059562683	βήρυλλος ; 0.9053574800491333	σμάραγδος ; 0.8277761340141296	Γάλλος ; 0.6128953099250793
0.1332762958440371	ἀπόκρυφος	κρυφαῖος	βάθος	ἀφανής	κρυπτός	ἐκβαίνω	ἐκβαίνω	1	3	2	8	1	17	1	Ἀνάρος ; 0.5148375034332275	παρειά ; 0.5577300190925598	διάνυσμα ; 0.5840948224067688	σκεῦος ; 0.5391488075256348	ἁπλόος ; 0.5867896676063538	σκεπάω ; 0.6119349598884583
0.009633659901755132	κυριακός	παντοκράτωρ	ἄθεος	μαράνα	κύριος	βραδύς	βραδύς	1	2	10	1	1	713	3	γομφίος ; 0.5187867283821106	ἁψίς ; 0.5610854029655457	μηνιταῖος ; 0.6182240843772888	θά ; 0.8058677911758423	θεός ; 0.5913374423980713	Αἰθαιεύς ; 0.5318592190742493
0.034716278645863186	προσφέρω	στοιχέω	βίος	ἀναστροφή	συνοικέω	ἔθνος	συνοικέω	0	47	5	10	13	1	160	διδασκαλικός ; 0.504625141620636	ἐξισόω ; 0.5219454765319824	Δρῆσον ; 0.5342031717300415	μάθος ; 0.5453224778175354	δευτερεῖα ; 0.5572303533554077	Σπεύσιππος ; 0.5134212374687195
0.1255154831083251	λάμπω	φέγγος	διαυγάζω	φῶς	ἐπιφαίνω	παραπλέω	παραπλέω	1	7	3	1	72	4	1	ἐγρεκύδοιμος ; 0.5956475734710693	μάσσων ; 0.5659202337265015	φωσφόρος ; 0.8554844260215759	πράγμα ; 0.49191224575042725	μελέτη ; 0.5321336984634399	Μακάρευς ; 0.5496289730072021
-0.019994492353859306	ἐπιφωνέω	ἀποφθέγγομαι	ἀναφωνέω	λέγω	προσλαλέω	παντοκράτωρ	λέγω	0	4	3	1	2335	2	10	χραω ; 0.5538915991783142	φιλοπόνηρος ; 0.6260319352149963	ἠλί ; 0.6103176474571228	ὁράω ; 0.6219844222068787	πτερωτός ; 0.5502846837043762	ἁψίς ; 0.5610854029655457
0.06080635110692528	σχολάζω	παροίχομαι	διαγίνομαι	μακροχρόνιος	χρόνος	λαλέω	λαλέω	1	2	1	3	1	53	297	̔Ιέρων ; 0.529877245426178	μνάομαι ; 0.5023329257965088	ἁψιμαχέω ; 0.6008626818656921	νεηκονής ; 0.5772732496261597	ἔτος ; 0.5627685189247131	εὐαγγελίζω ; 0.5612126588821411
0.20086427390896217	ἐρεύγομαι	ἐξηγέομαι	ἀπαγγέλλω	διηγέομαι	ἀναγγέλλω	ὁμοίωμα	ἐρεύγομαι	0	1	6	45	8	14	6	τρίμηνον ; 0.5586061477661133	ἀναγγέλλω ; 0.557314395904541	φανάω ; 0.5385144352912903	ἀναβλέπω ; 0.5266101360321045	ἐξηγέομαι ; 0.557314395904541	παιδεράστρια ; 0.5232226848602295
