Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.03624434490343034	μακρός	χρόνος	πάντοτε	ψωμίζω	None	0	11	53	41	2	πρόφασις ; 0.414328400723	βιόω ; 0.292809815086	μνεία ; 0.617917202279	ἄνθραξ ; 0.429870625666
0.11256462285819102	φωτίζω	λάμπω	φέγγος	δύναμις	None	0	11	7	3	119	φῶς ; 0.367992080013	φωτισμός ; 0.512186307317	σελήνη ; 0.548972618865	ἐν ; 0.538047446062
-0.17985452108409666	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	None	0	30	1	6	2	διδάσκω ; 0.374430170355	καλοδιδάσκαλος ; 0.838892792033	ὀλιγωρέω ; 0.506849588668	πίμπρημι ; 0.343679919289
-0.08649225396795224	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	None	0	1	33	65	1	ἀνακάμπτω ; 0.339877640831	κοινόω ; 0.550486619486	βαραββᾶς ; 0.566086058842	εὕα ; 0.38316090065
-0.004752101813389753	ἐλωΐ	θεός	αββα	γονεύς	None	0	2	1307	3	20	λεμά ; 0.782131387268	χάρις ; 0.635669892631	ἅγιος ; 0.470498083002	τέκνον ; 0.536893016068
-0.01930723530268516	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	None	0	1	10	1307	2	ἀπαλλοτριόομαι ; 0.412822737487	θεός ; 0.390036234532	χάρις ; 0.635669892631	τιμάω ; 0.482336806357
-0.007761266173598014	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	None	0	4	3	1	1	τίνω ; 0.405987349555	ἰουδαϊσμός ; 0.411203777702	κατάσκοπος ; 0.616793782644	ἀναβιβάζω ; 0.489660804776
0.04378197648889329	παιδεία	κατηχέω	παιδεύω	φανέρωσις	None	0	6	8	13	2	ὀλιγωρέω ; 0.506849588668	θεόφιλος ; 0.431206422485	ὀλιγωρέω ; 0.298205054443	ἀπεῖπον ; 0.485656421425
-0.22082289495417656	ἀγέλη	ζῷον	θηρίον	ἀγγελία	None	0	7	23	46	2	κρημνός ; 0.64693527132	τέσσαρες ; 0.675301527935	χάραγμα ; 0.692468983809	ἀγαπάω ; 0.463803254611
0.22535215704518663	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	None	0	1	3	1	1	φιλοσοφία ; 0.651307083656	ἀποστοματίζω ; 0.551662660357	σύνδεσμος ; 0.406237685073	πάρεσις ; 0.821076955213
0.26893420708087257	βάτος	χόρτος	σίναπι	χαλκηδών	None	0	6	15	5	1	σταφυλή ; 0.372539269421	ἄνθος ; 0.732400031396	ὀλιγοπιστία ; 0.472802375411	σάπφιρος ; 0.79063768422
0.011924730832254427	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	None	0	1	3	20	117	ὁμότεχνος ; 0.473025747095	ἀπόθεσις ; 0.562561021891	εἷς ; 0.299471968875	μαθητής ; 0.487597866592
0.06983870911450285	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	None	0	4	1	9	2	τίνω ; 0.405987349555	κατάσκοπος ; 0.616793782644	σπείρω ; 0.444929276919	ἅννα ; 0.699613657858
0.03810211356479032	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	None	0	1	6	2	23	κωμόπολις ; 0.335757801312	συμπνίγω ; 0.492427053542	λώτ ; 0.469513885049	ῥόδος ; 0.416557391154
-0.07060704096908127	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	None	0	3	1	52	1	ἀλοάω ; 0.484561798248	ἀφυστερέω ; 0.586876013943	θερίζω ; 0.839324822552	εἰρηνοποιέω ; 0.579707484204
0.24564434237164595	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	None	0	46	3	1	2	χάραγμα ; 0.692468983809	ἑρπετόν ; 0.50417220932	ποτήριον ; 0.433661844978	ἀπογραφή ; 0.610043158844
-0.11812126242394277	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	None	0	1	1	2	2	ἱεροπρεπής ; 0.790934185018	ἔκδηλος ; 0.325416312931	στυγητός ; 0.640729539345	ἄγαμος ; 0.379001434373
-0.12143666835670794	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	None	0	2	1	15	1	ἀνεμίζομαι ; 0.605347754867	ἐπικατάρατος ; 0.400532060229	ὅμοιος ; 0.420814642759	ἀνακάμπτω ; 0.339877640831
-0.014034987602866839	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	None	0	2	1	1	3	ἄγαμος ; 0.379001434373	ἀμφιάζω ; 0.43420779912	κωμόπολις ; 0.335757801312	σοφός ; 0.30595256313
0.0695063048379383	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	None	0	1	6	1	1	ὀπτός ; 0.619359556694	ἐγώ ; 0.414811303603	κρίθινος ; 0.525983732355	ἀδάμ ; 0.484919270576
-0.007050228769448386	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	None	0	1	2	1	1	βλέμμα ; 0.642774097839	ὄρνεον ; 0.461266292688	ὁροθεσία ; 0.720315278298	διερωτάω ; 0.442936902383
-0.1614913092628612	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	None	0	52	1	1	6	θερίζω ; 0.839324822552	βλαστάνω ; 0.441020567018	ἀφυστερέω ; 0.586876013943	συμπνίγω ; 0.492427053542
0.16012815048384538	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	None	0	2	3	3	2	ἤρεμος ; 0.609917627297	γενέσια ; 0.368507556812	σοφός ; 0.30595256313	ἐνέργημα ; 0.58668847224
-0.20441798941730982	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	None	0	1	1	15	1	κατάστημα ; 0.790934185018	πλέγμα ; 0.607271365636	πορισμός ; 0.537236063879	λαοδικεύς ; 0.407156228684
-0.19747993130029312	φθινοπωρινός	θέρος	διετία	τρίχινος	None	0	1	3	2	1	παραφέρω ; 0.63460809742	ἐκφύω ; 0.675421664149	διάδοχος ; 0.651852303964	μέλας ; 0.433635233359
-0.15510026702468283	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	None	0	2	4	1	5	ἀφανίζω ; 0.385549081831	εὔτυχος ; 0.592063153777	μόδιος ; 0.540034014999	οὐαί ; 0.371629316416
-0.11858494700841243	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	None	0	1	4	1	2	σύνδεσμος ; 0.406237685073	ἐνάλιον ; 0.863344906389	ὄγκος ; 0.652814095306	παράπτωμα ; 0.493480164061
-0.042178110216148645	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	None	0	4	3	2	0	εὔτυχος ; 0.592063153777	φανερός ; 0.504996688517	ἀφανίζω ; 0.385549081831	ἀλλοτριεπίσκοπος ; 0.499171244376
0.055331195408619804	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	None	0	4	3	1	14	ἄστρον ; 0.37678519004	σελήνη ; 0.548972618865	ἐξώτερος ; 0.684469762389	χοϊκός ; 0.639101194382
0.0784201079968847	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	None	0	11	1	1	1	ὑπερπλεονάζω ; 0.312459060278	ἔκγονον ; 0.809237368262	δίδραχμον ; 0.62824678469	ἀθηναῖος ; 0.579603603502
0.3370678212349111	ἐννέα	δύο	τέσσαρες	φίλανδρος	None	0	5	135	40	1	ἐνενήκοντα ; 0.435086330634	εἷς ; 0.692072835274	θρόνος ; 0.732552372268	φιλότεκνος ; 0.818873427991
-0.1654419538413749	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	None	0	2	1	28	17	φάτνη ; 0.425458163598	κραταιός ; 0.595776006507	θνητός ; 0.620820825261	ἐν ; 0.356428337442
0.43275956132917415	βίος	χράομαι	ἀναστρέφω	φιλόθεος	None	0	10	11	10	1	πραγματεία ; 0.406448106572	βοήθεια ; 0.380273899779	ἀποφεύγω ; 0.327904740991	φιλήδονος ; 0.782942988
0.16983616657958273	συνεγείρω	ζάω	ζῳογονέω	θέρος	None	0	3	140	3	3	ἰησοῦς ; 0.399726791829	ἀποθνῄσκω ; 0.864499726219	κατασοφίζομαι ; 0.3777274287	ἐκφύω ; 0.675421664149
-0.0742910348866513	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	None	0	42	140	11	1	ἐγείρω ; 0.730288419635	ἀποθνῄσκω ; 0.864499726219	ἐγείρω ; 0.48284634611	ἀνάστασις ; 0.289920248164
-0.11612777690304299	χλωρός	βοτάνη	βάτος	πάσχω	None	0	4	1	6	42	συμπόσιον ; 0.615912981467	γεωργέω ; 0.655759229539	σταφυλή ; 0.372539269421	ἀδίκως ; 0.355172764498
0.11142491025269802	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	None	0	4	2	3	4	ἄντικρυς ; 0.611925631428	σαμοθρᾴκη ; 0.681829238546	ἐπισφαλής ; 0.551668342125	αὐγοῦστος ; 0.740980333315
0.08579751675180258	προσαγωγή	λαλέω	προσλαλέω	παραχειμάζω	None	0	3	297	2	4	διά ; 0.362826216421	προφητεύω ; 0.623250680344	πέδη ; 0.248702421105	ζηνᾶς ; 0.468394350296
-0.07240221773497679	προφθάνω	πάλαι	καινός	διατροφή	None	0	1	7	42	1	δίδραχμον ; 0.62824678469	σάκκος ; 0.576770223726	παλαιός ; 0.738526903966	σκέπασμα ; 0.674362900696
0.2580754290364911	κατασφάζω	θανατόω	σφαγή	ἔννοια	None	0	1	11	3	2	ἔμπροσθεν ; 0.385104439003	ἐπανίσταμαι ; 0.485942431186	σπαταλάω ; 0.303080577691	κριτικός ; 0.609205248138
0.23221329650872796	ἐπίλυσις	μεθερμηνεύω	ἑρμηνεία	γαζοφυλάκιον	None	0	1	8	2	5	φωσφόρος ; 0.354852332241	κοράσιον ; 0.33126385534	ἐνέργημα ; 0.58668847224	πενιχρός ; 0.666568071317
0.09426404781332776	περιοικέω	κατοίκησις	κατοικία	τοιοῦτος	None	0	1	1	1	56	ὀρεινός ; 0.476105135307	πέδη ; 0.404895420106	ὁροθεσία ; 0.720315278298	χοϊκός ; 0.590867120684
0.21161934705925414	ἐκδιηγέομαι	ἀναγγέλλω	ἀγγελία	λέπρα	None	0	2	14	2	4	ἐπιστροφή ; 0.625269990828	ἐμός ; 0.386764733379	ἀγαπάω ; 0.463803254611	καθαρίζω ; 0.625552386129
-0.2479761717023551	μάμμη	ἀπάτωρ	προπάτωρ	ἰσχύω	None	0	1	1	1	28	λωΐς ; 0.703454127624	ἀμήτωρ ; 0.860239618942	ἐνευλογέω ; 0.417985810306	καθεύδω ; 0.284533609398
-0.1027304428714163	θρίξ	μέλος	κόμη	χόρτασμα	None	0	15	34	1	1	ἀλείφω ; 0.503362403873	σῶμα ; 0.80861620093	κομάω ; 0.619943579681	ἀναγνωρίζομαι ; 0.442747369959
-0.17486787121400174	ἄδικος	ψευδάδελφος	Χριστιανός	ἀναστροφή	None	0	12	2	0	13	ἐλάχιστος ; 0.544881688481	κίνδυνος ; 0.770974415375	ἀλλοτριεπίσκοπος ; 0.499171244376	ἐποπτεύω ; 0.420363693979
-0.05739937367437753	ποίμνιον	ψευδάδελφος	νεόφυτος	ἄψινθος	None	0	5	2	1	2	ἀναγκαστῶς ; 0.625638017055	κίνδυνος ; 0.770974415375	ἐπιμελέομαι ; 0.350372302304	πηγή ; 0.533945726109
0.03513479754696214	χλωρός	χόρτος	ἀκάνθινος	ἕως	None	0	4	15	2	145	συμπόσιον ; 0.615912981467	ἄνθος ; 0.732400031396	πλέκω ; 0.658379778396	γενεά ; 0.523173770155
-0.15027600878194605	γέννημα	τεκνογονέω	ἔγκυος	μεταίρω	None	0	4	1	1	2	ὑποδείκνυμι ; 0.505502558534	οἰκοδεσποτέω ; 0.850806481462	μνηστεύομαι ; 0.443634796237	ἰορδάνης ; 0.317138927213
0.004285784886251753	παροικέω	ἐνοικέω	περιοικέω	ἔθνος	None	0	2	5	1	160	ἀντιβάλλω ; 0.545804320311	μάμμη ; 0.488767427588	ὀρεινός ; 0.476105135307	λαός ; 0.429492842357
-0.038392560361895034	ψευδαπόστολος	ἀπόστολος	συμπρεσβύτερος	παροικέω	None	0	1	79	1	2	δόλιος ; 0.677858697279	ἀντίλημψις ; 0.38027313423	κτίστης ; 0.59387016217	ἀντιβάλλω ; 0.545804320311
-0.06400770878816095	ὀργή	θυμομαχέω	θυμός	ἀεί	None	0	36	1	18	7	βραδύς ; 0.547764104053	τύριος ; 0.80993853335	ὀργή ; 0.387092279984	ὡς ; 0.400626989534
0.07705435374820091	χαλκηδών	σμαράγδινος	ἴασπις	ἀναβολή	None	0	1	1	4	1	σάπφιρος ; 0.79063768422	κυκλόθεν ; 0.879972090152	σάρδιον ; 0.541389585136	ἔγκλημα ; 0.582489173491
0.051855445987848386	παιδεύω	διδασκαλία	θεοδίδακτος	κατάλυμα	None	0	13	21	1	3	ὀλιγωρέω ; 0.298205054443	ὑγιαίνω ; 0.349029008255	χρῖσμα ; 0.399902708918	ἑτοιμάζω ; 0.372489633999
-0.10736014814080044	προπάτωρ	πατρικός	πατήρ	θήκη	None	0	1	1	413	1	ἐνευλογέω ; 0.417985810306	συνηλικιώτης ; 0.571279709905	ἐγώ ; 0.840324585078	ὠτάριον ; 0.363154134294
0.15317633094572386	βρῶσις	τρώγω	ἐσθίω	ἀκάνθινος	None	0	11	6	157	2	ἀφανίζω ; 0.635066201075	ἐγώ ; 0.414811303603	πίνω ; 0.74198543219	πλέκω ; 0.658379778396
0.42148444619645387	παιδεύω	διδάσκω	διδασκαλία	ἐγκεντρίζω	None	0	13	96	21	6	ὀλιγωρέω ; 0.298205054443	ἐκπλήσσομαι ; 0.405345915934	ὑγιαίνω ; 0.349029008255	ἀγριέλαιος ; 0.829773345894
-0.10172004002102467	ἰσχύω	κατισχύω	ἐξισχύω	ὀργίζομαι	None	0	28	3	1	9	καθεύδω ; 0.284533609398	ἐπικρίνω ; 0.40960391143	πλάτος ; 0.509470338374	ῥακά ; 0.308644212031
-0.11559649351225482	ἱεροπρεπής	δεισιδαιμονία	θρησκός	ἄντλημα	None	0	1	1	1	1	κατάστημα ; 0.790934185018	συνεπιτίθεμαι ; 0.347224805596	ποίησις ; 0.463336358065	πηγή ; 0.408263743106
0.08024489337920604	πόνος	συνωδίνω	πάθημα	κτῆνος	None	0	4	1	16	4	μασάομαι ; 0.519335231747	συστενάζω ; 0.491549355816	θλῖψις ; 0.370276833507	σεμίδαλις ; 0.457380424293
0.11021954445998322	σμάραγδος	χαλκηδών	χρυσόπρασος	οἰκητήριον	None	0	1	1	1	2	σαρδόνυξ ; 0.816752560663	σάπφιρος ; 0.79063768422	ὑάκινθος ; 0.828257783815	σκῆνος ; 0.481353487883
0.010218031946343686	ἔθνος	πολίτης	ἐντόπιος	διερμηνευτής	None	0	160	4	1	1	λαός ; 0.429492842357	ἄσημος ; 0.519705461961	συνθρύπτω ; 0.562545015675	σιγάω ; 0.332920747416
-0.0008424109487438769	ἐξολεθρεύω	ἀπόλλυμι	πορθέω	παραδίδωμι	None	0	1	90	3	119	ἠσαΐας ; 0.38113810682	ψυχή ; 0.595530817255	ἰουδαϊσμός ; 0.411203777702	ἰσκαριώτης ; 0.428889961748
0.08300300775201191	ψευδαπόστολος	εὐαγγελιστής	ἀπόστολος	ἐπίσημος	None	0	1	3	79	2	δόλιος ; 0.677858697279	κακοπαθέω ; 0.360347061982	ἀντίλημψις ; 0.38027313423	ἰουνία ; 0.503641539717
0.08076037521375476	θεοδίδακτος	παιδεύω	διδασκαλία	ἀλώπηξ	None	0	1	13	21	3	χρῖσμα ; 0.399902708918	ὀλιγωρέω ; 0.298205054443	ὑγιαίνω ; 0.349029008255	φωλεός ; 0.633576020246
0.1802976480141516	ἀναλογίζομαι	λογίζομαι	ἔννοια	σπείρω	None	0	1	40	2	52	τελειωτής ; 0.351768499395	μακαρισμός ; 0.566647017587	κριτικός ; 0.609205248138	θερίζω ; 0.839324822552
-0.1283780663581644	δέκα	ἑπτά	τέσσαρες	χράομαι	None	0	25	88	40	11	μνᾶ ; 0.622662401389	λυχνία ; 0.650957770086	θρόνος ; 0.732552372268	βοήθεια ; 0.380273899779
-0.05622176114956512	λεπρός	κάμνω	μαλακία	ὀθόνιον	None	0	9	2	3	5	καθαρίζω ; 0.462085316477	ἐκλανθάνω ; 0.543088746492	νόσος ; 0.4886112864	παρακύπτω ; 0.384059691313
0.26559908048592273	προφθάνω	ὁπότε	ἔκπαλαι	σάπφιρος	None	0	1	1	2	1	δίδραχμον ; 0.62824678469	λαοδικεύς ; 0.407156228684	ἀργέω ; 0.602049159573	χαλκηδών ; 0.79063768422
-0.04670979682755089	ἐπεισέρχομαι	ἐπιγίνομαι	συγκυρία	κυρία	None	0	1	1	1	2	κραιπάλη ; 0.528706958934	δευτεραῖος ; 0.830766102872	ἡμιθανής ; 0.662450726668	ἐντολή ; 0.526778392829
