Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.02860025391423282	μακρός	χρόνος	πάντοτε	ψωμίζω	πάντοτε	0	37	192	43	25	δωρέομαι ; 0.29124587774276733	Βαρναβᾶς ; 0.247456356883049	κανών ; 0.3380659222602844	ὡραιότης ; 0.2686648368835449
0.059881610048166084	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	καταγγέλλω ; 0.2588055729866028	σημειόω ; 0.27388647198677063	τροχός ; 0.31087470054626465	Λαηλ ; 0.2761157155036926
-0.13405205849676136	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	ᾠδή ; 0.28544116020202637	καλοδιδάσκαλος ; 0.9062616229057312	ῥῆσις ; 0.2770669460296631	Βαυξ ; 0.2839055359363556
0.059510030279133375	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	ἀπολύω	0	11	204	100	1	Αχιας ; 0.2788703441619873	ἀναβαίνω ; 0.32350826263427734	Ραφων ; 0.30482935905456543	ἄναλος ; 0.37494587898254395
-0.03577530772321885	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5312	3	37	λεμά ; 0.660089373588562	κύριος ; 0.28825974464416504	γενεαλογέω ; 0.30657505989074707	ἀρτός ; 0.287304162979126
-0.028268520085503457	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	παντοκράτωρ	0	1	191	5312	9	ὑγραίνω ; 0.36354386806488037	ἰδιωτικός ; 0.27313345670700073	κύριος ; 0.28825974464416504	φιλήδονος ; 0.3173818588256836
-0.06990403333615783	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	Ἀρτεμᾶς ; 0.2938211262226105	δυσνόητος ; 0.3128437399864197	Ῥαάβ ; 0.5468579530715942	συμπεριλαμβάνω ; 0.3140229284763336
0.10459959045714681	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.2770669460296631	διαγιγνώσκω ; 0.28487342596054077	ὡραῖος ; 0.2927838861942291	ἀντιβάλλω ; 0.31737369298934937
0.10832376520236736	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	αὐχμώδης ; 0.264325350522995	φιάλη ; 0.26111263036727905	χλωρός ; 0.27620598673820496	βαρχαβωθ ; 0.31718677282333374
0.16353646980407294	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	φειδωλός ; 0.418479859828949	Δωταια ; 0.2946411073207855	Αχιου ; 0.33458825945854187	πάρεσις ; 0.9524503350257874
0.43064803876166413	βάτος	χόρτος	σίναπι	χαλκηδών	βάτος	0	13	64	5	1	μίγμα ; 0.2814837396144867	κατάστεμα ; 0.25117629766464233	ραβδίζω ; 0.293382465839386	σάπφιρος ; 0.9333627820014954
0.07403651107304243	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	ἀπέρχομαι	1	1	83	455	346	ὁμότεχνος ; 0.6356310248374939	πόλις ; 0.2534198760986328	καθηλόω ; 0.2889135181903839	εἰσάγω ; 0.3253110349178314
0.024669222591939044	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	Ἀρτεμᾶς ; 0.2938211262226105	Ῥαάβ ; 0.5468579530715942	τετράς ; 0.265967458486557	Ιεθεβααλ ; 0.3527318239212036
-0.025906128423753172	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	μέριμνα	0	1	17	4	136	ἀθλέω ; 0.3027443289756775	ἀπορέω ; 0.258717805147171	ἀμύνομαι ; 0.37713107466697693	ἐξάγω ; 0.4291017949581146
0.041842784857562265	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	ἀροτριάω	0	18	6	113	4	καταδαμάω ; 0.3047052025794983	ἐπανατρυγάω ; 0.2953586280345917	ἀμπελών ; 0.2981601357460022	ὑπολιμπάνω ; 0.28243619203567505
