Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
0.09389864283380522	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	192	43	25	ἀμβλάκημα ; 0.5103557109832764	παραβλώψ ; 0.5531981587409973	θεοδίδακτος ; 0.5765082240104675	γάλα ; 0.5156843066215515
0.06972382574048192	φωτίζω	λάμπω	φέγγος	δύναμις	φωτίζω	0	51	13	28	710	ἔργω ; 0.5297325849533081	βρυγμός ; 0.5526909828186035	νεφέλη ; 0.5477136969566345	περιδεής ; 0.5571357607841492
0.13578725682590198	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	ἔπαυλος ; 0.5342468023300171	ἐπειδήπερ ; 0.5865912437438965	ὅστε ; 0.558503270149231	ἀόριστος ; 0.5910046696662903
0.12023292508981215	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	Ἐρέτρια ; 0.5539126396179199	ἐξέρχομαι ; 0.5850586891174316	αὐθεντία ; 0.5678249597549438	ἤδη ; 0.581085741519928
0.22289330373565386	ἐλωΐ	θεός	αββα	γονεύς	γονεύς	1	2	5312	3	37	Αηδις ; 0.55959153175354	κύριος ; 0.624409019947052	παρεισδέχομαι ; 0.541608452796936	Αμορι ; 0.5963287949562073
-0.0289951608542679	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	ἐκσπερματίζω ; 0.5725226402282715	κακομήχανος ; 0.522243082523346	κύριος ; 0.624409019947052	Χίος ; 0.5481538772583008
-0.0003279425015654258	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ὄλεθρος	0	28	5	1	7	ζημία ; 0.5668454170227051	ἰή ; 0.5619792938232422	ἐπητύς ; 0.5899338722229004	βεθ ; 0.5711053609848022
0.07467635694414942	παιδεία	κατηχέω	παιδεύω	φανέρωσις	παιδεύω	0	118	8	101	2	ὅστε ; 0.558503270149231	ἐπιμέμφομαι ; 0.5284081697463989	τροχιός ; 0.5889039635658264	χαρακτήρ ; 0.5550492405891418
0.1701642900358181	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	ἐκλιμπάνω ; 0.5078282952308655	τετράποδος ; 0.5847127437591553	ζῷον ; 0.5298287868499756	ποδήρης ; 0.5156052112579346
0.04142523238251755	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	ἀική ; 0.5899689793586731	καλλύνω ; 0.543270468711853	παρίημι ; 0.5264403820037842	πάρεσις ; 0.9275038242340088
0.2016530538917436	βάτος	χόρτος	σίναπι	χαλκηδών	χόρτος	0	13	64	5	1	θεμιτός ; 0.5486540794372559	δρόσος ; 0.5926505923271179	βάδος ; 0.5344481468200684	σάπφιρος ; 0.9449154734611511
0.15982562730815308	σκηνοποιός	σκήνωμα	σκηνή	ἀπέρχομαι	σκηνοποιός	0	1	83	455	346	ὁμότεχνος ; 0.7279213666915894	οἶκος ; 0.5897993445396423	καταπέτασμα ; 0.5210491418838501	ἀναχωρέω ; 0.6577413082122803
-0.055110352756942926	ὄλεθρος	συναπόλλυμαι	φθορά	προφῆτις	ὄλεθρος	0	28	1	20	8	ζημία ; 0.5668454170227051	ἐπητύς ; 0.5899338722229004	πολίτευμα ; 0.5816992521286011	παρόρμησις ; 0.5221400260925293
0.1502260578261636	προμεριμνάω	μέριμνα	καταπονέω	ἀνάγω	ἀνάγω	1	1	17	4	136	ἀπονίναμαι ; 0.5374264717102051	Ἑρμόβιος ; 0.522216260433197	εὐεργετέω ; 0.6001102924346924	ἐξάγω ; 0.8052570819854736
0.1614251242026541	ἀροτριάω	ἀμάω	σπείρω	πρωτεύω	πρωτεύω	1	18	6	113	4	κάτοπτρον ; 0.545666515827179	Αθιν ; 0.5783476233482361	σπόριμος ; 0.5460216403007507	Θεσσαλονίκη ; 0.5726860761642456
0.1030162297594171	θηρίον	τετράπους	θρέμμα	ἡγεμονεύω	ἡγεμονεύω	1	211	16	1	2	ζῷον ; 0.5298287868499756	ἕλκος ; 0.5453466176986694	Ἰωσήφ ; 0.540684700012207	Ζηνᾶς ; 0.5454432964324951
-0.10261684336133259	κατάστημα	ἀγωγή	διάγω	ἀμέριμνος	διάγω	0	1	7	23	4	νικάω ; 0.537909984588623	ἐμπόλημα ; 0.5233808159828186	ἐπιθανάτιος ; 0.5267102718353271	οὗς ; 0.5529775023460388
0.026848103562767622	ἔοικα	ὁμοίωσις	ὁμοιόω	ἐκβαίνω	ὁμοίωσις	0	4	9	54	11	τοκάς ; 0.5997889041900635	Πλοῦτος ; 0.5674959421157837	πολυάνθρωπος ; 0.509228527545929	Ἐρέτρια ; 0.5539126396179199
8.84241631665672e-06	ἀμέριμνος	μετεωρίζομαι	προμεριμνάω	εὐγενής	εὐγενής	1	4	1	1	11	οὗς ; 0.5529775023460388	Λασθενής ; 0.5997136831283569	ἀπονίναμαι ; 0.5374264717102051	ἐνστρατοπεδεύω ; 0.5587728023529053
0.1631032953245088	βρώσιμος	τρώγω	βιβρώσκω	αὐθεντέω	αὐθεντέω	1	4	6	44	1	ἀναρίθμητος ; 0.5447440147399902	συμπαρακαλέομαι ; 0.5355153679847717	διαπίπτω ; 0.5410222411155701	ἀποκωφόω ; 0.5421107411384583
-0.019206573163926433	ἐγκατοικέω	κατοικητήριον	κατοικία	διενθυμέομαι	κατοικητήριον	0	1	22	37	1	βλέμμα ; 0.7375317811965942	ὀψώνιον ; 0.5761981010437012	Γωζα ; 0.5647542476654053	προσεύχομαι ; 0.5753405094146729
0.14068503134698035	σπείρω	ἐπισπείρω	ἀμάω	μέριμνα	ἀμάω	0	113	1	6	17	σπόριμος ; 0.5460216403007507	ἀνοίγνυμι ; 0.5260300636291504	Αθιν ; 0.5783476233482361	Ἑρμόβιος ; 0.522216260433197
-0.060504351589615424	ὑπεροχή	μεγιστάν	εὐγενής	ἑρμηνεία	εὐγενής	0	7	52	11	3	εὔελπις ; 0.5683724880218506	πλουτέω ; 0.5064575672149658	ἐνστρατοπεδεύω ; 0.5587728023529053	περίφασις ; 0.5946387052536011
0.025722214859076165	ἱεροπρεπής	θεοσέβεια	εὐσέβεια	ὁπότε	ὁπότε	1	3	1	72	11	Δρίμυλος ; 0.5718135833740234	ἐνεξουσιάζομαι ; 0.5296287536621094	δεκάπηχυς ; 0.5620758533477783	μήκιστος ; 0.5535269975662231
-0.07602883418352352	φθινοπωρινός	θέρος	διετία	τρίχινος	θέρος	0	1	11	2	2	ἐπαφρίζω ; 0.5396518707275391	χορηγεῖον ; 0.5548681616783142	Πόρκιος ; 0.5072216987609863	διώδυνος ; 0.5633370876312256
0.0633573224006011	κρυφαῖος	βαθύς	κρύπτη	θηλάζω	θηλάζω	1	6	28	1	34	βατταλογέω ; 0.585843026638031	λαγωός ; 0.565972089767456	δυσφημία ; 0.5516202449798584	ἔγκοτος ; 0.49975141882896423
-0.1140660064247837	βραβεύω	δαμάζω	εὐπερίστατος	συζωοποιέω	δαμάζω	0	2	7	1	2	παρίημι ; 0.5264403820037842	Γαβλι ; 0.5530223846435547	ὄγκος ; 0.5627639293670654	Ἱππόδαμος ; 0.5849921107292175
0.058236211988693776	βαθύς	ἀπόκρυφος	κρυφαῖος	Χριστιανός	βαθύς	0	28	28	6	3	λαγωός ; 0.565972089767456	τραγελάφος ; 0.5313675999641418	βατταλογέω ; 0.585843026638031	ἀπάνευθε ; 0.537200927734375
0.10625283524692125	ἐπιφαίνω	φέγγος	ἐκλάμπω	οἷος	οἷος	1	27	28	8	33	ἐξαγείρω ; 0.5263301730155945	νεφέλη ; 0.5477136969566345	μετεωρίζω ; 0.5586879849433899	τελευτή ; 0.5416468977928162
0.07917844524575157	πρότερος	πρῶτον	προφθάνω	δεισιδαίμων	πρῶτον	0	96	9	20	1	ἑξάς ; 0.5271854400634766	πάρεργον ; 0.5594279766082764	Βαιθαχαρμα ; 0.573348343372345	Νουα ; 0.5793088674545288
0.470119593929999	ἐννέα	δύο	τέσσαρες	φίλανδρος	φίλανδρος	1	48	830	289	1	πέντε ; 0.6526211500167847	τέσσαρες ; 0.6115980744361877	δύο ; 0.611598014831543	ἀρχισωματοφύλαξ ; 0.5611398220062256
0.01717530932673028	σπαργανόω	ἐγκομβόομαι	ἐνδύω	ἀποκάλυψις	σπαργανόω	0	4	1	147	21	Μητίχη ; 0.5513956546783447	πυκνότερον ; 0.5165930986404419	περιβάλλω ; 0.5546049475669861	Βάρκη ; 0.5736144185066223
0.054225932534164634	βίος	χράομαι	ἀναστρέφω	φιλόθεος	ἀναστρέφω	0	79	34	123	1	γωνιαῖος ; 0.5262168049812317	συναπόλλυμι ; 0.5712606906890869	πορεύομαι ; 0.6189497709274292	φιλήδονος ; 0.9061077833175659
-0.0017365462541873988	συνεγείρω	ζάω	ζῳογονέω	θέρος	ζάω	0	6	699	3	11	τοσάκις ; 0.5886261463165283	Κήρ ; 0.5609878301620483	φόνευσις ; 0.5910136699676514	χορηγεῖον ; 0.5548681616783142
-0.09336849020704854	ἀνάστασις	ζάω	ζῳοποιέω	παθητός	ζῳοποιέω	0	48	699	11	1	κάρον ; 0.558376669883728	Κήρ ; 0.5609878301620483	ἀποθνήσκω ; 0.5428091287612915	πεζεύω ; 0.5605601668357849
0.2160661005114269	χλωρός	βοτάνη	βάτος	πάσχω	πάσχω	1	19	17	13	60	Ἠλίας ; 0.5400396585464478	παροδεύω ; 0.5909881591796875	θεμιτός ; 0.5486540794372559	διαπειράζω ; 0.5694549083709717
-0.05130099425251833	ἀποπλέω	εὐθυδρομέω	πλοῦς	ἀπογράφω	πλοῦς	0	4	2	3	10	χαλκίς ; 0.6089330911636353	Σαμοθρᾴκη ; 0.6789950728416443	βραχυτελής ; 0.5730102062225342	κατορύσσω ; 0.5976948738098145
