Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3
-0.0001297432302533319	μακρός	χρόνος	πάντοτε	ψωμίζω	ψωμίζω	1	37	192	43	25	εὐπέμπελος ; 0.5168228149414062	ἐπεί ; 0.5534166693687439	περισσεύω ; 0.580583393573761	ἰήιος ; 0.5345413684844971
0.2069286717005206	φωτίζω	λάμπω	φέγγος	δύναμις	δύναμις	1	51	13	28	710	ἐπισκοπέω ; 0.5218477845191956	ἀποδοχεῖον ; 0.5476948618888855	ἐπικάμπιος ; 0.5806547403335571	ἀναβάτης ; 0.568533182144165
0.09323473346482075	διδαχή	σωφρονίζω	παιδεία	ἀποτινάσσω	ἀποτινάσσω	1	31	1	118	5	τεκνολέτειρα ; 0.5432281494140625	περιφανῶς ; 0.595386803150177	ῥῆσις ; 0.577567994594574	ἐπικοιμάομαι ; 0.5373550653457642
0.07218277145570956	ἐκβαίνω	ἐκπορεύομαι	ἀπολύω	τεκνογονία	τεκνογονία	1	11	204	100	1	ἀτάλαντος ; 0.54185551404953	ἐξέρχομαι ; 0.7028379440307617	ὑπογίγνομαι ; 0.5344796180725098	ἀγάπη ; 0.5635514855384827
-0.0019130469082490054	ἐλωΐ	θεός	αββα	γονεύς	θεός	0	2	5312	3	37	ἠλί ; 0.724685549736023	κύριος ; 0.6491999626159668	γρηγόρησις ; 0.5288540124893188	Φρύγια ; 0.5689010620117188
0.08580211516123776	ἄθεος	παντοκράτωρ	θεός	ἀδελφότης	ἄθεος	0	1	191	5312	9	Φρααθων ; 0.5615742206573486	ὅδε ; 0.6712749004364014	κύριος ; 0.6491999626159668	συνδιαιτάομαι ; 0.6217271089553833
-0.012173642984689315	ὄλεθρος	πορθέω	συναπόλλυμαι	ἄγγος	ἄγγος	1	28	5	1	7	ζημία ; 0.6474803686141968	ἀκμήν ; 0.5779292583465576	θορύβος ; 0.590046226978302	ἀλύω ; 0.516217052936554
0.13124283039516876	παιδεία	κατηχέω	παιδεύω	φανέρωσις	φανέρωσις	1	118	8	101	2	ῥῆσις ; 0.577567994594574	περισσοτέρως ; 0.5440013408660889	τροχιός ; 0.594257116317749	σωφρονέω ; 0.6013804078102112
0.12480334905906121	ἀγέλη	ζῷον	θηρίον	ἀγγελία	ἀγγελία	1	17	61	211	15	δασύμαλλος ; 0.574242889881134	ἡμιώριον ; 0.6542978286743164	ὄρνεον ; 0.5725031495094299	ταλαιπωρία ; 0.5846554040908813
0.07883510166783714	συλαγωγέω	ἐνέχω	βραβεύω	προγίνομαι	βραβεύω	0	1	8	2	1	ἐπισκοπέω ; 0.5732572078704834	ληίς ; 0.5315777063369751	Ἐχῖναι ; 0.5671430826187134	πάρεσις ; 0.8640269041061401
