File	Gap Score Correct	Gensim Correct	Gap Score Average
results_5_and_1/data.transformed.sup-cut.Full.1500e.s200.tsv	58	46	0.046012073297995136
results_5_and_1/data.transformed.com-cut.Full.1500e.10w.s30.tsv	79	41	0.08473046791540252
results_5_and_1/data.transformed.half-cut.Full.1500e.s80.tsv	72	38	0.047396225922527666
results_5_and_1/data.transformed.no-cut.Full.txt.1500e.s30.tsv	52	15	-0.0024784591742475093
results_5_and_1/data.transformed.com-cut.Full.pretrained.1500e.10w.s200.tsv	56	37	0.016424839008806848
results_5_and_1/data.transformed.com-cut.Full.1500e.s30.tsv	85	60	0.11751788487689269
results_5_and_1/data.transformed.no-cut.Full.txt.pretrained.1500e.10w.s30.tsv	76	36	0.07369529880920585
results_5_and_1/data.transformed.com-cut.Full.1500e.s200.tsv	60	42	0.02632018274496149
results_5_and_1/data.transformed.sup-cut.Full.pretrained.1500e.s30.tsv	87	64	0.13719794050582426
results_5_and_1/data.transformed.sup-cut.Full.1500e.10w.s200.tsv	53	45	0.038497124130960375
results_5_and_1/data.transformed.sup-cut.Full.1500e.10w.s80.tsv	68	54	0.06538634924441401
results_5_and_1/data.transformed.half-cut.Full.pretrained.1500e.10w.s30.tsv	69	33	0.06145472036636435
results_5_and_1/data.transformed.com-cut.Full.pretrained.1500e.s200.tsv	54	37	0.019730358934112197
results_5_and_1/data.transformed.com-cut.Full.1500e.10w.s80.tsv	71	42	0.03879988009860455
results_5_and_1/data.transformed.half-cut.Full.1500e.10w.s80.tsv	70	35	0.0392860166749771
results_5_and_1/data.transformed.half-cut.Full.pretrained.1500e.10w.s200.tsv	55	33	0.018548954124651483
results_5_and_1/data.transformed.half-cut.Full.pretrained.1500e.s50.tsv	68	50	0.059826440995795094
results_5_and_1/data.transformed.no-cut.Full.txt.1500e.10w.s50.tsv	47	12	-0.0008679629676398076
results_5_and_1/data.transformed.half-cut.Full.1500e.s30.tsv	80	48	0.09946154991566233
results_5_and_1/data.transformed.no-cut.Full.txt.pretrained.1500e.s80.tsv	71	42	0.04789068595033363
results_5_and_1/data.transformed.sup-cut.Full.pretrained.1500e.s80.tsv	76	54	0.06630493326570244
results_5_and_1/data.transformed.com-cut.Full.pretrained.1500e.10w.s30.tsv	75	48	0.07359246971477255
results_5_and_1/data.transformed.sup-cut.Full.1500e.s50.tsv	78	54	0.09289340513240887
results_5_and_1/data.transformed.half-cut.Full.pretrained.1500e.s80.tsv	77	39	0.045858488365807325
results_5_and_1/data.transformed.half-cut.Full.pretrained.1500e.10w.s80.tsv	62	33	0.02721521510965954
results_5_and_1/data.transformed.com-cut.Full.pretrained.1500e.10w.s80.tsv	63	31	0.03421861540269498
results_5_and_1/data.transformed.com-cut.Full.pretrained.1500e.s50.tsv	77	47	0.06645008871584512
